benchmark,model_a,model_b,frs_a,frs_b,trace0_a,trace0_b,unfiltered_a,unfiltered_b,pass1_a,pass1_b,frs_winner,trace0_winner,unfiltered_winner,pass1_winner,frs_gap_pp,trace0_gap_pp,unfiltered_gap_pp,pass1_gap_pp,frs_reverses_trace0,frs_reverses_unfiltered,pass1_agrees_trace0,pass1_agrees_frs,lobo_frs_diff_pp,lobo_trace0_diff_pp,lobo_frs_agrees_frs_winner,lobo_frs_agrees_trace0_winner
AQuA,DS-R1-7B,DS-R1-1.5B,96.8,90.1,64.875,52.25,77.4375,61.5,69.3,11.0,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,6.700000000000003,12.625,15.9375,58.3,False,False,True,True,8.959999999999994,2.3499999999999943,True,True
AQuA,DS-R1-7B,Qwen3-4B,96.8,78.5,64.875,65.375,77.4375,69.125,69.3,57.5,DS-R1-7B,Qwen3-4B,DS-R1-7B,DS-R1-7B,18.299999999999997,0.5,8.3125,11.799999999999997,False,False,False,True,10.959999999999994,-2.0,True,False
AQuA,DS-R1-7B,Phi-4,96.8,78.5,64.875,69.375,77.4375,79.25,69.3,77.6,DS-R1-7B,Phi-4,Phi-4,Phi-4,18.299999999999997,4.5,1.8125,8.299999999999997,True,False,True,False,13.399999999999991,7.749999999999993,True,False
AQuA,DS-R1-7B,Qwen2.5-Math,96.8,74.9,64.875,74.0,77.4375,77.6875,69.3,29.1,DS-R1-7B,Qwen2.5-Math,Qwen2.5-Math,DS-R1-7B,21.89999999999999,9.125,0.25,40.199999999999996,True,False,False,True,13.200000000000003,-6.0,True,False
AQuA,DS-R1-7B,Phi-4-Reas.,96.8,83.2,64.875,67.375,77.4375,79.4375,69.3,68.1,DS-R1-7B,Phi-4-Reas.,Phi-4-Reas.,DS-R1-7B,13.599999999999994,2.5,2.0,1.2000000000000028,True,True,False,True,19.799999999999997,-3.7750000000000057,True,False
AQuA,DS-R1-7B,Qwen2.5-7B,96.8,77.2,64.875,61.875,77.4375,69.625,69.3,78.3,DS-R1-7B,DS-R1-7B,DS-R1-7B,Qwen2.5-7B,19.599999999999994,3.0,7.8125,9.0,False,False,False,False,20.540000000000006,1.8249999999999886,True,True
AQuA,DS-R1-7B,LLaMA-3.1-8B,96.8,52.9,64.875,60.12499999999999,77.4375,53.1875,69.3,48.8,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,43.9,4.750000000000007,24.25,20.5,False,False,True,True,21.599999999999994,4.049999999999997,True,True
AQuA,DS-R1-7B,Gemma-7B,96.8,22.2,64.875,46.5,77.4375,40.625,69.3,3.5,DS-R1-7B,DS-R1-7B,DS-R1-7B,DS-R1-7B,74.6,18.375,36.8125,65.8,False,False,True,True,59.699999999999996,22.02499999999999,True,True
AQuA,DS-R1-1.5B,Qwen3-4B,90.1,78.5,52.25,65.375,61.5,69.125,11.0,57.5,DS-R1-1.5B,Qwen3-4B,Qwen3-4B,Qwen3-4B,11.599999999999994,13.125,7.625,46.5,True,True,True,False,2.0,-4.349999999999994,True,False
AQuA,DS-R1-1.5B,Phi-4,90.1,78.5,52.25,69.375,61.5,79.25,11.0,77.6,DS-R1-1.5B,Phi-4,Phi-4,Phi-4,11.599999999999994,17.125,17.75,66.6,True,True,True,False,4.439999999999998,5.399999999999999,True,False
AQuA,DS-R1-1.5B,Qwen2.5-Math,90.1,74.9,52.25,74.0,61.5,77.6875,11.0,29.1,DS-R1-1.5B,Qwen2.5-Math,Qwen2.5-Math,Qwen2.5-Math,15.199999999999989,21.75,16.1875,18.1,True,True,True,False,4.240000000000009,-8.349999999999994,True,False
AQuA,DS-R1-1.5B,Phi-4-Reas.,90.1,83.2,52.25,67.375,61.5,79.4375,11.0,68.1,DS-R1-1.5B,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,6.8999999999999915,15.125,17.9375,57.099999999999994,True,True,True,False,10.840000000000003,-6.125,True,False
AQuA,DS-R1-1.5B,Qwen2.5-7B,90.1,77.2,52.25,61.875,61.5,69.625,11.0,78.3,DS-R1-1.5B,Qwen2.5-7B,Qwen2.5-7B,Qwen2.5-7B,12.899999999999991,9.625,8.125,67.3,True,True,True,False,11.580000000000013,-0.5250000000000057,True,False
AQuA,DS-R1-1.5B,LLaMA-3.1-8B,90.1,52.9,52.25,60.12499999999999,61.5,53.1875,11.0,48.8,DS-R1-1.5B,LLaMA-3.1-8B,DS-R1-1.5B,LLaMA-3.1-8B,37.199999999999996,7.874999999999993,8.3125,37.8,True,False,True,False,12.64,1.7000000000000028,True,False
AQuA,DS-R1-1.5B,Gemma-7B,90.1,22.2,52.25,46.5,61.5,40.625,11.0,3.5,DS-R1-1.5B,DS-R1-1.5B,DS-R1-1.5B,DS-R1-1.5B,67.89999999999999,5.75,20.875,7.5,False,False,True,True,50.74,19.674999999999997,True,True
AQuA,Qwen3-4B,Phi-4,78.5,78.5,65.375,69.375,69.125,79.25,57.5,77.6,Phi-4,Phi-4,Phi-4,Phi-4,0.0,4.0,10.125,20.099999999999994,False,False,True,True,2.4399999999999977,9.749999999999993,False,False
AQuA,Qwen3-4B,Qwen2.5-Math,78.5,74.9,65.375,74.0,69.125,77.6875,57.5,29.1,Qwen3-4B,Qwen2.5-Math,Qwen2.5-Math,Qwen3-4B,3.5999999999999943,8.625,8.5625,28.4,True,True,False,True,2.240000000000009,-4.0,True,False
AQuA,Qwen3-4B,Phi-4-Reas.,78.5,83.2,65.375,67.375,69.125,79.4375,57.5,68.1,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,Phi-4-Reas.,4.700000000000003,2.0,10.3125,10.599999999999994,False,False,True,True,8.840000000000003,-1.7750000000000057,False,False
AQuA,Qwen3-4B,Qwen2.5-7B,78.5,77.2,65.375,61.875,69.125,69.625,57.5,78.3,Qwen3-4B,Qwen3-4B,Qwen2.5-7B,Qwen2.5-7B,1.2999999999999972,3.5,0.5,20.799999999999997,False,False,False,False,9.580000000000013,3.8249999999999886,True,True
AQuA,Qwen3-4B,LLaMA-3.1-8B,78.5,52.9,65.375,60.12499999999999,69.125,53.1875,57.5,48.8,Qwen3-4B,Qwen3-4B,Qwen3-4B,Qwen3-4B,25.6,5.250000000000007,15.9375,8.700000000000003,False,False,True,True,10.64,6.049999999999997,True,True
