model,dataset,benchmark,seed,n_questions,y_train_mean_reasoning,y_test_mean_reasoning,checkpoint_path,frs_pct,pass1_pct,base_reasoning,snr,unfiltered_reasoning_mean,jsonl_path,high_conf_accuracy_pct,cum_top10_mean_reasoning_0_1,pass16_pct,n_problems,n_lines_with_trace_count_neq_16
DS-R1-1.5B,AQuA,AQuA,17,100,0.64625,0.58375,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__AQuA.json,90.1,11.0,52.31,-1.234517,0.615,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,80.34,0.90125,90.94488188976378,254,0
DS-R1-1.5B,AQuA,AQuA,42,100,0.67125,0.55875,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__AQuA.json,90.1,11.0,52.31,-1.234517,0.615,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,80.34,0.90125,90.94488188976378,254,0
DS-R1-1.5B,AQuA,AQuA,99,100,0.5775,0.6525,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__AQuA.json,90.1,11.0,52.31,-1.234517,0.615,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,80.34,0.90125,90.94488188976378,254,0
DS-R1-1.5B,AQuA,AQuA,123,100,0.62875,0.60125,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__AQuA.json,90.1,11.0,52.31,-1.234517,0.615,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,80.34,0.90125,90.94488188976378,254,0
DS-R1-1.5B,AQuA,AQuA,456,100,0.62875,0.60125,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__AQuA.json,90.1,11.0,52.31,-1.234517,0.615,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,80.34,0.90125,90.94488188976378,254,0
DS-R1-1.5B,AQuA,AQuA,789,100,0.65,0.58,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__AQuA.json,90.1,11.0,52.31,-1.234517,0.615,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,80.34,0.90125,90.94488188976378,254,0
DS-R1-1.5B,AQuA,AQuA,2024,100,0.66625,0.56375,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__AQuA.json,90.1,11.0,52.31,-1.234517,0.615,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,80.34,0.90125,90.94488188976378,254,0
DS-R1-1.5B,AQuA,AQuA,3141,100,0.59375,0.63625,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__AQuA.json,90.1,11.0,52.31,-1.234517,0.615,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,80.34,0.90125,90.94488188976378,254,0
DS-R1-1.5B,CommonsenseQA,CSQA,17,100,0.57,0.545,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__CommonsenseQA.json,56.1,39.6,52.65,-1.23333,0.5575,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,44.37,0.56125,90.9090909090909,1221,0
DS-R1-1.5B,CommonsenseQA,CSQA,42,100,0.5575,0.5575,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__CommonsenseQA.json,56.1,39.6,52.65,-1.23333,0.5575,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,44.37,0.56125,90.9090909090909,1221,0
