model,benchmark,k,n_total_traces_available,n_total_traces_used,n_judged_traces_available,n_judged_topbin_traces,judged_coverage_fraction,notes
DS-R1-1.5B,AQuA,16,4064,4064,250,19,0.04668304668304668,full pass@16 pool
DS-R1-1.5B,CommonsenseQA,16,19536,19536,250,38,0.019447287615148412,full pass@16 pool
DS-R1-1.5B,GPQA,16,7168,7168,250,21,0.029288702928870293,full pass@16 pool
DS-R1-1.5B,GSM8K,16,21104,21104,250,46,0.02179062055897679,full pass@16 pool
DS-R1-1.5B,MATH500,16,8000,8000,250,18,0.0225,full pass@16 pool
DS-R1-1.5B,SVAMP,16,16000,16000,250,34,0.02125,full pass@16 pool
DS-R1-7B,AQuA,16,4064,4064,250,28,0.0687960687960688,full pass@16 pool
DS-R1-7B,CommonsenseQA,16,19536,19536,250,33,0.016888433981576252,full pass@16 pool
DS-R1-7B,GPQA,16,7168,7168,250,28,0.03905160390516039,full pass@16 pool
DS-R1-7B,GSM8K,16,21104,21104,250,25,0.011842728564661297,full pass@16 pool
DS-R1-7B,MATH500,16,8000,8000,250,31,0.03875,full pass@16 pool
DS-R1-7B,SVAMP,16,16000,16000,250,27,0.016875,full pass@16 pool
Gemma-7B,AQuA,16,4064,4064,250,30,0.07371007371007371,full pass@16 pool
Gemma-7B,CommonsenseQA,16,19536,19536,250,31,0.01586489252814739,full pass@16 pool
Gemma-7B,GPQA,16,7168,7168,250,32,0.044630404463040445,full pass@16 pool
Gemma-7B,GSM8K,16,21104,21104,250,22,0.010421601136901942,full pass@16 pool
Gemma-7B,MATH500,16,8000,8000,250,19,0.02375,full pass@16 pool
Gemma-7B,SVAMP,16,16000,16000,250,19,0.011875,full pass@16 pool
LLaMA-3.1-8B,AQuA,16,4064,4064,250,24,0.05896805896805897,full pass@16 pool
LLaMA-3.1-8B,CommonsenseQA,16,19536,19536,250,27,0.013817809621289662,full pass@16 pool
LLaMA-3.1-8B,GPQA,16,7168,7168,250,31,0.043235704323570434,full pass@16 pool
LLaMA-3.1-8B,GSM8K,16,21104,21104,250,20,0.009474182851729039,full pass@16 pool
LLaMA-3.1-8B,MATH500,16,8000,8000,250,14,0.0175,full pass@16 pool
LLaMA-3.1-8B,SVAMP,16,16000,16000,250,21,0.013125,full pass@16 pool
Phi-4,AQuA,16,4064,4064,250,20,0.04914004914004914,full pass@16 pool
Phi-4,CommonsenseQA,16,19536,19536,250,34,0.017400204708290685,full pass@16 pool
Phi-4,GPQA,16,7168,7168,250,40,0.05578800557880056,full pass@16 pool
Phi-4,GSM8K,16,21104,21104,250,21,0.00994789199431549,full pass@16 pool
Phi-4,MATH500,16,8000,8000,250,29,0.03625,full pass@16 pool
Phi-4,SVAMP,16,16000,16000,250,21,0.013125,full pass@16 pool
Phi-4-Reas.,AQuA,16,4064,4064,250,32,0.07862407862407862,full pass@16 pool
Phi-4-Reas.,CommonsenseQA,16,19536,19536,250,26,0.01330603889457523,full pass@16 pool
Phi-4-Reas.,GPQA,16,7168,7168,250,47,0.06555090655509066,full pass@16 pool
Phi-4-Reas.,GSM8K,16,21104,21104,250,23,0.010895310279488394,full pass@16 pool
Phi-4-Reas.,MATH500,16,8000,8000,250,28,0.035,full pass@16 pool
Phi-4-Reas.,SVAMP,16,16000,16000,250,29,0.018125,full pass@16 pool
Qwen2.5-7B,AQuA,16,4064,4064,250,26,0.06388206388206388,full pass@16 pool
Qwen2.5-7B,CommonsenseQA,16,19536,19536,250,26,0.01330603889457523,full pass@16 pool
Qwen2.5-7B,GPQA,16,7168,7168,250,29,0.040446304044630406,full pass@16 pool
Qwen2.5-7B,GSM8K,16,21104,21104,250,23,0.010895310279488394,full pass@16 pool
Qwen2.5-7B,MATH500,16,8000,8000,250,28,0.035,full pass@16 pool
Qwen2.5-7B,SVAMP,16,16000,16000,250,15,0.009375,full pass@16 pool
Qwen2.5-Math,AQuA,16,4064,4064,250,24,0.05896805896805897,full pass@16 pool
Qwen2.5-Math,CommonsenseQA,16,19536,19536,250,34,0.017400204708290685,full pass@16 pool
Qwen2.5-Math,GPQA,16,7168,7168,250,27,0.03765690376569038,full pass@16 pool
Qwen2.5-Math,GSM8K,16,21104,21104,250,20,0.009474182851729039,full pass@16 pool
Qwen2.5-Math,MATH500,16,8000,8000,250,35,0.04375,full pass@16 pool
Qwen2.5-Math,SVAMP,16,16000,16000,250,24,0.015,full pass@16 pool
Qwen3-4B,AQuA,16,4064,4064,250,23,0.056511056511056514,full pass@16 pool
Qwen3-4B,CommonsenseQA,16,19536,19536,250,28,0.014329580348004094,full pass@16 pool
Qwen3-4B,GPQA,16,7168,7168,250,22,0.030683403068340307,full pass@16 pool
Qwen3-4B,GSM8K,16,21104,21104,250,27,0.012790146849834202,full pass@16 pool
Qwen3-4B,MATH500,16,8000,8000,250,23,0.02875,full pass@16 pool
Qwen3-4B,SVAMP,16,16000,16000,250,25,0.015625,full pass@16 pool
DS-R1-1.5B,AQuA,8,2032,2032,250,13,0.06372549019607843,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-1.5B,CommonsenseQA,8,9768,9768,250,17,0.017400204708290685,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-1.5B,GPQA,8,3584,3584,250,14,0.03899721448467967,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-1.5B,GSM8K,8,10552,10552,250,9,0.008522727272727272,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-1.5B,MATH500,8,4000,4000,250,13,0.0325,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-1.5B,SVAMP,8,8000,8000,250,16,0.02,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-7B,AQuA,8,2032,2032,250,13,0.06372549019607843,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-7B,CommonsenseQA,8,9768,9768,250,17,0.017400204708290685,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-7B,GPQA,8,3584,3584,250,16,0.04456824512534819,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-7B,GSM8K,8,10552,10552,250,14,0.013257575757575758,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-7B,MATH500,8,4000,4000,250,19,0.0475,first8: trace_idx 0-7 only; conf from 8-way vote share
DS-R1-7B,SVAMP,8,8000,8000,250,9,0.01125,first8: trace_idx 0-7 only; conf from 8-way vote share
Gemma-7B,AQuA,8,2032,2032,250,11,0.05392156862745098,first8: trace_idx 0-7 only; conf from 8-way vote share
Gemma-7B,CommonsenseQA,8,9768,9768,250,7,0.007164790174002047,first8: trace_idx 0-7 only; conf from 8-way vote share
Gemma-7B,GPQA,8,3584,3584,250,14,0.03899721448467967,first8: trace_idx 0-7 only; conf from 8-way vote share
Gemma-7B,GSM8K,8,10552,10552,250,7,0.006628787878787879,first8: trace_idx 0-7 only; conf from 8-way vote share
Gemma-7B,MATH500,8,4000,4000,250,9,0.0225,first8: trace_idx 0-7 only; conf from 8-way vote share
Gemma-7B,SVAMP,8,8000,8000,250,8,0.01,first8: trace_idx 0-7 only; conf from 8-way vote share
LLaMA-3.1-8B,AQuA,8,2032,2032,250,16,0.0784313725490196,first8: trace_idx 0-7 only; conf from 8-way vote share
LLaMA-3.1-8B,CommonsenseQA,8,9768,9768,250,10,0.01023541453428864,first8: trace_idx 0-7 only; conf from 8-way vote share
LLaMA-3.1-8B,GPQA,8,3584,3584,250,21,0.0584958217270195,first8: trace_idx 0-7 only; conf from 8-way vote share
LLaMA-3.1-8B,GSM8K,8,10552,10552,250,10,0.00946969696969697,first8: trace_idx 0-7 only; conf from 8-way vote share
LLaMA-3.1-8B,MATH500,8,4000,4000,250,8,0.02,first8: trace_idx 0-7 only; conf from 8-way vote share
LLaMA-3.1-8B,SVAMP,8,8000,8000,250,10,0.0125,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4,AQuA,8,2032,2032,250,8,0.0392156862745098,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4,CommonsenseQA,8,9768,9768,250,16,0.016376663254861822,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4,GPQA,8,3584,3584,250,20,0.055710306406685235,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4,GSM8K,8,10552,10552,250,10,0.00946969696969697,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4,MATH500,8,4000,4000,250,13,0.0325,first8: trace_idx 0-7 only; conf from 8-way vote share
Phi-4,SVAMP,8,8000,8000,250,9,0.01125,first8: trace_idx 0-7 only; conf from 8-way vote share
