variant,model,macro_frs_bin010_pct,macro_rank
drop_coherence,DS-R1-1.5B,79.41666666666667,2.0
drop_coherence,DS-R1-7B,88.25,1.0
drop_coherence,Gemma-7B,26.194444444444443,9.0
drop_coherence,LLaMA-3.1-8B,64.97222222222221,8.0
drop_coherence,Phi-4,74.19444444444444,4.0
drop_coherence,Phi-4-Reas.,72.66666666666667,6.0
drop_coherence,Qwen2.5-7B,71.83333333333333,7.0
drop_coherence,Qwen2.5-Math,73.08333333333333,5.0
drop_coherence,Qwen3-4B,77.80555555555556,3.0
drop_factuality,DS-R1-1.5B,79.30555555555556,2.0
drop_factuality,DS-R1-7B,87.77777777777777,1.0
drop_factuality,Gemma-7B,23.86111111111111,9.0
drop_factuality,LLaMA-3.1-8B,59.055555555555564,8.0
drop_factuality,Phi-4,73.19444444444444,5.0
drop_factuality,Phi-4-Reas.,65.0,6.0
drop_factuality,Qwen2.5-7B,61.44444444444445,7.0
drop_factuality,Qwen2.5-Math,73.27777777777777,4.0
drop_factuality,Qwen3-4B,73.47222222222221,3.0
drop_faithfulness,DS-R1-1.5B,80.8611111111111,2.0
drop_faithfulness,DS-R1-7B,89.3888888888889,1.0
drop_faithfulness,Gemma-7B,27.333333333333332,9.0
drop_faithfulness,LLaMA-3.1-8B,63.583333333333336,8.0
drop_faithfulness,Phi-4,75.05555555555556,5.0
drop_faithfulness,Phi-4-Reas.,70.58333333333333,6.0
drop_faithfulness,Qwen2.5-7B,68.47222222222221,7.0
drop_faithfulness,Qwen2.5-Math,75.08333333333333,4.0
drop_faithfulness,Qwen3-4B,76.97222222222223,3.0
drop_utility,DS-R1-1.5B,80.0,2.0
drop_utility,DS-R1-7B,88.41666666666667,1.0
drop_utility,Gemma-7B,27.777777777777775,9.0
drop_utility,LLaMA-3.1-8B,64.97222222222221,8.0
drop_utility,Phi-4,74.55555555555556,4.0
drop_utility,Phi-4-Reas.,70.5,7.0
drop_utility,Qwen2.5-7B,70.66666666666667,6.0
drop_utility,Qwen2.5-Math,73.80555555555556,5.0
drop_utility,Qwen3-4B,76.83333333333333,3.0
full_4d,DS-R1-1.5B,79.89583333333333,2.0
full_4d,DS-R1-7B,88.45833333333333,1.0
full_4d,Gemma-7B,26.291666666666668,9.0
full_4d,LLaMA-3.1-8B,63.145833333333336,8.0
full_4d,Phi-4,74.25,4.0
full_4d,Phi-4-Reas.,69.6875,6.0
full_4d,Qwen2.5-7B,68.10416666666667,7.0
full_4d,Qwen2.5-Math,73.8125,5.0
full_4d,Qwen3-4B,76.27083333333333,3.0
only_coherence,DS-R1-1.5B,81.33333333333333,2.0
only_coherence,DS-R1-7B,89.08333333333333,1.0
only_coherence,Gemma-7B,26.583333333333332,9.0
only_coherence,LLaMA-3.1-8B,57.666666666666664,7.0
only_coherence,Phi-4,74.41666666666667,4.0
only_coherence,Phi-4-Reas.,60.75,6.0
only_coherence,Qwen2.5-7B,56.916666666666664,8.0
only_coherence,Qwen2.5-Math,76.0,3.0
only_coherence,Qwen3-4B,71.66666666666667,5.0
only_factuality,DS-R1-1.5B,81.66666666666667,5.0
only_factuality,DS-R1-7B,90.5,1.0
only_factuality,Gemma-7B,33.583333333333336,9.0
only_factuality,LLaMA-3.1-8B,75.41666666666667,7.5
only_factuality,Phi-4,77.41666666666667,6.0
only_factuality,Phi-4-Reas.,83.75,4.0
only_factuality,Qwen2.5-7B,88.08333333333333,2.0
only_factuality,Qwen2.5-Math,75.41666666666667,7.5
only_factuality,Qwen3-4B,84.66666666666667,3.0
only_faithfulness,DS-R1-1.5B,77.0,2.0
only_faithfulness,DS-R1-7B,85.66666666666667,1.0
only_faithfulness,Gemma-7B,23.166666666666668,9.0
only_faithfulness,LLaMA-3.1-8B,61.833333333333336,8.0
only_faithfulness,Phi-4,71.83333333333333,4.0
only_faithfulness,Phi-4-Reas.,67.0,6.5
only_faithfulness,Qwen2.5-7B,67.0,6.5
only_faithfulness,Qwen2.5-Math,70.0,5.0
only_faithfulness,Qwen3-4B,74.16666666666667,3.0
only_utility,DS-R1-1.5B,79.58333333333333,2.0
only_utility,DS-R1-7B,88.58333333333333,1.0
only_utility,Gemma-7B,21.833333333333332,9.0
only_utility,LLaMA-3.1-8B,57.666666666666664,8.0
only_utility,Phi-4,73.33333333333333,5.0
only_utility,Phi-4-Reas.,67.25,6.0
only_utility,Qwen2.5-7B,60.416666666666664,7.0
only_utility,Qwen2.5-Math,73.83333333333333,4.0
only_utility,Qwen3-4B,74.58333333333333,3.0
