model,benchmark,problem_idx,n_judged_traces_this_problem,mean_reasoning_score_0_1,source_judge_json
DS-R1-1.5B,AQuA,91,3,0.9583333333333334,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,192,4,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,1,4,0.515625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,121,5,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,25,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,129,4,0.65625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,219,2,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,148,2,0.9375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,49,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,30,4,0.96875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,133,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,153,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,235,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,17,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,244,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,72,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,80,4,0.734375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,48,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,180,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,185,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,240,4,0.71875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,141,2,0.90625,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,13,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,63,3,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,128,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,179,2,0.9375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,177,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,178,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,138,1,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,212,2,0.84375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,42,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,4,6,0.9791666666666666,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,7,2,0.375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,206,3,0.8541666666666666,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,156,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,126,4,0.703125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,125,2,0.53125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,175,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,12,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,186,2,0.75,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,130,2,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,100,2,0.9375,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,239,2,0.8125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,174,1,0.875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,164,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,124,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,149,4,0.421875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,194,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,27,2,0.78125,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,96,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,245,1,0.6875,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,92,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,9,1,1.0,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
