model,benchmark,jsonl_path,n_questions,n_trace0_slot,n_trace0_has_code,n_trace0_has_token_probs,n_trace0_correct,k1_accuracy_pct,trace0_correct_coverage,n_lines_trace_count_ne_16,frs_judge_path,has_frs_judge,n_questions_jsonl,n_frs_judged_trace0,trace0_judged_coverage,n_frs_judged_all_traces,n_frs_judged_trace0_all,frs_judge_trace0_fraction_of_judged,n_trace0_four_dims,k1_rs_mean_pct,k1_rs_n,top_bin_0_10_count,top_bin_other_count,mean_confidence_trace0_judged,n_unfiltered_judged_total,n_unfiltered_trace0,n_unfiltered_random_not_t0,bootstrap_k1_accuracy_pct_mean,bootstrap_k1_accuracy_pct_std,note
DS-R1-1.5B,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,254,254.0,254.0,254.0,100.0,39.37007874015748,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json,True,254.0,16.0,0.06299212598425197,250.0,16.0,0.064,16.0,72.265625,16.0,2.0,14.0,0.21618554631972187,10.0,10.0,0.0,48.031496062992126,49.96123489516631,
DS-R1-1.5B,CommonsenseQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,1221,1221.0,1221.0,1221.0,520.0,42.58804258804259,1.0,0.0,,False,1221.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,42.26044226044226,49.397360718929626,
DS-R1-1.5B,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,448,448.0,448.0,448.0,168.0,37.5,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__GPQA.json,True,448.0,17.0,0.03794642857142857,250.0,17.0,0.068,17.0,48.89705882352941,17.0,3.0,14.0,0.24939127732234384,9.0,9.0,0.0,32.589285714285715,46.870748106481344,
DS-R1-1.5B,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,1319,1319.0,1319.0,1319.0,971.0,73.61637604245641,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__GSM8K.json,True,1319.0,15.0,0.011372251705837756,250.0,15.0,0.06,15.0,84.58333333333333,15.0,2.0,13.0,0.2574597823650016,9.0,9.0,0.0,74.29871114480667,43.69865714986272,
DS-R1-1.5B,MATH500,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,500,500.0,500.0,500.0,269.0,53.8,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json,True,500.0,16.0,0.032,250.0,16.0,0.064,16.0,78.125,16.0,2.0,14.0,0.2499128850108142,7.0,7.0,0.0,55.00000000000001,49.749371855331006,
DS-R1-1.5B,SVAMP,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed.jsonl,1000,1000.0,1000.0,1000.0,809.0,80.9,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json,True,1000.0,12.0,0.012,250.0,12.0,0.048,12.0,92.70833333333333,12.0,5.0,7.0,0.2700157513437042,5.0,5.0,0.0,83.2,37.38662862575335,
DS-R1-7B,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/DeepSeek_R1_Distill_Qwen_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2.jsonl,254,254.0,254.0,254.0,186.0,73.22834645669292,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__AQuA.json,True,254.0,14.0,0.05511811023622047,250.0,14.0,0.056,14.0,93.30357142857143,14.0,5.0,9.0,0.2981400842123813,4.0,4.0,0.0,67.71653543307087,46.75600894268826,
DS-R1-7B,CommonsenseQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed.jsonl,1221,1221.0,1221.0,1221.0,588.0,48.157248157248155,1.0,0.0,,False,1221.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,48.239148239148236,49.96898439108309,
DS-R1-7B,GPQA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed.jsonl,448,448.0,448.0,448.0,220.0,49.107142857142854,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__GPQA.json,True,448.0,19.0,0.04241071428571429,250.0,19.0,0.076,19.0,60.526315789473685,19.0,2.0,17.0,0.2484617028014785,5.0,5.0,0.0,50.22321428571429,49.99950175134401,
DS-R1-7B,GSM8K,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed.jsonl,1319,1319.0,1319.0,1319.0,1199.0,90.9021986353298,1.0,0.0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__GSM8K.json,True,1319.0,20.0,0.015163002274450341,250.0,20.0,0.08,20.0,96.875,20.0,4.0,16.0,0.36586080871148635,4.0,4.0,0.0,90.82638362395754,28.865314829210703,
