benchmark,model_a,model_b,pass1_gap_pp,frs_gap_pp,pair_key,random_gap_pp
AQuA,DS-R1-7B,DS-R1-1.5B,58.3,6.700000000000003,AQuA|DS-R1-1.5B|DS-R1-7B,23.0
AQuA,DS-R1-7B,Qwen3-4B,11.799999999999997,18.299999999999997,AQuA|DS-R1-7B|Qwen3-4B,11.0
AQuA,DS-R1-7B,Phi-4,8.299999999999997,18.299999999999997,AQuA|DS-R1-7B|Phi-4,4.75
AQuA,DS-R1-7B,Qwen2.5-Math,40.199999999999996,21.89999999999999,AQuA|DS-R1-7B|Qwen2.5-Math,1.5
AQuA,DS-R1-7B,Phi-4-Reas.,1.2000000000000028,13.599999999999994,AQuA|DS-R1-7B|Phi-4-Reas.,5.875
AQuA,DS-R1-7B,Qwen2.5-7B,9.0,19.599999999999994,AQuA|DS-R1-7B|Qwen2.5-7B,11.125
AQuA,DS-R1-7B,LLaMA-3.1-8B,20.5,43.9,AQuA|DS-R1-7B|LLaMA-3.1-8B,36.375
AQuA,DS-R1-7B,Gemma-7B,65.8,74.6,AQuA|DS-R1-7B|Gemma-7B,42.375
AQuA,DS-R1-1.5B,Qwen3-4B,46.5,11.599999999999994,AQuA|DS-R1-1.5B|Qwen3-4B,12.0
AQuA,DS-R1-1.5B,Phi-4,66.6,11.599999999999994,AQuA|DS-R1-1.5B|Phi-4,27.75
AQuA,DS-R1-1.5B,Qwen2.5-Math,18.1,15.199999999999989,AQuA|DS-R1-1.5B|Qwen2.5-Math,21.5
AQuA,DS-R1-1.5B,Phi-4-Reas.,57.099999999999994,6.8999999999999915,AQuA|DS-R1-1.5B|Phi-4-Reas.,28.875
AQuA,DS-R1-1.5B,Qwen2.5-7B,67.3,12.899999999999991,AQuA|DS-R1-1.5B|Qwen2.5-7B,11.875
AQuA,DS-R1-1.5B,LLaMA-3.1-8B,37.8,37.199999999999996,AQuA|DS-R1-1.5B|LLaMA-3.1-8B,13.375
AQuA,DS-R1-1.5B,Gemma-7B,7.5,67.89999999999999,AQuA|DS-R1-1.5B|Gemma-7B,19.375
AQuA,Qwen3-4B,Phi-4,20.099999999999994,0.0,AQuA|Phi-4|Qwen3-4B,15.75
AQuA,Qwen3-4B,Qwen2.5-Math,28.4,3.5999999999999943,AQuA|Qwen2.5-Math|Qwen3-4B,9.5
AQuA,Qwen3-4B,Phi-4-Reas.,10.599999999999994,4.700000000000003,AQuA|Phi-4-Reas.|Qwen3-4B,16.875
AQuA,Qwen3-4B,Qwen2.5-7B,20.799999999999997,1.2999999999999972,AQuA|Qwen2.5-7B|Qwen3-4B,0.125
AQuA,Qwen3-4B,LLaMA-3.1-8B,8.700000000000003,25.6,AQuA|LLaMA-3.1-8B|Qwen3-4B,25.375
AQuA,Qwen3-4B,Gemma-7B,54.0,56.3,AQuA|Gemma-7B|Qwen3-4B,31.375
AQuA,Phi-4,Qwen2.5-Math,48.49999999999999,3.5999999999999943,AQuA|Phi-4|Qwen2.5-Math,6.25
AQuA,Phi-4,Phi-4-Reas.,9.5,4.700000000000003,AQuA|Phi-4|Phi-4-Reas.,1.125
AQuA,Phi-4,Qwen2.5-7B,0.7000000000000028,1.2999999999999972,AQuA|Phi-4|Qwen2.5-7B,15.875
AQuA,Phi-4,LLaMA-3.1-8B,28.799999999999997,25.6,AQuA|LLaMA-3.1-8B|Phi-4,41.125
AQuA,Phi-4,Gemma-7B,74.1,56.3,AQuA|Gemma-7B|Phi-4,47.125
AQuA,Qwen2.5-Math,Phi-4-Reas.,38.99999999999999,8.299999999999997,AQuA|Phi-4-Reas.|Qwen2.5-Math,7.375
AQuA,Qwen2.5-Math,Qwen2.5-7B,49.199999999999996,2.299999999999997,AQuA|Qwen2.5-7B|Qwen2.5-Math,9.625
AQuA,Qwen2.5-Math,LLaMA-3.1-8B,19.699999999999996,22.000000000000007,AQuA|LLaMA-3.1-8B|Qwen2.5-Math,34.875
AQuA,Qwen2.5-Math,Gemma-7B,25.6,52.7,AQuA|Gemma-7B|Qwen2.5-Math,40.875
