model,benchmark,question_idx,trace_idx,bin_label,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,source_file
DS-R1-1.5B,AQuA,91,0,0-10,0.37033174924000245,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,192,8,0-10,0.3647401411465906,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,1,15,0-10,0.398530700754694,False,3,2,2,3,0.375,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,121,1,0-10,0.37873424214177237,False,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,25,8,0-10,0.3863395656666491,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,192,6,0-10,0.4009059145467637,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,129,2,0-10,0.3877702700484079,True,3,3,3,4,0.5625,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,219,11,0-10,0.3714072896248788,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,148,15,0-10,0.3388648174352771,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,49,1,0-10,0.35460392430613413,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,30,12,0-10,0.3357185856855103,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,133,11,0-10,0.3204224261177986,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,153,13,0-10,0.328312733451556,False,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,121,4,0-10,0.34679138266555326,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,235,9,0-10,0.3510013739072579,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,17,14,0-10,0.3447144488568498,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,244,8,0-10,0.30237822917396423,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,72,0,0-10,0.29770455094935594,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,192,14,0-10,0.2884946331429101,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,80,14,0-10,0.29524599432629717,False,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,48,6,0-10,0.2923321712911058,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,180,1,0-10,0.2949289874421862,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,129,12,0-10,0.3010941263922007,False,2,2,2,3,0.3125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,185,14,0-10,0.31166158753401374,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,240,14,0-10,0.27495002803253077,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,141,2,0-10,0.2803375461078391,True,4,4,4,5,0.8125,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,80,13,0-10,0.28104485081176733,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,13,11,0-10,0.27887584595076076,False,3,4,4,4,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,63,2,0-10,0.27186066359061145,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,128,7,0-10,0.2687517300676663,False,3,4,4,4,0.6875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,72,11,0-10,0.28723837798506635,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,179,7,0-10,0.2830525290694755,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,177,10,0-10,0.2609876829810833,False,4,5,4,5,0.875,True,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,AQuA,30,3,0-10,0.2621479304687678,True,5,5,5,5,1.0,True,judged_DS-R1-1.5B__AQuA.json
