model,dataset,n_total_traces,n_distinct_questions,n_sampled_questions,n_judged_traces,mean_reasoning_score,std_reasoning_score,stderr_reasoning_score,cache_hits,new_judge_calls,seed,jsonl_path,sampled_questions_path,sampled_traces_path,checkpoint_path
DS-R1-1.5B,AQuA,4064,254,100,100,0.615,0.2667554303026643,0.02667554303026643,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__AQuA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__AQuA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__AQuA.json
DS-R1-1.5B,CommonsenseQA,19536,1221,100,100,0.5575,0.2482069538090984,0.024820695380909842,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__CommonsenseQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__CommonsenseQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__CommonsenseQA.json
DS-R1-1.5B,GPQA,7168,448,100,100,0.5075,0.1707085649327946,0.01707085649327946,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__GPQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__GPQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GPQA.json
DS-R1-1.5B,GSM8K,21104,1319,100,100,0.723125,0.2683091874605817,0.02683091874605817,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__GSM8K_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__GSM8K_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__GSM8K.json
DS-R1-1.5B,MATH500,8000,500,100,100,0.64375,0.2631485494752139,0.026314854947521386,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__MATH500_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__MATH500_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__MATH500.json
DS-R1-1.5B,SVAMP,16000,1000,100,100,0.739375,0.2536126288856749,0.025361262888567486,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__SVAMP_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-1_5B__SVAMP_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-1_5B__SVAMP.json
DS-R1-7B,AQuA,4064,254,100,100,0.774375,0.2670769511836155,0.026707695118361553,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/DeepSeek_R1_Distill_Qwen_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__AQuA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__AQuA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-7B__AQuA.json
DS-R1-7B,CommonsenseQA,19536,1221,100,100,0.6925,0.18774815228616418,0.018774815228616418,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__CommonsenseQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__CommonsenseQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-7B__CommonsenseQA.json
DS-R1-7B,GPQA,7168,448,100,100,0.584375,0.18039462039001206,0.018039462039001204,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__GPQA_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__GPQA_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-7B__GPQA.json
DS-R1-7B,GSM8K,21104,1319,100,100,0.93375,0.16543579577966955,0.016543579577966955,100,0,42,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed.jsonl,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__GSM8K_sampled_questions.json,analysis_outputs/unfiltered_reasoning/per_pair_samples/DS-R1-7B__GSM8K_sampled_traces.jsonl,analysis_outputs/unfiltered_reasoning/judging_checkpoints/unfiltered_judged_DS-R1-7B__GSM8K.json
