model,dataset,benchmark,jsonl_path,question_id,trace_id,selection_type,confidence,correct,random_draw_index,exclude_top_from_random,seed,policy_version,reasoning_score,judge_ok,raw_json,error,from_cache
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,197,7,top_conf,0.2298927673874034,False,,True,42,selection_gain_v1,0.625,True,"{""faithfulness"": 3, ""utility"": 4, ""coherence"": 4, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,90,1,random,0.130116491098946,False,0.0,True,42,selection_gain_v1,0.375,True,"{""faithfulness"": 2, ""utility"": 3, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,187,15,top_conf,0.1897139850636176,True,,True,42,selection_gain_v1,0.5625,True,"{""faithfulness"": 3, ""utility"": 3, ""coherence"": 3, ""factuality"": 4}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,253,8,top_conf,0.1799894414438756,False,,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,75,0,random,0.1362217501729788,False,0.0,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,177,12,random,0.2988135828162473,True,0.0,True,42,selection_gain_v1,1.0,True,"{""faithfulness"": 5, ""utility"": 5, ""coherence"": 5, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,219,4,random,0.1449278686349357,False,0.0,True,42,selection_gain_v1,0.5625,True,"{""faithfulness"": 3, ""utility"": 3, ""coherence"": 3, ""factuality"": 4}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,90,4,top_conf,0.1470222525981635,True,,True,42,selection_gain_v1,0.875,True,"{""faithfulness"": 4, ""utility"": 5, ""coherence"": 4, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,204,8,top_conf,0.3328197673535489,False,,True,42,selection_gain_v1,0.875,True,"{""faithfulness"": 4, ""utility"": 5, ""coherence"": 4, ""factuality"": 5}",,False
DS-R1-1.5B,AQuA,AQuA,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,5,5,top_conf,0.1554970148029506,False,,True,42,selection_gain_v1,0.3125,True,"{""faithfulness"": 2, ""utility"": 2, ""coherence"": 2, ""factuality"": 3}",,False
