model,benchmark,dataset,n_sampled,n_judged_ok,n_judge_fail,cache_hits,new_judge_calls,mean_reasoning_score_0_1,mean_reasoning_score_pct,std_reasoning_score_0_1,jsonl_path,checkpoint_path
DS-R1-1.5B,AQuA,AQuA,50,50,0,50,0,0.5225,52.25,0.2745474012082505,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-1_5B__AQuA.json
DS-R1-1.5B,CSQA,CommonsenseQA,50,50,0,50,0,0.54875,54.87499999999999,0.29647428649213475,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-1_5B__CommonsenseQA.json
DS-R1-1.5B,GPQA,GPQA,50,50,0,20,30,0.47,47.0,0.20486742851245565,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-1_5B__GPQA.json
DS-R1-1.5B,GSM8K,GSM8K,50,50,0,0,50,0.805,80.5,0.262335954572042,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-1_5B__GSM8K.json
DS-R1-1.5B,MATH500,MATH500,50,50,0,0,50,0.6875,68.75,0.3287848685628923,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-1_5B__MATH500.json
DS-R1-1.5B,SVAMP,SVAMP,50,50,0,0,50,0.795,79.5,0.29721281800029,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-1_5B__SVAMP.json
DS-R1-7B,AQuA,AQuA,50,50,0,0,50,0.64875,64.875,0.2666311227374721,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/DeepSeek_R1_Distill_Qwen_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-7B__AQuA.json
DS-R1-7B,CSQA,CommonsenseQA,50,50,0,0,50,0.6,60.0,0.321180459796517,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-7B__CommonsenseQA.json
DS-R1-7B,GPQA,GPQA,50,50,0,0,50,0.425,42.5,0.1735912687073534,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-7B__GPQA.json
DS-R1-7B,GSM8K,GSM8K,50,50,0,0,50,0.80125,80.125,0.22541415964252762,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed.jsonl,/Users/manaspathak11/Desktop/Everything/research paper/threshold/analysis_outputs/trace0_k1_judging/judging_checkpoints/trace0_judged_DS-R1-7B__GSM8K.json
