Model,Benchmark,K,Accuracy
DeepSeek-R1-Distill-Qwen-1.5B,AQuA,10,80.34
DeepSeek-R1-Distill-Qwen-1.5B,AQuA,20,72.69
DeepSeek-R1-Distill-Qwen-1.5B,AQuA,30,64.97
DeepSeek-R1-Distill-Qwen-1.5B,AQuA,40,59.78
DeepSeek-R1-Distill-Qwen-1.5B,AQuA,50,54.92
DeepSeek-R1-Distill-Qwen-1.5B,CommonsenseQA,10,44.37
DeepSeek-R1-Distill-Qwen-1.5B,CommonsenseQA,20,42.14
DeepSeek-R1-Distill-Qwen-1.5B,CommonsenseQA,30,41.82
DeepSeek-R1-Distill-Qwen-1.5B,CommonsenseQA,40,41.6
DeepSeek-R1-Distill-Qwen-1.5B,CommonsenseQA,50,41.74
DeepSeek-R1-Distill-Qwen-1.5B,GPQA,10,36.26
DeepSeek-R1-Distill-Qwen-1.5B,GPQA,20,34.94
DeepSeek-R1-Distill-Qwen-1.5B,GPQA,30,34.73
DeepSeek-R1-Distill-Qwen-1.5B,GPQA,40,34.67
DeepSeek-R1-Distill-Qwen-1.5B,GPQA,50,33.71
DeepSeek-R1-Distill-Qwen-1.5B,GSM8K,10,92.28
DeepSeek-R1-Distill-Qwen-1.5B,GSM8K,20,91.33
DeepSeek-R1-Distill-Qwen-1.5B,GSM8K,30,89.45
DeepSeek-R1-Distill-Qwen-1.5B,GSM8K,40,88.19
DeepSeek-R1-Distill-Qwen-1.5B,GSM8K,50,86.24
DeepSeek-R1-Distill-Qwen-1.5B,MATH500,10,76.38
DeepSeek-R1-Distill-Qwen-1.5B,MATH500,20,73.5
DeepSeek-R1-Distill-Qwen-1.5B,MATH500,30,70.62
DeepSeek-R1-Distill-Qwen-1.5B,MATH500,40,68.12
DeepSeek-R1-Distill-Qwen-1.5B,MATH500,50,65.03
DeepSeek-R1-Distill-Qwen-1.5B,SVAMP,10,91.62
DeepSeek-R1-Distill-Qwen-1.5B,SVAMP,20,91.91
DeepSeek-R1-Distill-Qwen-1.5B,SVAMP,30,91.19
DeepSeek-R1-Distill-Qwen-1.5B,SVAMP,40,90.58
DeepSeek-R1-Distill-Qwen-1.5B,SVAMP,50,89.28
DeepSeek-R1-Distill-Qwen-7B,AQuA,10,92.14
DeepSeek-R1-Distill-Qwen-7B,AQuA,20,91.88
DeepSeek-R1-Distill-Qwen-7B,AQuA,30,89.91
DeepSeek-R1-Distill-Qwen-7B,AQuA,40,88.13
DeepSeek-R1-Distill-Qwen-7B,AQuA,50,85.88
DeepSeek-R1-Distill-Qwen-7B,CommonsenseQA,10,56.91
DeepSeek-R1-Distill-Qwen-7B,CommonsenseQA,20,56.83
DeepSeek-R1-Distill-Qwen-7B,CommonsenseQA,30,56.49
DeepSeek-R1-Distill-Qwen-7B,CommonsenseQA,40,56.05
DeepSeek-R1-Distill-Qwen-7B,CommonsenseQA,50,54.98
DeepSeek-R1-Distill-Qwen-7B,GPQA,10,43.1
DeepSeek-R1-Distill-Qwen-7B,GPQA,20,40.45
DeepSeek-R1-Distill-Qwen-7B,GPQA,30,41.7
DeepSeek-R1-Distill-Qwen-7B,GPQA,40,42.45
DeepSeek-R1-Distill-Qwen-7B,GPQA,50,43.64
DeepSeek-R1-Distill-Qwen-7B,GSM8K,10,96.92
DeepSeek-R1-Distill-Qwen-7B,GSM8K,20,96.14
DeepSeek-R1-Distill-Qwen-7B,GSM8K,30,95.75
DeepSeek-R1-Distill-Qwen-7B,GSM8K,40,95.31
DeepSeek-R1-Distill-Qwen-7B,GSM8K,50,94.85
DeepSeek-R1-Distill-Qwen-7B,MATH500,10,77.25
DeepSeek-R1-Distill-Qwen-7B,MATH500,20,76.31
DeepSeek-R1-Distill-Qwen-7B,MATH500,30,75.33
DeepSeek-R1-Distill-Qwen-7B,MATH500,40,74.47
DeepSeek-R1-Distill-Qwen-7B,MATH500,50,72.52
DeepSeek-R1-Distill-Qwen-7B,SVAMP,10,96.25
DeepSeek-R1-Distill-Qwen-7B,SVAMP,20,96.12
DeepSeek-R1-Distill-Qwen-7B,SVAMP,30,95.88
DeepSeek-R1-Distill-Qwen-7B,SVAMP,40,95.86
DeepSeek-R1-Distill-Qwen-7B,SVAMP,50,95.75
Gemma-7B,AQuA,10,13.51
Gemma-7B,AQuA,20,19.56
Gemma-7B,AQuA,30,23.63
Gemma-7B,AQuA,40,25.77
Gemma-7B,AQuA,50,27.31
Gemma-7B,CommonsenseQA,10,15.51
Gemma-7B,CommonsenseQA,20,18.3
Gemma-7B,CommonsenseQA,30,19.69
Gemma-7B,CommonsenseQA,40,17.62
Gemma-7B,CommonsenseQA,50,16.71
Gemma-7B,GPQA,10,11.4
Gemma-7B,GPQA,20,7.95
Gemma-7B,GPQA,30,9.02
Gemma-7B,GPQA,40,12.38
Gemma-7B,GPQA,50,15.26
Gemma-7B,GSM8K,10,24.44
Gemma-7B,GSM8K,20,33.07
Gemma-7B,GSM8K,30,35.65
Gemma-7B,GSM8K,40,36.51
Gemma-7B,GSM8K,50,36.59
Gemma-7B,MATH500,10,4.0
Gemma-7B,MATH500,20,7.0
Gemma-7B,MATH500,30,9.12
Gemma-7B,MATH500,40,10.91
Gemma-7B,MATH500,50,12.2
Gemma-7B,SVAMP,10,21.94
Gemma-7B,SVAMP,20,32.0
Gemma-7B,SVAMP,30,36.12
Gemma-7B,SVAMP,40,38.72
Gemma-7B,SVAMP,50,40.21
LLaMA-3.1-8B-Instruct,AQuA,10,56.76
LLaMA-3.1-8B-Instruct,AQuA,20,50.55
LLaMA-3.1-8B-Instruct,AQuA,30,45.53
LLaMA-3.1-8B-Instruct,AQuA,40,42.8
LLaMA-3.1-8B-Instruct,AQuA,50,40.9
LLaMA-3.1-8B-Instruct,CommonsenseQA,10,68.27
LLaMA-3.1-8B-Instruct,CommonsenseQA,20,68.37
LLaMA-3.1-8B-Instruct,CommonsenseQA,30,68.11
LLaMA-3.1-8B-Instruct,CommonsenseQA,40,67.47
LLaMA-3.1-8B-Instruct,CommonsenseQA,50,67.07
LLaMA-3.1-8B-Instruct,GPQA,10,38.91
LLaMA-3.1-8B-Instruct,GPQA,20,40.93
LLaMA-3.1-8B-Instruct,GPQA,30,41.47
LLaMA-3.1-8B-Instruct,GPQA,40,39.94
LLaMA-3.1-8B-Instruct,GPQA,50,38.62
LLaMA-3.1-8B-Instruct,GSM8K,10,82.85
LLaMA-3.1-8B-Instruct,GSM8K,20,77.49
LLaMA-3.1-8B-Instruct,GSM8K,30,75.25
LLaMA-3.1-8B-Instruct,GSM8K,40,77.13
LLaMA-3.1-8B-Instruct,GSM8K,50,78.03
LLaMA-3.1-8B-Instruct,MATH500,10,54.5
