idx,trace_idx,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,error
0,8,0.5122621654920078,True,5,5,5,5,1.0,True,
1,13,0.7427500309100141,False,2,2,2,2,0.25,True,
1,14,0.5246524950899162,False,3,3,3,3,0.5,True,
2,1,0.41972743600764495,True,5,5,5,5,1.0,True,
3,6,0.4279613891786413,True,5,5,5,5,1.0,True,
3,11,0.8925658240127172,True,5,5,5,5,1.0,True,
3,12,0.40898958608881614,False,5,5,5,5,1.0,True,
4,9,0.39880305315677517,False,5,5,5,5,1.0,True,
4,11,0.38955813515633986,False,5,5,5,5,1.0,True,
4,13,0.4474466532537561,False,5,5,5,5,1.0,True,
5,0,0.4467401158726517,True,5,5,5,5,1.0,True,
5,2,0.8884702801541832,False,2,2,2,3,0.3125,True,
5,5,0.8735184796393691,False,4,4,4,3,0.6875,True,
5,13,0.6211950614576124,True,5,5,5,5,1.0,True,
6,13,0.4541614098077185,False,5,5,5,5,1.0,True,
7,7,0.8725257611016707,False,5,5,5,5,1.0,True,
7,8,0.7936745016156177,True,2,2,2,1,0.1875,True,
7,11,0.46758198574616,False,5,5,5,5,1.0,True,
8,5,0.863868999995007,True,5,5,5,5,1.0,True,
8,7,0.6430635119145944,False,5,5,5,5,1.0,True,
9,3,0.47178780867656556,False,5,5,5,5,1.0,True,
9,10,0.6585119541568002,True,5,5,5,5,1.0,True,
10,10,0.5842166214250032,False,5,5,5,5,1.0,True,
12,6,0.9222580985580732,False,5,5,5,5,1.0,True,
13,8,0.40848627052124203,True,4,4,4,5,0.8125,True,
13,14,0.40380114222403685,False,5,5,5,5,1.0,True,
14,10,0.9391360398651405,True,5,5,5,5,1.0,True,
15,12,0.409632426777769,False,5,5,5,5,1.0,True,
16,10,0.7769627792883161,False,5,5,5,5,1.0,True,
17,10,0.5201328243906628,False,2,2,3,2,0.3125,True,
19,12,0.42888914459870275,False,3,3,3,2,0.4375,True,
20,4,0.7589370226375816,False,5,5,5,5,1.0,True,
20,5,0.5745920469509993,True,5,5,5,5,1.0,True,
20,8,0.5592937386599107,False,3,3,3,4,0.5625,True,
20,11,0.5466773984985195,False,5,5,5,5,1.0,True,
20,15,0.6974983391879186,False,5,5,5,5,1.0,True,
21,0,0.660068565970565,True,5,5,5,5,1.0,True,
21,6,0.5160870851841313,False,5,5,5,5,1.0,True,
21,7,0.4337972672838949,True,5,5,5,5,1.0,True,
21,13,0.48506431736478917,True,5,5,5,5,1.0,True,
24,11,0.6713239534223923,False,1,1,1,1,0.0,True,
25,7,0.45842096530628984,True,5,5,5,5,1.0,True,
25,13,0.8915589048758105,False,2,2,2,2,0.25,True,
25,15,0.4338419410282159,False,3,4,3,4,0.625,True,
27,7,0.40806244522358226,True,4,4,4,5,0.8125,True,
28,13,0.5744589334987471,False,5,5,5,5,1.0,True,
29,6,0.397427964727362,False,5,5,5,5,1.0,True,
30,6,0.913588112258908,True,5,5,5,5,1.0,True,
30,11,0.5478568525684306,False,5,5,5,5,1.0,True,
30,13,0.6004497292906317,False,5,5,5,5,1.0,True,
31,1,0.768851592630785,True,5,5,5,5,1.0,True,
31,5,0.40813880002371583,False,5,5,5,5,1.0,True,
31,8,0.4088368067595995,True,5,5,5,5,1.0,True,
32,2,0.4017292195866432,False,3,3,3,3,0.5,True,
32,13,0.4944059792216022,False,5,5,5,5,1.0,True,
33,4,0.418252562531177,False,2,2,2,2,0.25,True,
33,10,0.4964780299570549,False,5,5,5,5,1.0,True,
34,5,0.9362870343874471,True,5,5,5,5,1.0,True,
34,7,0.43218044970127567,True,5,5,5,5,1.0,True,
34,15,0.5733802881624397,True,5,5,5,5,1.0,True,
35,3,0.9016871381957503,True,1,1,1,1,0.0,True,
36,4,0.43077237580477223,True,5,5,5,5,1.0,True,
36,15,0.4924074263107124,False,1,1,1,1,0.0,True,
39,7,0.4776138436848196,False,3,3,3,4,0.5625,True,
39,14,0.4070448956747746,False,3,3,3,4,0.5625,True,
40,3,0.42749913522504585,False,5,5,5,5,1.0,True,
40,10,0.7819514001250585,False,5,5,5,5,1.0,True,
40,15,0.881181447302087,False,1,1,1,1,0.0,True,
42,2,0.551398529497882,True,5,5,5,5,1.0,True,
42,5,0.4392005450556108,True,5,5,5,5,1.0,True,
42,10,0.9121543730111563,False,5,5,5,5,1.0,True,
43,1,0.5337816864129884,True,5,5,5,5,1.0,True,
44,6,0.46682618691800065,False,5,5,5,5,1.0,True,
46,1,0.5053611557314709,False,5,5,5,5,1.0,True,
46,3,0.4393900277006588,False,2,2,3,2,0.3125,True,
48,15,0.9211628069524255,True,5,5,5,5,1.0,True,
49,3,0.4008236684665267,True,4,4,4,4,0.75,True,
49,12,0.45570619530415585,False,4,4,4,5,0.8125,True,
51,4,0.7409327324255344,True,5,5,5,5,1.0,True,
51,9,0.9074773859532881,True,5,5,5,5,1.0,True,
52,9,0.897312989319087,True,5,5,5,5,1.0,True,
53,7,0.4893166964252881,True,5,5,5,5,1.0,True,
53,10,0.8896211881169086,False,5,5,5,5,1.0,True,
55,1,0.4163105106869249,True,5,5,5,5,1.0,True,
56,5,0.8727418034717195,False,5,5,5,5,1.0,True,
56,8,0.3913495440029458,True,4,4,4,4,0.75,True,
57,11,0.4708012265957009,False,3,3,3,3,0.5,True,
58,9,0.4064993011213922,False,5,5,5,5,1.0,True,
60,1,0.5230752046859347,False,5,5,5,5,1.0,True,
62,5,0.4471806445579138,False,5,5,5,5,1.0,True,
63,8,0.45751573678110874,False,5,5,5,5,1.0,True,
63,11,0.5029578794249014,False,5,5,5,5,1.0,True,
64,7,0.878673281499872,False,2,2,2,2,0.25,True,
65,2,0.4017115491714219,False,3,3,3,3,0.5,True,
67,4,0.8839952849903369,False,4,4,4,4,0.75,True,
67,12,0.4242057116653009,False,5,5,5,5,1.0,True,
67,13,0.4455810337674076,False,4,4,4,4,0.75,True,
70,10,0.5660409237877347,True,5,5,5,5,1.0,True,
71,4,0.43720897869754455,True,5,5,5,5,1.0,True,
71,14,0.43056800756855634,False,5,5,5,5,1.0,True,
71,15,0.541383436014958,True,5,5,5,5,1.0,True,
72,1,0.5285567566028226,True,5,5,5,5,1.0,True,
72,3,0.5396142773572531,False,5,5,5,5,1.0,True,
72,9,0.4634687161328474,False,5,5,5,5,1.0,True,
72,13,0.48753537662202956,True,5,5,5,5,1.0,True,
73,3,0.7046006321059788,True,4,4,4,5,0.8125,True,
73,4,0.7170873580771677,True,5,5,5,5,1.0,True,
74,4,0.5141271406388425,True,5,5,5,5,1.0,True,
74,5,0.3893000844834084,False,5,5,5,5,1.0,True,
74,6,0.4267298523600179,False,3,3,3,4,0.5625,True,
74,8,0.4026842458983422,False,5,5,5,5,1.0,True,
74,9,0.5754050735159913,False,2,2,3,4,0.4375,True,
74,12,0.5489940636793216,False,5,5,5,5,1.0,True,
75,0,0.42745598184415073,False,1,1,1,1,0.0,True,
75,1,0.5673645202697358,False,5,5,5,5,1.0,True,
75,5,0.9043996922181984,False,2,2,2,2,0.25,True,
76,3,0.8958134802544708,False,1,1,1,1,0.0,True,
76,7,0.43279032730603223,False,4,5,4,5,0.875,True,
77,4,0.3981705937211759,False,4,4,4,4,0.75,True,
77,6,0.9432838745378095,False,1,1,1,1,0.0,True,
77,13,0.893159413193813,False,1,1,1,1,0.0,True,
79,5,0.7241327336725757,False,5,5,5,5,1.0,True,
79,9,0.4027004567362512,False,5,5,5,5,1.0,True,
79,10,0.7196634615152236,False,5,5,5,5,1.0,True,
80,3,0.5235883227234148,True,5,5,5,5,1.0,True,
80,13,0.9031821455793638,True,5,5,5,5,1.0,True,
81,2,0.40205842886410104,False,4,4,4,4,0.75,True,
81,3,0.4189244345618073,False,5,5,5,5,1.0,True,
81,4,0.4978447947594531,False,4,4,4,5,0.8125,True,
81,6,0.5011294922440612,False,5,5,5,5,1.0,True,
81,7,0.4875668624827241,True,5,5,5,5,1.0,True,
81,9,0.512088292833736,False,5,5,5,5,1.0,True,
81,10,0.4642967706385105,False,5,5,5,5,1.0,True,
81,11,0.863397190319725,False,5,5,5,5,1.0,True,
81,13,0.5050581894053482,False,5,5,5,5,1.0,True,
82,0,0.9075521285431293,False,3,3,3,3,0.5,True,
82,1,0.3896634637235085,False,3,3,3,3,0.5,True,
82,2,0.41253456205412975,False,4,5,4,5,0.875,True,
82,3,0.5597279226497286,False,5,5,5,5,1.0,True,
82,6,0.6914250390165368,False,5,5,5,5,1.0,True,
82,7,0.40677741647983034,False,5,5,5,5,1.0,True,
83,6,0.43824666804111245,False,5,5,5,5,1.0,True,
83,9,0.6891298972743533,False,4,4,3,5,0.75,True,
87,12,0.5238968470300088,False,5,5,5,5,1.0,True,
87,14,0.39695450501454144,False,5,5,5,5,1.0,True,
88,1,0.426075322632698,False,4,3,4,4,0.6875,True,
88,5,0.520362242157751,False,5,5,5,5,1.0,True,
88,7,0.5687567096827424,True,5,5,5,5,1.0,True,
88,8,0.8710494270650649,False,4,5,4,5,0.875,True,
88,15,0.4858376918450286,True,5,5,5,5,1.0,True,
89,2,0.6967037574312352,True,5,5,5,5,1.0,True,
90,6,0.6258366316085267,False,5,5,5,5,1.0,True,
90,7,0.8789655347230544,False,1,1,1,1,0.0,True,
90,10,0.4913630736598953,False,5,5,5,5,1.0,True,
94,0,0.5377810418049775,False,5,5,5,5,1.0,True,
94,3,0.47944312125343524,False,2,2,3,2,0.3125,True,
94,4,0.4515946010414399,False,2,2,2,2,0.25,True,
94,6,0.4830244972979895,False,5,5,5,5,1.0,True,
