model,benchmark,k1_accuracy_pct,k1_rs_mean_pct,n_frs_judged_trace0,n_questions,trace0_judged_coverage,frs_pct,pass1_pct,k1_rs_coverage_pct,macro_note
DS-R1-1.5B,AQuA,39.37007874015748,72.265625,16.0,254,0.06299212598425197,90.1,11.0,6.299212598425196,
DS-R1-1.5B,CommonsenseQA,42.58804258804259,,0.0,1221,0.0,,,0.0,
DS-R1-1.5B,GPQA,37.5,48.89705882352941,17.0,448,0.03794642857142857,56.6,37.9,3.7946428571428568,
DS-R1-1.5B,GSM8K,73.61637604245641,84.58333333333333,15.0,1319,0.011372251705837756,95.1,60.1,1.1372251705837757,
DS-R1-1.5B,MATH500,53.8,78.125,16.0,500,0.032,84.5,43.2,3.2,
DS-R1-1.5B,SVAMP,80.9,92.70833333333333,12.0,1000,0.012,96.9,65.8,1.2,
DS-R1-7B,AQuA,73.22834645669292,93.30357142857143,14.0,254,0.05511811023622047,96.8,69.3,5.511811023622047,
DS-R1-7B,CommonsenseQA,48.157248157248155,,0.0,1221,0.0,,,0.0,
DS-R1-7B,GPQA,49.107142857142854,60.526315789473685,19.0,448,0.04241071428571429,62.9,46.2,4.241071428571429,
DS-R1-7B,GSM8K,90.9021986353298,96.875,20.0,1319,0.015163002274450341,98.9,91.5,1.5163002274450341,
DS-R1-7B,MATH500,61.2,95.22058823529412,17.0,500,0.034,94.0,63.6,3.4000000000000004,
DS-R1-7B,SVAMP,92.0,98.16176470588235,17.0,1000,0.017,99.0,91.1,1.7000000000000002,
Gemma-7B,AQuA,28.346456692913385,35.22727272727273,11.0,254,0.04330708661417323,22.2,3.5,4.330708661417323,
Gemma-7B,CommonsenseQA,18.673218673218674,,0.0,1221,0.0,,,0.0,
Gemma-7B,GPQA,20.758928571428573,34.02777777777778,18.0,448,0.04017857142857143,30.9,24.8,4.017857142857143,
Gemma-7B,GSM8K,31.91811978771797,42.5,15.0,1319,0.011372251705837756,41.2,36.9,1.1372251705837757,
Gemma-7B,MATH500,13.8,35.9375,16.0,500,0.032,18.9,18.2,3.2,
Gemma-7B,SVAMP,42.0,58.8235294117647,17.0,1000,0.017,31.1,37.8,1.7000000000000002,
LLaMA-3.1-8B,AQuA,47.24409448818898,42.1875,16.0,254,0.06299212598425197,52.9,48.8,6.299212598425196,
LLaMA-3.1-8B,CommonsenseQA,65.43816543816544,,0.0,1221,0.0,,,0.0,
LLaMA-3.1-8B,GPQA,34.375,52.63157894736842,19.0,448,0.04241071428571429,50.5,38.4,4.241071428571429,
LLaMA-3.1-8B,GSM8K,75.8150113722517,78.33333333333333,15.0,1319,0.011372251705837756,79.9,81.3,1.1372251705837757,
LLaMA-3.1-8B,MATH500,32.6,49.51923076923077,13.0,500,0.026,60.6,35.6,2.6,
LLaMA-3.1-8B,SVAMP,80.9,83.55263157894737,19.0,1000,0.019,80.0,85.2,1.9,
Phi-4,AQuA,54.724409448818896,78.67647058823529,17.0,254,0.06692913385826772,78.5,77.6,6.692913385826772,
Phi-4,CommonsenseQA,52.334152334152336,,0.0,1221,0.0,,,0.0,
Phi-4,GPQA,25.892857142857142,51.785714285714285,14.0,448,0.03125,48.4,29.7,3.125,
Phi-4,GSM8K,66.11068991660349,82.95454545454545,22.0,1319,0.016679302501895376,91.5,93.0,1.6679302501895377,
Phi-4,MATH500,57.0,77.88461538461539,13.0,500,0.026,74.4,60.8,2.6,
Phi-4,SVAMP,56.8,86.25,10.0,1000,0.01,75.5,92.3,1.0,
Phi-4-Reas.,AQuA,55.90551181102362,84.21052631578948,19.0,254,0.07480314960629922,83.2,68.1,7.480314960629922,
Phi-4-Reas.,CommonsenseQA,75.51187551187552,,0.0,1221,0.0,,,0.0,
Phi-4-Reas.,GPQA,46.205357142857146,74.70238095238095,21.0,448,0.046875,62.3,44.0,4.6875,
Phi-4-Reas.,GSM8K,95.22365428354814,95.95588235294117,17.0,1319,0.01288855193328279,84.5,95.4,1.288855193328279,
Phi-4-Reas.,MATH500,83.2,75.0,17.0,500,0.034,80.0,74.6,3.4000000000000004,
Phi-4-Reas.,SVAMP,93.5,90.44117647058823,17.0,1000,0.017,74.8,94.6,1.7000000000000002,
Qwen2.5-7B,AQuA,66.14173228346456,70.0,20.0,254,0.07874015748031496,77.2,78.3,7.874015748031496,
Qwen2.5-7B,CommonsenseQA,80.83538083538083,,0.0,1221,0.0,,,0.0,
Qwen2.5-7B,GPQA,29.017857142857142,49.479166666666664,12.0,448,0.026785714285714284,55.1,35.9,2.6785714285714284,
Qwen2.5-7B,GSM8K,78.01364670204701,70.58823529411765,17.0,1319,0.01288855193328279,65.6,90.9,1.288855193328279,
Qwen2.5-7B,MATH500,50.0,62.15277777777778,18.0,500,0.036,75.6,60.6,3.5999999999999996,
Qwen2.5-7B,SVAMP,82.5,60.09615384615385,13.0,1000,0.013,64.9,93.6,1.3,
Qwen2.5-Math,AQuA,56.2992125984252,79.54545454545455,11.0,254,0.04330708661417323,74.9,29.1,4.330708661417323,
Qwen2.5-Math,CommonsenseQA,47.256347256347254,,0.0,1221,0.0,,,0.0,
Qwen2.5-Math,GPQA,29.6875,61.607142857142854,14.0,448,0.03125,54.6,24.3,3.125,
