variant,held_out_benchmark,n_models,models_used,agg_method,train_metric,test_target,corr_kind,r,p_value
original_all_9,AQuA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.8201,0.0068
original_all_9,AQuA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.1167,0.765
original_all_9,AQuA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.3264,0.3914
original_all_9,AQuA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.7167,0.0298
original_all_9,CSQA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.4667,0.2054
original_all_9,CSQA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.0333,0.9322
original_all_9,CSQA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.4167,0.2646
original_all_9,CSQA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,pass1_pct,spearman,0.1667,0.6682
original_all_9,GPQA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,frs_pct,spearman,0.65,0.0581
original_all_9,GPQA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,frs_pct,pass1_pct,spearman,0.45,0.2242
original_all_9,GPQA,9,"DS-R1-1.5B,DS-R1-7B,Gemma-7B,LLaMA-3.1-8B,Phi-4,Phi-4-Reas.,Qwen2.5-7B,Qwen2.5-Math,Qwen3-4B",mean,pass1_pct,frs_pct,spearman,0.5167,0.1544
