model,benchmark,benchmark_frs,ece,n_traces,mean_confidence,accuracy,n_skipped_nan,jsonl_path,frs_pct,pass1_pct,base_reasoning,snr
DS-R1-1.5B,AQuA,AQuA,0.2632434842283764,4064,0.16617503624093158,0.42913385826771655,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,90.1,11.0,52.31,-1.234517
DS-R1-1.5B,CommonsenseQA,CSQA,0.32593616209935955,19536,0.0881799569961749,0.4074017199017199,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,56.1,39.6,52.65,-1.23333
DS-R1-1.5B,GPQA,GPQA,0.17966856969445616,7168,0.18553004657718994,0.35184151785714285,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,56.6,37.9,53.29,-3.651697
DS-R1-1.5B,GSM8K,GSM8K,0.5425963577678962,21104,0.19092197340208655,0.733273313115997,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,95.1,60.1,66.79,-1.699841
DS-R1-1.5B,MATH500,MATH500,0.34976074191876066,8000,0.19069630647362273,0.539,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,84.5,43.2,61.72,0.584968
DS-R1-1.5B,SVAMP,SVAMP,0.6373658064284328,16000,0.17891164439523746,0.8159375,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed.jsonl,96.9,65.8,59.74,-1.896066
DS-R1-7B,AQuA,AQuA,0.49043218699697205,4064,0.22142804922350043,0.7118602362204725,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/DeepSeek_R1_Distill_Qwen_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2.jsonl,96.8,69.3,78.37,2.147622
DS-R1-7B,CommonsenseQA,CSQA,0.36529665755920854,19536,0.12861243361485356,0.49385749385749383,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed.jsonl,79.2,47.3,66.78,-0.12443
DS-R1-7B,GPQA,GPQA,0.3156445869887276,7168,0.19174938622555812,0.5073939732142857,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed.jsonl,62.9,46.2,65.47,0.755437
DS-R1-7B,GSM8K,GSM8K,0.6084898974599741,21104,0.2942773504551131,0.9027672479150872,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed.jsonl,98.9,91.5,88.8,3.799395
DS-R1-7B,MATH500,MATH500,0.33597346766732084,8000,0.2687579180823238,0.604125,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,94.0,63.6,75.88,3.688
DS-R1-7B,SVAMP,SVAMP,0.6639031317899082,16000,0.2552375681267373,0.9190625,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed.jsonl,99.0,91.1,85.63,-0.785886
Gemma-7B,AQuA,AQuA,0.22247762077524136,4064,0.14934756957619383,0.27878937007874016,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_bd56842f-fc4d-452d-9a35-3cf0a3ddfaf9.jsonl,22.2,3.5,41.87,-4.016469
Gemma-7B,CommonsenseQA,CSQA,0.2528336459189619,19536,0.2804301234191919,0.18335380835380835,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_9f780cde-c3a4-4b02-8fc0-562f7bb37bec_processed.jsonl,13.4,27.3,30.78,-0.173487
Gemma-7B,GPQA,GPQA,0.2059883887611308,7168,0.09394538397603781,0.20675223214285715,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/gemma_7b/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_6209e00b-f801-4245-a20d-6b37d8addc6a_processed.jsonl,30.9,24.8,55.11,-0.134219
Gemma-7B,GSM8K,GSM8K,0.244639937483478,21104,0.13037921682325812,0.3264310083396513,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_7e377118-9bc4-4b39-91f3-80a9f16f7d17_processed.jsonl,41.2,36.9,53.39,-4.838499
Gemma-7B,MATH500,MATH500,0.13049328829992432,8000,0.18883395584087298,0.133375,0,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/gemma_7b/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_bd430c2c-e789-45b4-84c5-8a328c0a23ed_processed.jsonl,18.9,18.2,41.45,-1.601544
