idx,trace_idx,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,error
0,7,0.9561545676218116,True,5,5,5,5,1.0,True,
2,4,0.9715692924596593,True,5,5,5,5,1.0,True,
2,15,0.9648870217920866,True,5,5,5,5,1.0,True,
4,0,0.9664009466966578,True,5,5,5,5,1.0,True,
4,10,0.9491337641147609,True,5,5,5,5,1.0,True,
4,12,0.9456970872042075,True,5,5,5,5,1.0,True,
5,14,0.9528073739307118,True,5,5,5,5,1.0,True,
6,8,0.9447777322155005,True,5,5,5,5,1.0,True,
7,0,0.9528444593945554,True,5,5,5,5,1.0,True,
7,3,0.9623544973437181,False,5,5,5,5,1.0,True,
7,12,0.9637070113601536,False,5,5,5,5,1.0,True,
8,14,0.9675771392368566,True,4,4,3,5,0.75,True,
9,12,0.9437945034666911,True,5,5,5,5,1.0,True,
10,1,0.9401107711895416,False,5,4,5,5,0.9375,True,
10,5,0.9332800420077245,False,5,5,5,5,1.0,True,
11,9,0.9702610246835718,True,5,5,5,5,1.0,True,
11,13,0.9410290406751926,False,5,5,5,5,1.0,True,
13,5,0.9693994574009849,True,5,5,5,5,1.0,True,
13,6,0.9544001777511139,True,5,5,5,5,1.0,True,
13,15,0.9221682904805292,True,5,5,5,5,1.0,True,
14,3,0.9532808731309022,True,5,5,5,5,1.0,True,
14,9,0.9513623848815557,True,5,5,5,5,1.0,True,
15,8,0.9363462937243238,True,5,5,5,5,1.0,True,
15,11,0.9475257669173014,True,5,5,5,5,1.0,True,
15,14,0.9645393941288735,True,1,1,1,1,0.0,True,
16,1,0.9722694503159963,True,5,5,5,5,1.0,True,
16,12,0.9749079639717165,True,5,5,5,5,1.0,True,
18,0,0.9479971258130975,True,5,5,5,5,1.0,True,
20,3,0.9430300603725608,True,5,5,5,5,1.0,True,
20,15,0.9204891060969531,True,5,5,5,5,1.0,True,
21,4,0.9533912651389637,True,5,5,5,5,1.0,True,
21,10,0.9585098123217183,True,5,5,5,5,1.0,True,
22,0,0.9564198061145424,True,5,5,5,5,1.0,True,
22,7,0.93979535708038,True,5,5,5,5,1.0,True,
22,12,0.9584565106910237,True,5,5,5,5,1.0,True,
22,13,0.95448402994362,True,5,5,5,5,1.0,True,
23,5,0.9468359325240057,True,5,5,5,5,1.0,True,
23,8,0.9414174255659552,True,5,5,5,5,1.0,True,
24,1,0.9676694986633243,True,5,5,5,5,1.0,True,
24,3,0.9666781721823833,True,5,5,5,5,1.0,True,
24,8,0.9448733190726031,True,5,5,5,5,1.0,True,
25,10,0.9469254325889093,True,5,5,5,5,1.0,True,
26,2,0.9684780594964765,False,5,5,5,5,1.0,True,
26,9,0.9338193115125205,False,5,5,5,5,1.0,True,
26,14,0.9513697417440863,False,5,5,5,5,1.0,True,
27,7,0.9509212955208083,True,5,5,5,5,1.0,True,
28,13,0.9486813405501502,True,5,5,5,5,1.0,True,
29,0,0.9456999261829891,False,1,1,1,5,0.25,True,
29,14,0.9301133148229104,False,5,5,5,5,1.0,True,
30,4,0.9592024998742289,True,5,5,5,5,1.0,True,
30,14,0.9626056585036082,True,5,5,5,5,1.0,True,
31,1,0.9614560763129597,True,5,5,5,5,1.0,True,
31,4,0.9666588054422329,True,5,5,5,5,1.0,True,
31,12,0.9652707314287702,True,5,5,5,5,1.0,True,
34,2,0.9474187830596711,True,5,5,5,5,1.0,True,
36,4,0.9374609132088516,False,3,4,3,4,0.625,True,
36,10,0.9227154066008948,False,2,2,2,2,0.25,True,
36,13,0.9630138661605586,False,3,3,3,3,0.5,True,
36,14,0.9592818593922967,True,5,5,5,5,1.0,True,
36,15,0.9440455602662445,False,1,1,1,1,0.0,True,
38,11,0.9447938412795384,True,5,5,5,5,1.0,True,
39,13,0.9455486461233988,False,5,5,5,5,1.0,True,
40,0,0.9237232934052516,True,5,5,5,5,1.0,True,
42,11,0.9612646381906678,True,5,5,5,5,1.0,True,
42,12,0.9761568010956708,True,5,5,5,5,1.0,True,
42,15,0.964058948854749,True,5,5,5,5,1.0,True,
43,1,0.9265838965980894,True,5,5,5,5,1.0,True,
43,9,0.9457327323978018,False,3,4,3,4,0.625,True,
45,4,0.9588064075094025,True,5,5,5,5,1.0,True,
45,6,0.9626757015640626,True,5,5,5,5,1.0,True,
45,14,0.9756520317553472,True,5,5,5,5,1.0,True,
46,5,0.9318990467947209,True,5,5,5,5,1.0,True,
46,13,0.9250535910559979,False,4,4,4,4,0.75,True,
47,3,0.9546761828362278,True,5,5,5,5,1.0,True,
47,5,0.9416241832752812,True,5,5,5,5,1.0,True,
47,9,0.9474091443430316,True,5,5,5,5,1.0,True,
49,2,0.9482229290008752,False,5,5,5,5,1.0,True,
49,8,0.9699263076684222,False,1,1,1,1,0.0,True,
50,4,0.9431818044836389,False,5,5,5,5,1.0,True,
50,10,0.9356290047895814,True,5,5,5,5,1.0,True,
50,11,0.929427721266766,True,4,4,4,5,0.8125,True,
50,14,0.9470544474790876,True,5,5,5,5,1.0,True,
51,7,0.9353759938855976,True,5,5,5,5,1.0,True,
52,7,0.9307862147876327,False,5,5,5,5,1.0,True,
53,0,0.9726993886432944,True,5,5,5,5,1.0,True,
53,3,0.9782612267742573,True,5,5,5,5,1.0,True,
53,15,0.9259464315201297,True,5,5,5,5,1.0,True,
55,5,0.9582266247787535,True,5,5,5,5,1.0,True,
55,10,0.9626422473773202,True,5,5,5,5,1.0,True,
55,12,0.9475670460929095,True,5,5,5,5,1.0,True,
56,1,0.9638786787430004,True,5,5,5,5,1.0,True,
56,3,0.9416837143790963,True,5,5,5,5,1.0,True,
57,0,0.9657831912509877,True,5,5,5,5,1.0,True,
57,1,0.9616636504879418,True,5,5,5,5,1.0,True,
57,5,0.9572719792669745,True,5,5,5,5,1.0,True,
57,6,0.9414050773611174,True,5,5,5,5,1.0,True,
57,8,0.9496109501728437,True,5,5,5,5,1.0,True,
57,11,0.940594192481104,True,5,5,5,5,1.0,True,
57,12,0.9565010299414858,True,5,5,5,5,1.0,True,
57,14,0.9194447909957666,True,5,5,5,5,1.0,True,
57,15,0.939465488859073,True,5,5,5,5,1.0,True,
59,15,0.9331878790083914,False,5,4,4,5,0.875,True,
61,0,0.9356738085070283,True,5,5,5,5,1.0,True,
61,4,0.9214196278926535,False,5,5,5,5,1.0,True,
61,9,0.928008426930739,True,5,5,5,5,1.0,True,
62,13,0.9575883512438916,True,5,5,5,5,1.0,True,
63,12,0.9457237575391844,True,4,4,5,4,0.8125,True,
64,1,0.9377170041258248,False,2,2,2,2,0.25,True,
64,8,0.9196966692024281,True,2,2,2,2,0.25,True,
64,15,0.9273608278944738,True,5,5,5,5,1.0,True,
65,1,0.9592983427242006,False,5,5,5,5,1.0,True,
65,2,0.935565013593514,False,2,2,2,2,0.25,True,
65,8,0.9611514600690976,False,5,5,5,5,1.0,True,
65,10,0.9353161008589985,False,5,5,5,5,1.0,True,
65,13,0.9510828328880541,False,5,4,5,5,0.9375,True,
66,10,0.9558583198680889,True,5,5,5,5,1.0,True,
70,7,0.9250066985344859,True,5,5,5,5,1.0,True,
70,8,0.9602693662728566,False,4,4,4,4,0.75,True,
70,12,0.9563537294288329,True,5,5,5,5,1.0,True,
72,2,0.9372159090840126,True,5,5,5,5,1.0,True,
72,5,0.9750499728520166,True,5,5,5,5,1.0,True,
72,8,0.9488072082542686,True,5,5,5,5,1.0,True,
73,7,0.9282142210019609,False,5,5,5,5,1.0,True,
74,1,0.9612202948956472,True,5,5,5,5,1.0,True,
74,11,0.9341278491689265,True,5,5,5,5,1.0,True,
74,15,0.9268104846225526,True,5,5,5,5,1.0,True,
76,13,0.9621595241149892,False,1,1,1,1,0.0,True,
77,2,0.9442248170671361,False,4,4,4,5,0.8125,True,
78,0,0.9352883657661893,True,5,5,5,5,1.0,True,
78,12,0.9304811390563903,False,5,5,5,5,1.0,True,
78,13,0.9268588871303156,True,5,5,5,5,1.0,True,
80,0,0.9598621462998986,False,2,2,2,3,0.3125,True,
80,2,0.9376104430923433,False,2,2,2,3,0.3125,True,
80,3,0.9590329187096261,False,2,2,2,2,0.25,True,
80,6,0.9594756981580206,False,2,2,2,3,0.3125,True,
82,0,0.9561587757737249,False,5,5,5,5,1.0,True,
83,4,0.9277085076573629,False,2,2,2,2,0.25,True,
83,8,0.9429284198458688,False,1,1,1,1,0.0,True,
83,15,0.9556864246540953,False,5,5,5,5,1.0,True,
85,5,0.9546257407775535,False,2,2,2,2,0.25,True,
85,6,0.9630776074767781,True,5,5,5,5,1.0,True,
85,10,0.9546182595905957,True,4,5,4,5,0.875,True,
87,11,0.929125098417603,True,5,5,5,5,1.0,True,
87,13,0.9379630593586172,False,1,1,1,1,0.0,True,
87,15,0.9462380302219365,False,5,5,5,5,1.0,True,
88,7,0.960779114262603,False,5,5,5,5,1.0,True,
88,12,0.9436709749970688,True,5,5,5,5,1.0,True,
89,7,0.9293614169542866,False,5,5,5,5,1.0,True,
91,0,0.9538220013934631,False,5,5,5,5,1.0,True,
91,4,0.9253736080831393,False,5,5,5,5,1.0,True,
91,9,0.9552707990517281,False,2,2,2,2,0.25,True,
91,14,0.9215465399906182,True,4,4,4,4,0.75,True,
92,8,0.9452195100741168,True,5,5,5,5,1.0,True,
93,11,0.9283279370618364,False,2,2,2,2,0.25,True,
93,15,0.9377278457174131,True,5,5,5,5,1.0,True,
95,14,0.9265304712368797,False,5,5,5,5,1.0,True,
96,6,0.9216530794846605,False,5,5,5,5,1.0,True,
97,1,0.9686921186772369,True,5,5,5,5,1.0,True,
97,5,0.9304078731858372,True,5,5,5,5,1.0,True,
97,6,0.9636963125848834,True,5,5,5,5,1.0,True,
97,8,0.9771001224122593,True,3,3,3,3,0.5,True,
97,9,0.9768194371039102,True,4,4,4,4,0.75,True,
97,12,0.92691435517777,True,5,5,5,5,1.0,True,
97,14,0.9726781151711071,True,5,5,5,5,1.0,True,
97,15,0.9462287330984631,True,5,5,5,5,1.0,True,
98,3,0.9568628528916312,True,5,5,5,5,1.0,True,
98,9,0.9561559311882013,True,5,5,5,5,1.0,True,
98,15,0.954630056963547,False,2,2,2,3,0.3125,True,
100,3,0.9331491617041339,False,2,2,2,3,0.3125,True,
100,5,0.9216122955606241,False,2,2,2,2,0.25,True,
100,9,0.9474848751052922,False,5,5,5,5,1.0,True,
101,5,0.953120917432021,True,2,3,2,3,0.375,True,
