model,benchmark,resample_id,snr_k16,snr_k8,abs_snr_k16,regime_flip
DS-R1-1.5B,CommonsenseQA,0,0.00039351231637744637,-0.025875216146668573,0.00039351231637744637,True
DS-R1-1.5B,CommonsenseQA,3,0.00039351231637744637,-0.0017502418087226037,0.00039351231637744637,True
DS-R1-1.5B,CommonsenseQA,5,0.00039351231637744637,-0.005059135489078657,0.00039351231637744637,True
DS-R1-1.5B,CommonsenseQA,9,0.00039351231637744637,-0.016048917786171627,0.00039351231637744637,True
DS-R1-1.5B,GPQA,8,-0.053474427346895906,0.013762409102137711,0.053474427346895906,True
Gemma-7B,CommonsenseQA,0,-0.01379210819360508,0.0068352741838044835,0.01379210819360508,True
Gemma-7B,CommonsenseQA,2,-0.01379210819360508,0.002456016344811384,0.01379210819360508,True
Gemma-7B,CommonsenseQA,8,-0.01379210819360508,0.021392291839678567,0.01379210819360508,True
LLaMA-3.1-8B,AQuA,1,0.03778036064244679,-0.01182202130481874,0.03778036064244679,True
Phi-4,MATH500,0,0.019148216284445258,-0.003493644593399074,0.019148216284445258,True
Phi-4,MATH500,1,0.019148216284445258,-0.0029968319680087245,0.019148216284445258,True
Phi-4,MATH500,3,0.019148216284445258,-0.017588744780054406,0.019148216284445258,True
Qwen3-4B,GPQA,0,0.016700504665208175,-0.013543580330724381,0.016700504665208175,True
Qwen3-4B,GPQA,9,0.016700504665208175,-0.03593312377381675,0.016700504665208175,True
