model,benchmark,num_new_entrants,num_displaced,median_k16_pct_new,p95_k16_pct_new
DS-R1-1.5B,AQuA,2.8,307.8,10.364173228346456,10.575541338582678
DS-R1-1.5B,CommonsenseQA,6.7,1471.7,10.115683865683867,10.221283783783784
DS-R1-1.5B,GPQA,4.4,541.4,10.279017857142858,10.505580357142858
DS-R1-1.5B,GSM8K,3.8,1586.8,10.136309072529693,10.214493303007329
DS-R1-1.5B,MATH500,0.8,600.8,10.162500000000001,10.2140625
DS-R1-1.5B,SVAMP,14.4,1214.4,10.2875,10.464062499999999
DS-R1-7B,AQuA,4.4,309.4,10.398622047244094,10.696358267716535
DS-R1-7B,CommonsenseQA,3.0,1468.0,10.11977886977887,10.177876740376739
DS-R1-7B,GPQA,4.7,541.7,10.191127232142858,10.366559709821429
DS-R1-7B,GSM8K,3.7,1586.7,10.137098812231487,10.225549658832449
DS-R1-7B,MATH500,5.9,605.9,10.284374999999999,10.4528125
DS-R1-7B,SVAMP,0.8,1200.8,10.0546875,10.07359375
Gemma-7B,AQuA,2.9,307.9,10.229190101237347,10.336051743532058
Gemma-7B,CommonsenseQA,8.8,1473.8,10.175061425061426,10.30164823914824
Gemma-7B,GPQA,2.8,539.8,10.214378720238095,10.46293712797619
Gemma-7B,GSM8K,4.5,1587.5,10.082804207733131,10.183732941622441
Gemma-7B,MATH500,0.6,600.6,10.181249999999999,10.321875
Gemma-7B,SVAMP,5.0,1205.0,10.12875,10.200312499999999
LLaMA-3.1-8B,AQuA,2.6,307.6,10.428969816272966,10.567585301837271
LLaMA-3.1-8B,CommonsenseQA,3.5,1468.5,10.104422604422604,10.215670215670215
LLaMA-3.1-8B,GPQA,4.2,541.2,10.206473214285714,10.364676339285714
LLaMA-3.1-8B,GSM8K,2.3,1585.3,10.166319181197878,10.264997156937074
LLaMA-3.1-8B,MATH500,1.8,601.8,10.140625,10.243593749999999
LLaMA-3.1-8B,SVAMP,10.4,1210.4,10.235,10.4524375
Phi-4,AQuA,9.1,314.1,10.721316085489315,11.176181102362206
Phi-4,CommonsenseQA,7.1,1472.1,10.207437551187551,10.367718570843572
Phi-4,GPQA,7.3,544.3,10.355050223214286,10.570242745535714
Phi-4,GSM8K,5.4,1588.4,10.115144048521607,10.166319181197878
Phi-4,MATH500,2.7,602.7,10.190625,10.290312499999999
Phi-4,SVAMP,7.3,1207.3,10.10798611111111,10.203020833333333
Phi-4-Reas.,AQuA,4.5,309.5,10.408464566929133,10.615772637795276
Phi-4-Reas.,CommonsenseQA,1.8,1466.8,10.100583538083537,10.188626126126126
Phi-4-Reas.,GPQA,3.9,540.9,10.321916852678571,10.518450055803571
Phi-4-Reas.,GSM8K,3.9,1586.9,10.09129390952742,10.18835291887794
Phi-4-Reas.,MATH500,5.7,605.7,10.355,10.511375
Phi-4-Reas.,SVAMP,6.1,1206.1,10.19140625,10.381640625
Qwen2.5-7B,AQuA,0.5,305.5,10.285433070866143,10.403543307086613
Qwen2.5-7B,CommonsenseQA,15.1,1480.1,10.243360243360243,10.451657014157016
Qwen2.5-7B,GPQA,3.1,540.1,10.140555245535715,10.296630859375
Qwen2.5-7B,GSM8K,8.8,1591.8,10.133544983573413,10.242844958301744
Qwen2.5-7B,MATH500,2.5,602.5,10.115,10.181875000000002
Qwen2.5-7B,SVAMP,7.3,1207.3,10.129464285714286,10.207901785714286
Qwen2.5-Math,AQuA,1.5,306.5,10.334645669291339,10.46875
Qwen2.5-Math,CommonsenseQA,5.5,1470.5,10.152410933660933,10.28095567158067
Qwen2.5-Math,GPQA,3.4,540.4,10.145288584183675,10.228097098214286
Qwen2.5-Math,GSM8K,4.7,1587.7,10.094294920394237,10.181956027293404
Qwen2.5-Math,MATH500,3.7,603.7,10.310416666666667,10.509375
Qwen2.5-Math,SVAMP,6.5,1206.5,10.119642857142855,10.220267857142858
Qwen3-4B,AQuA,1.5,306.5,10.306963582677165,10.396161417322833
Qwen3-4B,CommonsenseQA,1.9,1466.9,10.053874897624897,10.0810042997543
Qwen3-4B,GPQA,2.7,539.7,10.248674665178571,10.370396205357142
Qwen3-4B,GSM8K,5.8,1588.8,10.130307050796059,10.247109552691434
Qwen3-4B,MATH500,1.5,601.5,10.10625,10.167291666666666
Qwen3-4B,SVAMP,4.0,1204.0,10.1765625,10.243828125
