pair_key,benchmark,acc_gap_pp,metric_gap_pp,estimator,is_frs
AQuA|DS-R1-1.5B|DS-R1-7B,AQuA,58.3,6.700000000000003,frs,1
AQuA|DS-R1-1.5B|DS-R1-7B,AQuA,58.3,23.0,random_single,0
AQuA|DS-R1-7B|Qwen3-4B,AQuA,11.799999999999997,18.299999999999997,frs,1
AQuA|DS-R1-7B|Qwen3-4B,AQuA,11.799999999999997,11.0,random_single,0
AQuA|DS-R1-7B|Phi-4,AQuA,8.299999999999997,18.299999999999997,frs,1
AQuA|DS-R1-7B|Phi-4,AQuA,8.299999999999997,4.75,random_single,0
AQuA|DS-R1-7B|Qwen2.5-Math,AQuA,40.199999999999996,21.89999999999999,frs,1
AQuA|DS-R1-7B|Qwen2.5-Math,AQuA,40.199999999999996,1.5,random_single,0
AQuA|DS-R1-7B|Phi-4-Reas.,AQuA,1.2000000000000028,13.599999999999994,frs,1
AQuA|DS-R1-7B|Phi-4-Reas.,AQuA,1.2000000000000028,5.875,random_single,0
AQuA|DS-R1-7B|Qwen2.5-7B,AQuA,9.0,19.599999999999994,frs,1
AQuA|DS-R1-7B|Qwen2.5-7B,AQuA,9.0,11.125,random_single,0
AQuA|DS-R1-7B|LLaMA-3.1-8B,AQuA,20.5,43.9,frs,1
AQuA|DS-R1-7B|LLaMA-3.1-8B,AQuA,20.5,36.375,random_single,0
AQuA|DS-R1-7B|Gemma-7B,AQuA,65.8,74.6,frs,1
AQuA|DS-R1-7B|Gemma-7B,AQuA,65.8,42.375,random_single,0
AQuA|DS-R1-1.5B|Qwen3-4B,AQuA,46.5,11.599999999999994,frs,1
AQuA|DS-R1-1.5B|Qwen3-4B,AQuA,46.5,12.0,random_single,0
AQuA|DS-R1-1.5B|Phi-4,AQuA,66.6,11.599999999999994,frs,1
AQuA|DS-R1-1.5B|Phi-4,AQuA,66.6,27.75,random_single,0
AQuA|DS-R1-1.5B|Qwen2.5-Math,AQuA,18.1,15.199999999999989,frs,1
AQuA|DS-R1-1.5B|Qwen2.5-Math,AQuA,18.1,21.5,random_single,0
AQuA|DS-R1-1.5B|Phi-4-Reas.,AQuA,57.099999999999994,6.8999999999999915,frs,1
AQuA|DS-R1-1.5B|Phi-4-Reas.,AQuA,57.099999999999994,28.875,random_single,0
AQuA|DS-R1-1.5B|Qwen2.5-7B,AQuA,67.3,12.899999999999991,frs,1
AQuA|DS-R1-1.5B|Qwen2.5-7B,AQuA,67.3,11.875,random_single,0
AQuA|DS-R1-1.5B|LLaMA-3.1-8B,AQuA,37.8,37.199999999999996,frs,1
AQuA|DS-R1-1.5B|LLaMA-3.1-8B,AQuA,37.8,13.375,random_single,0
AQuA|DS-R1-1.5B|Gemma-7B,AQuA,7.5,67.89999999999999,frs,1
AQuA|DS-R1-1.5B|Gemma-7B,AQuA,7.5,19.375,random_single,0
AQuA|Phi-4|Qwen3-4B,AQuA,20.099999999999994,0.0,frs,1
AQuA|Phi-4|Qwen3-4B,AQuA,20.099999999999994,15.75,random_single,0
AQuA|Qwen2.5-Math|Qwen3-4B,AQuA,28.4,3.5999999999999943,frs,1
AQuA|Qwen2.5-Math|Qwen3-4B,AQuA,28.4,9.5,random_single,0
AQuA|Phi-4-Reas.|Qwen3-4B,AQuA,10.599999999999994,4.700000000000003,frs,1
AQuA|Phi-4-Reas.|Qwen3-4B,AQuA,10.599999999999994,16.875,random_single,0
AQuA|Qwen2.5-7B|Qwen3-4B,AQuA,20.799999999999997,1.2999999999999972,frs,1
AQuA|Qwen2.5-7B|Qwen3-4B,AQuA,20.799999999999997,0.125,random_single,0
AQuA|LLaMA-3.1-8B|Qwen3-4B,AQuA,8.700000000000003,25.6,frs,1
AQuA|LLaMA-3.1-8B|Qwen3-4B,AQuA,8.700000000000003,25.375,random_single,0
AQuA|Gemma-7B|Qwen3-4B,AQuA,54.0,56.3,frs,1
AQuA|Gemma-7B|Qwen3-4B,AQuA,54.0,31.375,random_single,0
AQuA|Phi-4|Qwen2.5-Math,AQuA,48.49999999999999,3.5999999999999943,frs,1
AQuA|Phi-4|Qwen2.5-Math,AQuA,48.49999999999999,6.25,random_single,0
AQuA|Phi-4|Phi-4-Reas.,AQuA,9.5,4.700000000000003,frs,1
AQuA|Phi-4|Phi-4-Reas.,AQuA,9.5,1.125,random_single,0
AQuA|Phi-4|Qwen2.5-7B,AQuA,0.7000000000000028,1.2999999999999972,frs,1
AQuA|Phi-4|Qwen2.5-7B,AQuA,0.7000000000000028,15.875,random_single,0
AQuA|LLaMA-3.1-8B|Phi-4,AQuA,28.799999999999997,25.6,frs,1
AQuA|LLaMA-3.1-8B|Phi-4,AQuA,28.799999999999997,41.125,random_single,0
AQuA|Gemma-7B|Phi-4,AQuA,74.1,56.3,frs,1
AQuA|Gemma-7B|Phi-4,AQuA,74.1,47.125,random_single,0
AQuA|Phi-4-Reas.|Qwen2.5-Math,AQuA,38.99999999999999,8.299999999999997,frs,1
AQuA|Phi-4-Reas.|Qwen2.5-Math,AQuA,38.99999999999999,7.375,random_single,0
AQuA|Qwen2.5-7B|Qwen2.5-Math,AQuA,49.199999999999996,2.299999999999997,frs,1
AQuA|Qwen2.5-7B|Qwen2.5-Math,AQuA,49.199999999999996,9.625,random_single,0
AQuA|LLaMA-3.1-8B|Qwen2.5-Math,AQuA,19.699999999999996,22.000000000000007,frs,1
AQuA|LLaMA-3.1-8B|Qwen2.5-Math,AQuA,19.699999999999996,34.875,random_single,0
AQuA|Gemma-7B|Qwen2.5-Math,AQuA,25.6,52.7,frs,1
AQuA|Gemma-7B|Qwen2.5-Math,AQuA,25.6,40.875,random_single,0
AQuA|Phi-4-Reas.|Qwen2.5-7B,AQuA,10.200000000000003,6.0,frs,1
AQuA|Phi-4-Reas.|Qwen2.5-7B,AQuA,10.200000000000003,17.0,random_single,0
AQuA|LLaMA-3.1-8B|Phi-4-Reas.,AQuA,19.299999999999997,30.300000000000004,frs,1
AQuA|LLaMA-3.1-8B|Phi-4-Reas.,AQuA,19.299999999999997,42.25,random_single,0
AQuA|Gemma-7B|Phi-4-Reas.,AQuA,64.6,61.0,frs,1
AQuA|Gemma-7B|Phi-4-Reas.,AQuA,64.6,48.25,random_single,0
AQuA|LLaMA-3.1-8B|Qwen2.5-7B,AQuA,29.5,24.300000000000004,frs,1
AQuA|LLaMA-3.1-8B|Qwen2.5-7B,AQuA,29.5,25.25,random_single,0
AQuA|Gemma-7B|Qwen2.5-7B,AQuA,74.8,55.0,frs,1
AQuA|Gemma-7B|Qwen2.5-7B,AQuA,74.8,31.25,random_single,0
AQuA|Gemma-7B|LLaMA-3.1-8B,AQuA,45.3,30.7,frs,1
