model,benchmark,n_total_traces,n_judged_traces_available,n_topbin_traces_under_sc,n_judged_topbin_traces_under_sc,judged_coverage_fraction,has_empty_preds,notes
DS-R1-1.5B,AQuA,4064,250,407,19,0.04668304668304668,True,empty preds: traces agree only with other empty-normalized preds
DS-R1-1.5B,CommonsenseQA,19536,250,1954,38,0.019447287615148412,False,
DS-R1-1.5B,GPQA,7168,250,717,21,0.029288702928870293,True,empty preds: traces agree only with other empty-normalized preds
DS-R1-1.5B,GSM8K,21104,250,2111,46,0.02179062055897679,True,empty preds: traces agree only with other empty-normalized preds
DS-R1-1.5B,MATH500,8000,250,800,18,0.0225,True,empty preds: traces agree only with other empty-normalized preds
DS-R1-1.5B,SVAMP,16000,250,1600,34,0.02125,True,empty preds: traces agree only with other empty-normalized preds
DS-R1-7B,AQuA,4064,250,407,28,0.0687960687960688,False,
DS-R1-7B,CommonsenseQA,19536,250,1954,33,0.016888433981576252,False,
DS-R1-7B,GPQA,7168,250,717,28,0.03905160390516039,True,empty preds: traces agree only with other empty-normalized preds
DS-R1-7B,GSM8K,21104,250,2111,25,0.011842728564661297,True,empty preds: traces agree only with other empty-normalized preds
DS-R1-7B,MATH500,8000,250,800,31,0.03875,False,
DS-R1-7B,SVAMP,16000,250,1600,27,0.016875,True,empty preds: traces agree only with other empty-normalized preds
Gemma-7B,AQuA,4064,250,407,30,0.07371007371007371,True,empty preds: traces agree only with other empty-normalized preds
Gemma-7B,CommonsenseQA,19536,250,1954,31,0.01586489252814739,True,empty preds: traces agree only with other empty-normalized preds
Gemma-7B,GPQA,7168,250,717,32,0.044630404463040445,True,empty preds: traces agree only with other empty-normalized preds
Gemma-7B,GSM8K,21104,250,2111,22,0.010421601136901942,True,empty preds: traces agree only with other empty-normalized preds
Gemma-7B,MATH500,8000,250,800,19,0.02375,True,empty preds: traces agree only with other empty-normalized preds
Gemma-7B,SVAMP,16000,250,1600,19,0.011875,True,empty preds: traces agree only with other empty-normalized preds
LLaMA-3.1-8B,AQuA,4064,250,407,24,0.05896805896805897,True,empty preds: traces agree only with other empty-normalized preds
LLaMA-3.1-8B,CommonsenseQA,19536,250,1954,27,0.013817809621289662,False,
LLaMA-3.1-8B,GPQA,7168,250,717,31,0.043235704323570434,True,empty preds: traces agree only with other empty-normalized preds
LLaMA-3.1-8B,GSM8K,21104,250,2111,20,0.009474182851729039,True,empty preds: traces agree only with other empty-normalized preds
LLaMA-3.1-8B,MATH500,8000,250,800,14,0.0175,True,empty preds: traces agree only with other empty-normalized preds
LLaMA-3.1-8B,SVAMP,16000,250,1600,21,0.013125,True,empty preds: traces agree only with other empty-normalized preds
Phi-4,AQuA,4064,250,407,20,0.04914004914004914,True,empty preds: traces agree only with other empty-normalized preds
Phi-4,CommonsenseQA,19536,250,1954,34,0.017400204708290685,True,empty preds: traces agree only with other empty-normalized preds
