idx,trace_idx,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,error
0,3,0.3425481778924488,True,5,5,5,5,1.0,True,
0,6,0.3392634196393624,True,5,5,5,5,1.0,True,
3,10,0.4147096476166674,True,3,5,3,4,0.6875,True,
3,12,0.36623146011366886,True,3,4,3,4,0.625,True,
4,1,0.3258829811048409,False,4,5,4,4,0.8125,True,
4,6,0.3566164201882249,True,5,5,5,5,1.0,True,
4,12,0.41346955717270295,True,3,4,3,4,0.625,True,
4,13,0.5084304847336679,True,3,4,3,4,0.625,True,
6,3,0.3328610794788579,True,5,5,5,5,1.0,True,
6,5,0.3486764358672255,True,5,5,5,5,1.0,True,
6,8,0.4926675191739537,True,5,5,5,5,1.0,True,
7,0,0.3545697017483634,False,5,5,5,5,1.0,True,
7,2,0.41360103826331557,True,5,5,5,5,1.0,True,
7,6,0.3262262311058727,False,4,5,4,5,0.875,True,
8,15,0.33783885315757367,True,5,5,5,5,1.0,True,
12,1,0.34492029964045745,True,4,5,4,5,0.875,True,
12,2,0.3499829668973858,True,4,5,4,4,0.8125,True,
14,4,0.34576530650924286,True,5,5,5,5,1.0,True,
14,9,0.391775886156043,True,5,5,5,5,1.0,True,
15,4,0.34493325455420676,True,5,5,5,5,1.0,True,
15,5,0.46786744455788887,True,5,5,5,5,1.0,True,
15,6,0.3357538139379036,True,3,4,3,4,0.625,True,
15,9,0.3636006268177019,True,5,5,5,5,1.0,True,
15,10,0.47026455678645424,True,5,5,5,5,1.0,True,
15,11,0.4361649470198248,True,3,4,3,5,0.6875,True,
15,12,0.324563005351121,True,5,5,5,5,1.0,True,
15,14,0.32032331054222224,True,4,5,4,5,0.875,True,
16,0,0.39614972174503243,True,4,5,3,5,0.8125,True,
16,15,0.3943942482991371,True,5,5,5,5,1.0,True,
19,10,0.37383487874388616,True,5,5,5,5,1.0,True,
20,6,0.32259558886662304,False,4,4,3,4,0.6875,True,
20,10,0.32471467868313236,True,4,5,4,4,0.8125,True,
20,11,0.3181756127657802,False,4,4,4,5,0.8125,True,
20,13,0.333832520651876,False,3,4,3,4,0.625,True,
20,15,0.32400189550167585,False,5,5,5,5,1.0,True,
21,1,0.4556911228163822,True,5,5,5,5,1.0,True,
21,6,0.40294644916901856,True,5,5,5,5,1.0,True,
21,10,0.5432938403000772,True,5,5,5,5,1.0,True,
21,12,0.3804153922686901,True,5,5,5,5,1.0,True,
21,15,0.35114952648597947,True,5,5,5,5,1.0,True,
22,0,0.39081539995800746,True,5,5,5,5,1.0,True,
22,6,0.36615720256482814,True,5,5,5,5,1.0,True,
23,13,0.37541378333712483,True,3,4,3,4,0.625,True,
25,7,0.3658130770434917,True,5,5,5,5,1.0,True,
27,10,0.3559717380180142,True,3,4,3,5,0.6875,True,
28,11,0.3193010082215953,True,5,5,5,5,1.0,True,
28,13,0.323291934737666,True,5,5,5,5,1.0,True,
29,6,0.3772541010897931,True,4,5,4,5,0.875,True,
29,11,0.48552134372114514,True,5,5,5,5,1.0,True,
29,13,0.353216554837394,True,4,5,4,5,0.875,True,
30,1,0.34012480015218877,True,4,5,4,5,0.875,True,
30,8,0.32238839644517764,True,5,5,5,5,1.0,True,
31,5,0.33192725555770514,False,5,5,5,5,1.0,True,
33,3,0.3353756141320867,True,5,5,5,5,1.0,True,
33,6,0.3354504678734334,False,5,5,5,5,1.0,True,
33,10,0.4007068692381412,True,5,5,5,5,1.0,True,
33,11,0.3220898799905252,False,5,5,5,5,1.0,True,
33,12,0.3260653393640793,False,5,5,5,5,1.0,True,
34,9,0.3785414474747424,True,4,5,4,5,0.875,True,
34,10,0.4264236655858772,False,4,5,4,5,0.875,True,
36,6,0.3485238379800347,True,4,5,4,5,0.875,True,
36,7,0.33524969218504147,True,5,5,5,5,1.0,True,
36,11,0.3280518413052142,False,5,5,5,5,1.0,True,
36,14,0.35031904197548897,True,5,5,5,5,1.0,True,
36,15,0.3476648747028205,False,5,5,5,5,1.0,True,
37,1,0.3193060782823281,False,4,5,4,5,0.875,True,
37,3,0.32514556641536235,False,3,3,3,3,0.5,True,
37,5,0.35130680746101545,False,4,4,4,4,0.75,True,
37,9,0.3252929361300285,False,4,4,4,4,0.75,True,
37,13,0.3350528449487269,False,4,4,4,4,0.75,True,
37,15,0.34643938828457316,False,1,1,1,1,0.0,True,
40,13,0.4449748824659511,True,4,5,4,4,0.8125,True,
42,11,0.44513027992937154,False,3,5,3,5,0.75,True,
42,12,0.41424248468327357,True,5,5,5,5,1.0,True,
45,10,0.40114959449833576,True,5,5,5,5,1.0,True,
46,0,0.3248286641961712,False,5,5,5,5,1.0,True,
46,1,0.3317972454634197,False,4,4,3,4,0.6875,True,
46,2,0.3385899904303428,False,3,4,3,4,0.625,True,
46,3,0.3641107696570617,False,4,4,4,4,0.75,True,
46,4,0.38464955555920816,True,4,4,4,4,0.75,True,
46,5,0.3733056046251061,False,4,4,3,5,0.75,True,
46,6,0.337652799163972,False,4,5,4,5,0.875,True,
46,7,0.36310924370428094,False,4,4,4,4,0.75,True,
46,8,0.35228478435878857,False,5,5,5,5,1.0,True,
46,10,0.34780206003706143,False,3,3,3,3,0.5,True,
46,11,0.3397103503772945,False,5,5,5,5,1.0,True,
46,12,0.3453134260372481,False,4,5,4,5,0.875,True,
46,13,0.3377703977903529,False,3,3,3,4,0.5625,True,
46,14,0.32292937000469546,False,5,5,5,5,1.0,True,
46,15,0.33882170261837447,False,4,4,4,5,0.8125,True,
47,0,0.3208289779530748,False,3,3,3,2,0.4375,True,
47,7,0.32178046326796944,False,3,3,3,2,0.4375,True,
47,12,0.3206676705668904,False,3,3,2,2,0.375,True,
47,13,0.32241293499900947,False,2,2,2,2,0.25,True,
52,13,0.3446780034977975,True,4,5,4,5,0.875,True,
54,11,0.3232758946630097,True,4,5,4,5,0.875,True,
56,9,0.3218013972185234,True,5,5,5,5,1.0,True,
56,14,0.3587446970257339,True,4,5,4,5,0.875,True,
56,15,0.32574330345508357,True,4,5,4,5,0.875,True,
58,13,0.4562192230266064,True,5,5,5,5,1.0,True,
58,15,0.42549768677928324,True,5,5,5,5,1.0,True,
61,2,0.3804127659304092,False,4,5,4,5,0.875,True,
61,5,0.32446523367603136,True,5,5,5,5,1.0,True,
61,6,0.411538155904502,True,5,5,5,5,1.0,True,
