model,benchmark,n_judged,source_file
DS-R1-1.5B,AQuA,250,judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,CommonsenseQA,250,judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,GPQA,250,judged_DS-R1-1.5B__GPQA.json
DS-R1-1.5B,GSM8K,250,judged_DS-R1-1.5B__GSM8K.json
DS-R1-1.5B,MATH500,250,judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,SVAMP,250,judged_DS-R1-1.5B__SVAMP.json
DS-R1-7B,AQuA,250,judged_DS-R1-7B__AQuA.json
DS-R1-7B,CommonsenseQA,250,judged_DS-R1-7B__CommonsenseQA.json
DS-R1-7B,GPQA,250,judged_DS-R1-7B__GPQA.json
DS-R1-7B,GSM8K,250,judged_DS-R1-7B__GSM8K.json
DS-R1-7B,MATH500,250,judged_DS-R1-7B__MATH500.json
DS-R1-7B,SVAMP,250,judged_DS-R1-7B__SVAMP.json
Gemma-7B,AQuA,250,judged_Gemma-7B__AQuA.json
Gemma-7B,CommonsenseQA,250,judged_Gemma-7B__CommonsenseQA.json
Gemma-7B,GPQA,250,judged_Gemma-7B__GPQA.json
Gemma-7B,GSM8K,250,judged_Gemma-7B__GSM8K.json
Gemma-7B,MATH500,250,judged_Gemma-7B__MATH500.json
Gemma-7B,SVAMP,250,judged_Gemma-7B__SVAMP.json
LLaMA-3.1-8B,AQuA,250,judged_LLaMA-3.1-8B__AQuA.json
LLaMA-3.1-8B,CommonsenseQA,250,judged_LLaMA-3.1-8B__CommonsenseQA.json
LLaMA-3.1-8B,GPQA,250,judged_LLaMA-3.1-8B__GPQA.json
LLaMA-3.1-8B,GSM8K,250,judged_LLaMA-3.1-8B__GSM8K.json
LLaMA-3.1-8B,MATH500,250,judged_LLaMA-3.1-8B__MATH500.json
LLaMA-3.1-8B,SVAMP,250,judged_LLaMA-3.1-8B__SVAMP.json
Phi-4-Reas.,AQuA,250,judged_Phi-4-Reas.__AQuA.json
Phi-4-Reas.,CommonsenseQA,250,judged_Phi-4-Reas.__CommonsenseQA.json
Phi-4-Reas.,GPQA,250,judged_Phi-4-Reas.__GPQA.json
Phi-4-Reas.,GSM8K,250,judged_Phi-4-Reas.__GSM8K.json
Phi-4-Reas.,MATH500,250,judged_Phi-4-Reas.__MATH500.json
Phi-4-Reas.,SVAMP,250,judged_Phi-4-Reas.__SVAMP.json
Phi-4,AQuA,250,judged_Phi-4__AQuA.json
Phi-4,CommonsenseQA,250,judged_Phi-4__CommonsenseQA.json
Phi-4,GPQA,250,judged_Phi-4__GPQA.json
Phi-4,GSM8K,250,judged_Phi-4__GSM8K.json
Phi-4,MATH500,250,judged_Phi-4__MATH500.json
Phi-4,SVAMP,250,judged_Phi-4__SVAMP.json
Qwen2.5-7B,AQuA,250,judged_Qwen2.5-7B__AQuA.json
Qwen2.5-7B,CommonsenseQA,250,judged_Qwen2.5-7B__CommonsenseQA.json
Qwen2.5-7B,GPQA,250,judged_Qwen2.5-7B__GPQA.json
Qwen2.5-7B,GSM8K,250,judged_Qwen2.5-7B__GSM8K.json
Qwen2.5-7B,MATH500,250,judged_Qwen2.5-7B__MATH500.json
Qwen2.5-7B,SVAMP,250,judged_Qwen2.5-7B__SVAMP.json
Qwen2.5-Math,AQuA,250,judged_Qwen2.5-Math__AQuA.json
Qwen2.5-Math,CommonsenseQA,250,judged_Qwen2.5-Math__CommonsenseQA.json
Qwen2.5-Math,GPQA,250,judged_Qwen2.5-Math__GPQA.json
Qwen2.5-Math,GSM8K,250,judged_Qwen2.5-Math__GSM8K.json
Qwen2.5-Math,MATH500,250,judged_Qwen2.5-Math__MATH500.json
Qwen2.5-Math,SVAMP,250,judged_Qwen2.5-Math__SVAMP.json
Qwen3-4B,AQuA,250,judged_Qwen3-4B__AQuA.json
Qwen3-4B,CommonsenseQA,250,judged_Qwen3-4B__CommonsenseQA.json
Qwen3-4B,GPQA,250,judged_Qwen3-4B__GPQA.json
Qwen3-4B,GSM8K,250,judged_Qwen3-4B__GSM8K.json
Qwen3-4B,MATH500,250,judged_Qwen3-4B__MATH500.json
Qwen3-4B,SVAMP,250,judged_Qwen3-4B__SVAMP.json
