summary_type,model,benchmark,metric,value
topk_accuracy_spread,DS-R1-1.5B,AQuA,accuracy_10pct_minus_100pct_pp,37.43
topk_accuracy_spread,DS-R1-1.5B,CSQA,accuracy_10pct_minus_100pct_pp,3.63
topk_accuracy_spread,DS-R1-1.5B,GPQA,accuracy_10pct_minus_100pct_pp,1.08
topk_accuracy_spread,DS-R1-1.5B,GSM8K,accuracy_10pct_minus_100pct_pp,18.95
topk_accuracy_spread,DS-R1-1.5B,MATH500,accuracy_10pct_minus_100pct_pp,22.48
topk_accuracy_spread,DS-R1-1.5B,SVAMP,accuracy_10pct_minus_100pct_pp,10.03
topk_accuracy_spread,DS-R1-7B,AQuA,accuracy_10pct_minus_100pct_pp,20.95
topk_accuracy_spread,DS-R1-7B,CSQA,accuracy_10pct_minus_100pct_pp,7.52
topk_accuracy_spread,DS-R1-7B,GPQA,accuracy_10pct_minus_100pct_pp,-7.64
topk_accuracy_spread,DS-R1-7B,GSM8K,accuracy_10pct_minus_100pct_pp,6.64
topk_accuracy_spread,DS-R1-7B,MATH500,accuracy_10pct_minus_100pct_pp,16.84
topk_accuracy_spread,DS-R1-7B,SVAMP,accuracy_10pct_minus_100pct_pp,4.34
topk_accuracy_spread,Gemma-7B,AQuA,accuracy_10pct_minus_100pct_pp,-14.37
topk_accuracy_spread,Gemma-7B,CSQA,accuracy_10pct_minus_100pct_pp,-2.83
topk_accuracy_spread,Gemma-7B,GPQA,accuracy_10pct_minus_100pct_pp,-9.28
topk_accuracy_spread,Gemma-7B,GSM8K,accuracy_10pct_minus_100pct_pp,-8.2
topk_accuracy_spread,Gemma-7B,MATH500,accuracy_10pct_minus_100pct_pp,-9.34
topk_accuracy_spread,Gemma-7B,SVAMP,accuracy_10pct_minus_100pct_pp,-19.0
topk_accuracy_spread,LLaMA-3.1-8B,AQuA,accuracy_10pct_minus_100pct_pp,12.42
topk_accuracy_spread,LLaMA-3.1-8B,CSQA,accuracy_10pct_minus_100pct_pp,3.25
topk_accuracy_spread,LLaMA-3.1-8B,GPQA,accuracy_10pct_minus_100pct_pp,3.42
topk_accuracy_spread,LLaMA-3.1-8B,GSM8K,accuracy_10pct_minus_100pct_pp,7.52
topk_accuracy_spread,LLaMA-3.1-8B,MATH500,accuracy_10pct_minus_100pct_pp,19.6
topk_accuracy_spread,LLaMA-3.1-8B,SVAMP,accuracy_10pct_minus_100pct_pp,5.37
topk_accuracy_spread,Phi-4,AQuA,accuracy_10pct_minus_100pct_pp,-0.64
topk_accuracy_spread,Phi-4,CSQA,accuracy_10pct_minus_100pct_pp,16.31
topk_accuracy_spread,Phi-4,GPQA,accuracy_10pct_minus_100pct_pp,-8.66
topk_accuracy_spread,Phi-4,GSM8K,accuracy_10pct_minus_100pct_pp,-2.92
topk_accuracy_spread,Phi-4,MATH500,accuracy_10pct_minus_100pct_pp,5.45
topk_accuracy_spread,Phi-4,SVAMP,accuracy_10pct_minus_100pct_pp,-9.73
topk_accuracy_spread,Phi-4-Reas.,AQuA,accuracy_10pct_minus_100pct_pp,15.02
topk_accuracy_spread,Phi-4-Reas.,CSQA,accuracy_10pct_minus_100pct_pp,-6.97
topk_accuracy_spread,Phi-4-Reas.,GPQA,accuracy_10pct_minus_100pct_pp,8.9
topk_accuracy_spread,Phi-4-Reas.,GSM8K,accuracy_10pct_minus_100pct_pp,1.16
topk_accuracy_spread,Phi-4-Reas.,MATH500,accuracy_10pct_minus_100pct_pp,3.79
topk_accuracy_spread,Phi-4-Reas.,SVAMP,accuracy_10pct_minus_100pct_pp,0.25
topk_accuracy_spread,Qwen2.5-7B,AQuA,accuracy_10pct_minus_100pct_pp,23.92
topk_accuracy_spread,Qwen2.5-7B,CSQA,accuracy_10pct_minus_100pct_pp,1.18
topk_accuracy_spread,Qwen2.5-7B,GPQA,accuracy_10pct_minus_100pct_pp,5.82
topk_accuracy_spread,Qwen2.5-7B,GSM8K,accuracy_10pct_minus_100pct_pp,-14.93
topk_accuracy_spread,Qwen2.5-7B,MATH500,accuracy_10pct_minus_100pct_pp,2.19
topk_accuracy_spread,Qwen2.5-7B,SVAMP,accuracy_10pct_minus_100pct_pp,-18.13
topk_accuracy_spread,Qwen2.5-Math,AQuA,accuracy_10pct_minus_100pct_pp,-6.3
topk_accuracy_spread,Qwen2.5-Math,CSQA,accuracy_10pct_minus_100pct_pp,3.44
topk_accuracy_spread,Qwen2.5-Math,GPQA,accuracy_10pct_minus_100pct_pp,9.2
topk_accuracy_spread,Qwen2.5-Math,GSM8K,accuracy_10pct_minus_100pct_pp,-15.75
topk_accuracy_spread,Qwen2.5-Math,MATH500,accuracy_10pct_minus_100pct_pp,-0.08
topk_accuracy_spread,Qwen2.5-Math,SVAMP,accuracy_10pct_minus_100pct_pp,-31.04
topk_accuracy_spread,Qwen3-4B,AQuA,accuracy_10pct_minus_100pct_pp,3.91
topk_accuracy_spread,Qwen3-4B,CSQA,accuracy_10pct_minus_100pct_pp,16.47
topk_accuracy_spread,Qwen3-4B,GPQA,accuracy_10pct_minus_100pct_pp,4.61
topk_accuracy_spread,Qwen3-4B,GSM8K,accuracy_10pct_minus_100pct_pp,18.46
topk_accuracy_spread,Qwen3-4B,MATH500,accuracy_10pct_minus_100pct_pp,-17.6
topk_accuracy_spread,Qwen3-4B,SVAMP,accuracy_10pct_minus_100pct_pp,11.77
topk_accuracy_spread,_MACRO_,_ALL_,mean_spread_pp,2.78
median_split_accuracy_gap,DS-R1-1.5B,AQuA,high_minus_low_conf_accuracy_pp,24.02
median_split_accuracy_gap,DS-R1-1.5B,CSQA,high_minus_low_conf_accuracy_pp,2.0
median_split_accuracy_gap,DS-R1-1.5B,GPQA,high_minus_low_conf_accuracy_pp,-2.96
median_split_accuracy_gap,DS-R1-1.5B,GSM8K,high_minus_low_conf_accuracy_pp,25.82
median_split_accuracy_gap,DS-R1-1.5B,MATH500,high_minus_low_conf_accuracy_pp,22.25
median_split_accuracy_gap,DS-R1-1.5B,SVAMP,high_minus_low_conf_accuracy_pp,15.36
median_split_accuracy_gap,DS-R1-7B,AQuA,high_minus_low_conf_accuracy_pp,29.38
median_split_accuracy_gap,DS-R1-7B,CSQA,high_minus_low_conf_accuracy_pp,11.18
median_split_accuracy_gap,DS-R1-7B,GPQA,high_minus_low_conf_accuracy_pp,-14.2
median_split_accuracy_gap,DS-R1-7B,GSM8K,high_minus_low_conf_accuracy_pp,9.15
median_split_accuracy_gap,DS-R1-7B,MATH500,high_minus_low_conf_accuracy_pp,24.22
median_split_accuracy_gap,DS-R1-7B,SVAMP,high_minus_low_conf_accuracy_pp,7.69
median_split_accuracy_gap,Gemma-7B,AQuA,high_minus_low_conf_accuracy_pp,-1.13
median_split_accuracy_gap,Gemma-7B,CSQA,high_minus_low_conf_accuracy_pp,-3.26
median_split_accuracy_gap,Gemma-7B,GPQA,high_minus_low_conf_accuracy_pp,-10.83
median_split_accuracy_gap,Gemma-7B,GSM8K,high_minus_low_conf_accuracy_pp,7.89
median_split_accuracy_gap,Gemma-7B,MATH500,high_minus_low_conf_accuracy_pp,-2.28
median_split_accuracy_gap,Gemma-7B,SVAMP,high_minus_low_conf_accuracy_pp,-1.45
median_split_accuracy_gap,LLaMA-3.1-8B,AQuA,high_minus_low_conf_accuracy_pp,-6.89
median_split_accuracy_gap,LLaMA-3.1-8B,CSQA,high_minus_low_conf_accuracy_pp,4.1
median_split_accuracy_gap,LLaMA-3.1-8B,GPQA,high_minus_low_conf_accuracy_pp,6.25
median_split_accuracy_gap,LLaMA-3.1-8B,GSM8K,high_minus_low_conf_accuracy_pp,5.4
median_split_accuracy_gap,LLaMA-3.1-8B,MATH500,high_minus_low_conf_accuracy_pp,1.65
median_split_accuracy_gap,LLaMA-3.1-8B,SVAMP,high_minus_low_conf_accuracy_pp,1.68
median_split_accuracy_gap,Phi-4,AQuA,high_minus_low_conf_accuracy_pp,-2.21
median_split_accuracy_gap,Phi-4,CSQA,high_minus_low_conf_accuracy_pp,11.0
median_split_accuracy_gap,Phi-4,GPQA,high_minus_low_conf_accuracy_pp,-12.61
median_split_accuracy_gap,Phi-4,GSM8K,high_minus_low_conf_accuracy_pp,-8.12
median_split_accuracy_gap,Phi-4,MATH500,high_minus_low_conf_accuracy_pp,0.95
median_split_accuracy_gap,Phi-4,SVAMP,high_minus_low_conf_accuracy_pp,-4.36
median_split_accuracy_gap,Phi-4-Reas.,AQuA,high_minus_low_conf_accuracy_pp,17.86
median_split_accuracy_gap,Phi-4-Reas.,CSQA,high_minus_low_conf_accuracy_pp,9.07
median_split_accuracy_gap,Phi-4-Reas.,GPQA,high_minus_low_conf_accuracy_pp,13.92
median_split_accuracy_gap,Phi-4-Reas.,GSM8K,high_minus_low_conf_accuracy_pp,4.57
median_split_accuracy_gap,Phi-4-Reas.,MATH500,high_minus_low_conf_accuracy_pp,12.28
median_split_accuracy_gap,Phi-4-Reas.,SVAMP,high_minus_low_conf_accuracy_pp,4.12
median_split_accuracy_gap,Qwen2.5-7B,AQuA,high_minus_low_conf_accuracy_pp,8.02
median_split_accuracy_gap,Qwen2.5-7B,CSQA,high_minus_low_conf_accuracy_pp,8.0
median_split_accuracy_gap,Qwen2.5-7B,GPQA,high_minus_low_conf_accuracy_pp,2.96
median_split_accuracy_gap,Qwen2.5-7B,GSM8K,high_minus_low_conf_accuracy_pp,-25.89
median_split_accuracy_gap,Qwen2.5-7B,MATH500,high_minus_low_conf_accuracy_pp,-10.28
median_split_accuracy_gap,Qwen2.5-7B,SVAMP,high_minus_low_conf_accuracy_pp,-26.86
median_split_accuracy_gap,Qwen2.5-Math,AQuA,high_minus_low_conf_accuracy_pp,-4.58
median_split_accuracy_gap,Qwen2.5-Math,CSQA,high_minus_low_conf_accuracy_pp,6.47
median_split_accuracy_gap,Qwen2.5-Math,GPQA,high_minus_low_conf_accuracy_pp,7.25
median_split_accuracy_gap,Qwen2.5-Math,GSM8K,high_minus_low_conf_accuracy_pp,-6.59
median_split_accuracy_gap,Qwen2.5-Math,MATH500,high_minus_low_conf_accuracy_pp,8.45
median_split_accuracy_gap,Qwen2.5-Math,SVAMP,high_minus_low_conf_accuracy_pp,-10.7
median_split_accuracy_gap,Qwen3-4B,AQuA,high_minus_low_conf_accuracy_pp,4.33
median_split_accuracy_gap,Qwen3-4B,CSQA,high_minus_low_conf_accuracy_pp,5.51
median_split_accuracy_gap,Qwen3-4B,GPQA,high_minus_low_conf_accuracy_pp,-3.12
median_split_accuracy_gap,Qwen3-4B,GSM8K,high_minus_low_conf_accuracy_pp,19.46
median_split_accuracy_gap,Qwen3-4B,MATH500,high_minus_low_conf_accuracy_pp,-11.15
median_split_accuracy_gap,Qwen3-4B,SVAMP,high_minus_low_conf_accuracy_pp,15.39
median_split_accuracy_gap,_MACRO_,_ALL_,mean_gap_pp,3.48
top10_concentration,_MACRO_,_ALL_,mean_fraction_problems_contributing_to_top10_pool,0.638
frs_vs_unfiltered_rank,_MACRO_,_ALL_,spearman_model_rank,0.45
lobo_transfer_precomputed,_MACRO_,_ALL_,mean_lobo_spearman_frs_to_frs,0.7117
