idx,trace_idx,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,error
62,14,0.8280197390220688,True,4,4,4,5,0.8125,True,
62,11,0.8291014567488142,True,3,3,3,4,0.5625,True,
80,2,0.8462011711192501,True,5,5,5,5,1.0,True,
80,12,0.8378894584916741,True,5,5,5,5,1.0,True,
80,15,0.8474331220806667,True,5,5,5,5,1.0,True,
10,11,0.8235130587666286,False,1,1,1,1,0.0,True,
17,9,0.8278896986957107,True,5,5,5,5,1.0,True,
80,4,0.8240295811305999,True,5,5,5,5,1.0,True,
62,0,0.8251152246301489,True,3,3,3,4,0.5625,True,
80,6,0.8186482308506806,True,5,5,5,5,1.0,True,
17,2,0.7855562040880618,True,3,4,3,5,0.6875,True,
17,14,0.7849041485944611,True,3,4,4,5,0.75,True,
31,13,0.7782204464074626,True,4,5,4,5,0.875,True,
17,5,0.7811566302190491,True,3,4,4,4,0.6875,True,
80,11,0.7746809440269944,True,5,5,5,5,1.0,True,
156,14,0.7693593499011551,True,4,4,4,5,0.8125,True,
81,9,0.771477610487464,False,2,2,2,3,0.3125,True,
156,8,0.7589263124385577,True,5,5,5,5,1.0,True,
2,15,0.7695918652874252,True,5,5,5,5,1.0,True,
149,0,0.752075623830744,True,3,4,3,4,0.625,True,
80,10,0.8458887951626466,True,5,5,5,5,1.0,True,
81,1,0.7508269173744929,False,2,2,2,3,0.3125,True,
36,5,0.7487900757202889,True,3,4,4,5,0.75,True,
36,7,0.7493270903113084,True,3,4,4,5,0.75,True,
36,9,0.7487691781380752,True,3,4,4,5,0.75,True,
80,14,0.748483757787204,True,4,4,4,5,0.8125,True,
84,13,0.7481817398488774,False,2,2,2,2,0.25,True,
36,13,0.7452201699298028,True,3,4,3,4,0.625,True,
22,12,0.733912708297424,True,5,5,5,5,1.0,True,
22,15,0.7344763716536857,True,5,5,5,5,1.0,True,
29,9,0.7320398076669474,True,5,5,5,5,1.0,True,
22,4,0.7319694157352744,True,3,3,3,5,0.625,True,
29,8,0.7293920270115954,True,4,4,4,5,0.8125,True,
22,0,0.7297525098557457,True,3,4,3,5,0.6875,True,
104,6,0.7320137072852122,False,2,2,2,2,0.25,True,
26,9,0.7278823899247708,False,3,4,3,4,0.625,True,
22,2,0.7289497752556571,True,5,5,5,5,1.0,True,
19,2,0.7273577358020443,True,5,5,5,5,1.0,True,
97,2,0.7254455054633526,True,5,5,5,5,1.0,True,
19,1,0.7251272667076177,True,5,5,5,5,1.0,True,
26,14,0.7246352252279926,False,3,3,3,4,0.5625,True,
26,13,0.7212077839043884,False,2,2,2,3,0.3125,True,
104,7,0.7237090237007965,False,2,3,3,3,0.4375,True,
