idx,trace_idx,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,error
0,9,0.7513306864049778,False,2,2,2,2,0.25,True,
1,9,0.8134179797720253,False,2,2,2,2,0.25,True,
2,9,0.41424396744010644,False,1,1,1,1,0.0,True,
2,11,0.2934751690259032,False,5,5,5,5,1.0,True,
3,8,0.3782362745724787,False,5,5,5,5,1.0,True,
3,10,0.33626372128543813,False,4,4,4,5,0.8125,True,
4,14,0.364617908340878,True,5,5,5,5,1.0,True,
5,1,0.2825387706810051,False,4,4,4,5,0.8125,True,
5,15,0.39430949401792015,False,1,1,1,1,0.0,True,
7,7,0.3195977836906681,False,5,5,5,5,1.0,True,
7,12,0.9596396909584283,False,,,,,,False,empty_cot
9,4,0.3640373949940936,True,5,5,5,5,1.0,True,
9,5,0.29397953749111677,False,5,5,5,5,1.0,True,
9,11,0.3094683648458806,True,5,5,5,5,1.0,True,
10,15,0.2899326671256278,False,4,4,4,5,0.8125,True,
11,2,0.2888456623315649,False,5,5,5,5,1.0,True,
11,9,0.37731988511909853,False,2,2,2,2,0.25,True,
12,3,0.5593037368586781,False,5,5,5,5,1.0,True,
12,4,0.9382212221197502,False,1,1,1,1,0.0,True,
13,6,0.38444898789170007,False,1,1,1,1,0.0,True,
14,14,0.4225838392438596,False,5,5,5,5,1.0,True,
15,14,0.35191508340497923,True,5,5,5,5,1.0,True,
17,7,0.349598340050768,False,5,2,3,4,0.625,True,
18,11,0.48768240814233926,False,5,5,5,5,1.0,True,
19,6,0.29872086269278936,False,2,1,2,5,0.375,True,
19,11,0.8560248990856305,False,2,2,2,2,0.25,True,
21,1,0.41358904661288043,True,5,5,5,5,1.0,True,
21,15,0.42061105317036596,False,2,2,3,2,0.3125,True,
22,6,0.39692480154681353,True,5,5,5,5,1.0,True,
23,9,0.9303664348548427,True,1,1,1,5,0.25,True,
23,14,0.8719122314470166,False,1,1,1,1,0.0,True,
24,1,0.8444694657514793,False,2,2,2,2,0.25,True,
24,8,0.42186853795429696,False,1,1,1,1,0.0,True,
25,14,0.289132878954325,False,2,2,2,2,0.25,True,
26,4,0.4325439836771506,False,5,5,5,5,1.0,True,
26,6,0.7076388279956732,False,1,1,1,1,0.0,True,
27,13,0.2959820296472935,True,5,5,5,5,1.0,True,
27,14,0.4205502369758839,True,3,3,3,4,0.5625,True,
28,4,0.3601839888708039,False,5,5,5,5,1.0,True,
28,14,0.6234406702698356,False,1,1,1,1,0.0,True,
29,4,0.5114620697954932,False,1,1,1,1,0.0,True,
29,8,0.41760010136505715,True,3,4,3,4,0.625,True,
29,10,0.6693014301099101,False,1,1,1,1,0.0,True,
30,11,0.33108697891215555,True,5,5,5,5,1.0,True,
30,12,0.30909856482878223,False,5,5,5,5,1.0,True,
30,15,0.8910782058580432,True,5,5,5,5,1.0,True,
31,4,0.8484686513932571,False,5,4,5,5,0.9375,True,
31,11,0.5740957258179471,True,4,4,4,5,0.8125,True,
31,14,0.5829969434921984,True,4,4,4,4,0.75,True,
32,7,0.8213797212251156,False,5,5,5,5,1.0,True,
32,12,0.4837244589220067,False,5,5,5,5,1.0,True,
33,7,0.4388199655497276,False,2,2,2,2,0.25,True,
34,5,0.37032836838417355,True,5,5,5,5,1.0,True,
34,6,0.7513210883699328,False,1,1,1,1,0.0,True,
35,7,0.8785552356123705,False,5,5,5,5,1.0,True,
35,9,0.3861512541674865,False,3,3,3,4,0.5625,True,
36,1,0.2796661004192539,False,4,4,4,5,0.8125,True,
36,3,0.2750686628211323,False,5,5,5,5,1.0,True,
36,10,0.5223479498380343,False,5,5,5,5,1.0,True,
36,14,0.29057868008421384,True,3,3,3,3,0.5,True,
38,0,0.40610159158538905,False,4,4,4,4,0.75,True,
38,1,0.3497195977516613,False,4,4,4,4,0.75,True,
38,4,0.6200908377815045,False,5,5,5,5,1.0,True,
38,12,0.7809346313531778,False,3,2,3,3,0.4375,True,
38,13,0.2833070036841243,False,5,5,5,5,1.0,True,
