model,benchmark,resample_id,num_k4_top10,num_k8_top10,num_intersection,recall_k4_in_k8,jaccard
DS-R1-1.5B,AQuA,0,102,204,35,0.3431372549019608,0.12915129151291513
DS-R1-1.5B,AQuA,1,102,204,52,0.5098039215686274,0.2047244094488189
DS-R1-1.5B,AQuA,2,102,204,36,0.35294117647058826,0.13333333333333333
DS-R1-1.5B,AQuA,3,102,204,54,0.5294117647058824,0.21428571428571427
DS-R1-1.5B,AQuA,4,102,204,50,0.49019607843137253,0.1953125
DS-R1-1.5B,AQuA,5,102,204,49,0.4803921568627451,0.19066147859922178
DS-R1-1.5B,AQuA,6,102,204,49,0.4803921568627451,0.19066147859922178
DS-R1-1.5B,AQuA,7,102,204,40,0.39215686274509803,0.15037593984962405
DS-R1-1.5B,AQuA,8,102,204,43,0.4215686274509804,0.1634980988593156
DS-R1-1.5B,AQuA,9,102,204,45,0.4411764705882353,0.1724137931034483
DS-R1-1.5B,CommonsenseQA,0,489,977,249,0.50920245398773,0.20460147904683648
DS-R1-1.5B,CommonsenseQA,1,489,977,243,0.49693251533742333,0.19869174161896974
DS-R1-1.5B,CommonsenseQA,2,489,977,240,0.49079754601226994,0.19575856443719414
DS-R1-1.5B,CommonsenseQA,3,489,977,221,0.45194274028629855,0.17751004016064256
DS-R1-1.5B,CommonsenseQA,4,489,977,231,0.4723926380368098,0.18704453441295546
DS-R1-1.5B,CommonsenseQA,5,489,977,229,0.46830265848670755,0.185125303152789
DS-R1-1.5B,CommonsenseQA,6,489,977,251,0.5132924335378323,0.20658436213991768
DS-R1-1.5B,CommonsenseQA,7,489,977,245,0.5010224948875256,0.20065520065520065
DS-R1-1.5B,CommonsenseQA,8,489,977,254,0.5194274028629857,0.20957095709570958
DS-R1-1.5B,CommonsenseQA,9,489,977,230,0.4703476482617587,0.18608414239482202
DS-R1-1.5B,GPQA,0,180,359,92,0.5111111111111111,0.2058165548098434
DS-R1-1.5B,GPQA,1,180,359,87,0.48333333333333334,0.19247787610619468
DS-R1-1.5B,GPQA,2,180,359,84,0.4666666666666667,0.18461538461538463
DS-R1-1.5B,GPQA,3,180,359,85,0.4722222222222222,0.18722466960352424
DS-R1-1.5B,GPQA,4,180,359,81,0.45,0.17685589519650655
DS-R1-1.5B,GPQA,5,180,359,98,0.5444444444444444,0.2222222222222222
DS-R1-1.5B,GPQA,6,180,359,93,0.5166666666666667,0.2085201793721973
DS-R1-1.5B,GPQA,7,180,359,81,0.45,0.17685589519650655
DS-R1-1.5B,GPQA,8,180,359,79,0.4388888888888889,0.17173913043478262
DS-R1-1.5B,GPQA,9,180,359,90,0.5,0.20044543429844097
DS-R1-1.5B,GSM8K,0,528,1056,244,0.4621212121212121,0.18208955223880596
DS-R1-1.5B,GSM8K,1,528,1056,267,0.5056818181818182,0.20273348519362186
DS-R1-1.5B,GSM8K,2,528,1056,256,0.48484848484848486,0.1927710843373494
DS-R1-1.5B,GSM8K,3,528,1056,273,0.5170454545454546,0.20823798627002288
DS-R1-1.5B,GSM8K,4,528,1056,253,0.4791666666666667,0.19008264462809918
DS-R1-1.5B,GSM8K,5,528,1056,274,0.5189393939393939,0.20916030534351146
DS-R1-1.5B,GSM8K,6,528,1056,266,0.5037878787878788,0.20182094081942337
DS-R1-1.5B,GSM8K,7,528,1056,239,0.45265151515151514,0.17769516728624535
DS-R1-1.5B,GSM8K,8,528,1056,277,0.5246212121212122,0.21193573068094873
DS-R1-1.5B,GSM8K,9,528,1056,264,0.5,0.2
DS-R1-1.5B,MATH500,0,200,400,91,0.455,0.1787819253438114
DS-R1-1.5B,MATH500,1,200,400,96,0.48,0.19047619047619047
DS-R1-1.5B,MATH500,2,200,400,102,0.51,0.20481927710843373
DS-R1-1.5B,MATH500,3,200,400,96,0.48,0.19047619047619047
DS-R1-1.5B,MATH500,4,200,400,95,0.475,0.18811881188118812
DS-R1-1.5B,MATH500,5,200,400,86,0.43,0.16731517509727625
DS-R1-1.5B,MATH500,6,200,400,86,0.43,0.16731517509727625
DS-R1-1.5B,MATH500,7,200,400,98,0.49,0.1952191235059761
DS-R1-1.5B,MATH500,8,200,400,98,0.49,0.1952191235059761
DS-R1-1.5B,MATH500,9,200,400,104,0.52,0.20967741935483872
DS-R1-1.5B,SVAMP,0,400,800,186,0.465,0.1834319526627219
DS-R1-1.5B,SVAMP,1,400,800,204,0.51,0.20481927710843373
DS-R1-1.5B,SVAMP,2,400,800,190,0.475,0.18811881188118812
DS-R1-1.5B,SVAMP,3,400,800,182,0.455,0.1787819253438114
DS-R1-1.5B,SVAMP,4,400,800,196,0.49,0.1952191235059761
DS-R1-1.5B,SVAMP,5,400,800,206,0.515,0.20724346076458752
DS-R1-1.5B,SVAMP,6,400,800,191,0.4775,0.18929633300297324
DS-R1-1.5B,SVAMP,7,400,800,198,0.495,0.19760479041916168
DS-R1-1.5B,SVAMP,8,400,800,176,0.44,0.171875
DS-R1-1.5B,SVAMP,9,400,800,198,0.495,0.19760479041916168
DS-R1-7B,AQuA,0,102,204,43,0.4215686274509804,0.1634980988593156
DS-R1-7B,AQuA,1,102,204,46,0.45098039215686275,0.17692307692307693
DS-R1-7B,AQuA,2,102,204,48,0.47058823529411764,0.18604651162790697
DS-R1-7B,AQuA,3,102,204,52,0.5098039215686274,0.2047244094488189
DS-R1-7B,AQuA,4,102,204,54,0.5294117647058824,0.21428571428571427
DS-R1-7B,AQuA,5,102,204,52,0.5098039215686274,0.2047244094488189
DS-R1-7B,AQuA,6,102,204,51,0.5,0.2
DS-R1-7B,AQuA,7,102,204,46,0.45098039215686275,0.17692307692307693
DS-R1-7B,AQuA,8,102,204,45,0.4411764705882353,0.1724137931034483
DS-R1-7B,AQuA,9,102,204,54,0.5294117647058824,0.21428571428571427
DS-R1-7B,CommonsenseQA,0,489,977,238,0.4867075664621677,0.19381107491856678
DS-R1-7B,CommonsenseQA,1,489,977,238,0.4867075664621677,0.19381107491856678
DS-R1-7B,CommonsenseQA,2,489,977,245,0.5010224948875256,0.20065520065520065
DS-R1-7B,CommonsenseQA,3,489,977,256,0.523517382413088,0.2115702479338843
DS-R1-7B,CommonsenseQA,4,489,977,240,0.49079754601226994,0.19575856443719414
DS-R1-7B,CommonsenseQA,5,489,977,246,0.5030674846625767,0.20163934426229507
DS-R1-7B,CommonsenseQA,6,489,977,232,0.47443762781186094,0.1880064829821718
DS-R1-7B,CommonsenseQA,7,489,977,243,0.49693251533742333,0.19869174161896974
DS-R1-7B,CommonsenseQA,8,489,977,242,0.4948875255623722,0.1977124183006536
DS-R1-7B,CommonsenseQA,9,489,977,260,0.5316973415132924,0.2155887230514096
DS-R1-7B,GPQA,0,180,359,83,0.46111111111111114,0.18201754385964913
DS-R1-7B,GPQA,1,180,359,95,0.5277777777777778,0.21396396396396397
DS-R1-7B,GPQA,2,180,359,85,0.4722222222222222,0.18722466960352424
DS-R1-7B,GPQA,3,180,359,95,0.5277777777777778,0.21396396396396397
DS-R1-7B,GPQA,4,180,359,81,0.45,0.17685589519650655
DS-R1-7B,GPQA,5,180,359,87,0.48333333333333334,0.19247787610619468
DS-R1-7B,GPQA,6,180,359,88,0.4888888888888889,0.1951219512195122
DS-R1-7B,GPQA,7,180,359,87,0.48333333333333334,0.19247787610619468
DS-R1-7B,GPQA,8,180,359,79,0.4388888888888889,0.17173913043478262
DS-R1-7B,GPQA,9,180,359,86,0.4777777777777778,0.18984547461368653
DS-R1-7B,GSM8K,0,528,1056,262,0.4962121212121212,0.19818456883509833
DS-R1-7B,GSM8K,1,528,1056,267,0.5056818181818182,0.20273348519362186
DS-R1-7B,GSM8K,2,528,1056,262,0.4962121212121212,0.19818456883509833
DS-R1-7B,GSM8K,3,528,1056,258,0.48863636363636365,0.19457013574660634
DS-R1-7B,GSM8K,4,528,1056,254,0.4810606060606061,0.19097744360902255
DS-R1-7B,GSM8K,5,528,1056,253,0.4791666666666667,0.19008264462809918
DS-R1-7B,GSM8K,6,528,1056,261,0.4943181818181818,0.19727891156462585
DS-R1-7B,GSM8K,7,528,1056,283,0.5359848484848485,0.2175249807840123
DS-R1-7B,GSM8K,8,528,1056,266,0.5037878787878788,0.20182094081942337
DS-R1-7B,GSM8K,9,528,1056,271,0.5132575757575758,0.2063975628332064
