model,benchmark,n_traces_parsed,bad_empty_prob_lists_count,n_judged_with_score,jsonl,judge
DS-R1-1.5B,AQuA,4064,0,250,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__AQuA.json
DS-R1-1.5B,CommonsenseQA,19536,0,250,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__CommonsenseQA.json
DS-R1-1.5B,GPQA,7168,0,250,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__GPQA.json
DS-R1-1.5B,GSM8K,21104,0,250,source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__GSM8K.json
DS-R1-1.5B,MATH500,8000,0,250,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__MATH500.json
DS-R1-1.5B,SVAMP,16000,0,250,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-1.5B__SVAMP.json
DS-R1-7B,AQuA,4064,0,250,source_pass16_jsonl_by_model 2/DeepSeek_R1_Distill_Qwen_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__AQuA.json
DS-R1-7B,CommonsenseQA,19536,0,250,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__CommonsenseQA.json
DS-R1-7B,GPQA,7168,0,250,source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__GPQA.json
DS-R1-7B,GSM8K,21104,0,250,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed.jsonl,reasoning_confidence_bins_results/judging_checkpoints/judged_DS-R1-7B__GSM8K.json
