idx,trace_idx,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,error
0,0,0.7850317811702686,True,4,5,4,5,0.875,True,
0,1,0.7773247830542939,True,3,4,3,4,0.625,True,
0,4,0.7773247830542939,True,3,4,3,4,0.625,True,
0,5,0.7773247830542939,True,3,4,3,4,0.625,True,
3,0,0.8223775987615343,True,5,5,5,5,1.0,True,
3,1,0.7842993690682432,True,4,5,4,4,0.8125,True,
3,2,0.7842993690682432,True,4,5,4,4,0.8125,True,
3,4,0.8223775987615343,True,5,5,5,5,1.0,True,
3,5,0.8223775987615343,True,5,5,5,5,1.0,True,
3,6,0.7842993690682432,True,5,5,5,5,1.0,True,
3,8,0.8223775987615343,True,5,5,5,5,1.0,True,
3,9,0.8223775987615343,True,5,5,5,5,1.0,True,
3,10,0.7842993690682432,True,5,5,5,5,1.0,True,
3,12,0.7842993690682432,True,4,5,4,5,0.875,True,
3,13,0.7842993690682432,True,4,5,4,5,0.875,True,
13,1,0.8385541221725039,True,5,5,5,5,1.0,True,
13,2,0.8385541221725039,True,5,5,5,5,1.0,True,
13,3,0.8385541221725039,True,4,5,4,5,0.875,True,
13,4,0.8385541221725039,True,4,4,3,5,0.75,True,
13,5,0.8385541221725039,True,4,5,4,5,0.875,True,
13,6,0.8385541221725039,True,5,5,5,5,1.0,True,
13,7,0.8385541221725039,True,5,5,5,5,1.0,True,
13,8,0.8385541221725039,True,3,4,3,5,0.6875,True,
13,10,0.8385541221725039,True,5,5,5,5,1.0,True,
13,12,0.8385541221725039,True,4,4,3,4,0.6875,True,
13,13,0.8385541221725039,True,4,5,4,5,0.875,True,
13,14,0.8385541221725039,True,5,5,5,5,1.0,True,
16,0,0.7835507039376827,False,2,3,2,3,0.375,True,
16,1,0.7835507039376827,False,2,3,2,3,0.375,True,
16,2,0.7835507039376827,False,2,3,2,3,0.375,True,
16,5,0.7835507039376827,False,5,5,5,5,1.0,True,
16,6,0.7835507039376827,False,2,3,2,4,0.4375,True,
16,10,0.7835507039376827,False,2,2,2,2,0.25,True,
16,12,0.7848559587727149,False,2,3,2,3,0.375,True,
16,13,0.7889189387961002,False,2,3,2,3,0.375,True,
16,14,0.791762679999353,False,2,3,2,3,0.375,True,
18,2,0.8614328632465634,True,3,4,3,4,0.625,True,
18,3,0.8614328632465634,True,5,5,5,5,1.0,True,
18,10,0.8682289355410173,True,5,5,5,5,1.0,True,
18,11,0.8682289355410173,True,5,4,4,5,0.875,True,
18,13,0.8682289355410173,True,5,5,5,5,1.0,True,
18,15,0.8682289355410173,True,5,5,5,5,1.0,True,
28,12,0.908586993789643,False,1,1,1,1,0.0,True,
31,1,0.8500799119944636,True,5,5,5,5,1.0,True,
31,2,0.8500799119944636,True,5,5,5,5,1.0,True,
31,3,0.792000784516829,True,5,5,5,5,1.0,True,
31,6,0.792000784516829,True,5,5,5,5,1.0,True,
31,7,0.851180844012139,True,3,4,3,5,0.6875,True,
31,8,0.851180844012139,True,4,5,4,5,0.875,True,
31,10,0.7923743162231709,True,4,5,4,5,0.875,True,
31,11,0.7923743162231709,True,5,5,5,5,1.0,True,
31,12,0.7923743162231709,True,5,5,5,5,1.0,True,
31,14,0.8421859954574826,True,5,5,5,5,1.0,True,
31,15,0.8472638871015821,True,5,5,5,5,1.0,True,
32,5,0.792060894899627,False,2,2,2,2,0.25,True,
32,9,0.8676020599731886,False,4,4,3,4,0.6875,True,
32,12,0.8129200489029378,False,2,2,2,2,0.25,True,
32,13,0.8787016376051957,False,2,2,2,2,0.25,True,
36,0,0.8446438857137827,True,4,5,4,5,0.875,True,
36,2,0.8446438857137827,True,5,5,5,5,1.0,True,
36,3,0.8446438857137827,True,5,5,5,5,1.0,True,
36,4,0.8446438857137827,True,5,5,5,5,1.0,True,
36,7,0.8416325851631233,True,5,5,5,5,1.0,True,
36,8,0.8416325851631233,True,2,3,2,3,0.375,True,
36,9,0.8416325851631233,True,5,5,5,5,1.0,True,
36,11,0.8398859951396004,True,4,5,4,5,0.875,True,
36,12,0.8398859951396004,True,3,4,4,5,0.75,True,
36,13,0.779897422733402,True,2,3,2,4,0.4375,True,
36,14,0.8447027356584172,True,4,5,4,5,0.875,True,
36,15,0.8447027356584172,True,5,5,5,5,1.0,True,
37,1,0.8551091782362957,False,2,2,3,2,0.3125,True,
38,4,0.8162928517802335,True,5,5,5,5,1.0,True,
38,5,0.7989564485436256,True,3,4,3,4,0.625,True,
38,6,0.7989564485436256,True,3,3,3,4,0.5625,True,
38,7,0.7989564485436256,True,4,4,4,5,0.8125,True,
38,8,0.8158365119562072,True,5,5,5,5,1.0,True,
38,10,0.7989564485436256,True,3,3,3,4,0.5625,True,
38,11,0.8018325629833822,True,5,5,5,5,1.0,True,
38,13,0.7987703982622231,True,3,3,3,4,0.5625,True,
38,14,0.8154631280145409,True,4,4,4,5,0.8125,True,
39,0,0.8100971376801025,False,5,4,5,5,0.9375,True,
39,1,0.8100971376801025,False,5,4,5,5,0.9375,True,
39,2,0.8157312797636209,False,5,5,5,5,1.0,True,
39,6,0.820630156807964,False,4,4,4,5,0.8125,True,
39,9,0.8157312797636209,False,5,4,5,5,0.9375,True,
39,11,0.8039074944251036,False,5,5,5,5,1.0,True,
39,12,0.8204388044296056,False,5,5,5,5,1.0,True,
39,13,0.8204388044296056,False,5,4,5,5,0.9375,True,
39,14,0.8208375625735393,False,5,5,5,5,1.0,True,
39,15,0.8039074944251036,False,5,4,5,5,0.9375,True,
41,12,0.9515600421416491,False,5,5,5,5,1.0,True,
43,6,0.7906172941294164,True,4,5,4,5,0.875,True,
43,15,0.7957644669738647,True,5,5,5,5,1.0,True,
46,1,0.8095045821367367,True,5,5,5,5,1.0,True,
46,11,0.8110350813047701,True,5,5,5,5,1.0,True,
47,0,0.7797030176472709,True,5,5,5,5,1.0,True,
49,9,0.9102639865526871,False,1,1,1,1,0.0,True,
50,0,0.7965534381813278,True,3,4,3,4,0.625,True,
50,2,0.7813781445172178,True,3,3,3,4,0.5625,True,
50,8,0.7841612375978115,True,2,2,2,3,0.3125,True,
50,10,0.7774036837842683,True,2,2,2,3,0.3125,True,
50,11,0.7976000094724703,True,4,4,4,5,0.8125,True,
50,12,0.7976000094724703,True,3,3,3,4,0.5625,True,
50,13,0.7774036837842683,True,2,2,2,3,0.3125,True,
50,15,0.7812500928697474,True,2,2,2,3,0.3125,True,
52,0,0.8159779091199457,True,2,2,2,2,0.25,True,
52,1,0.8159779091199457,True,2,2,2,2,0.25,True,
52,4,0.8142621221715642,True,2,2,2,2,0.25,True,
52,5,0.8142621221715642,True,2,2,2,2,0.25,True,
52,6,0.8142621221715642,True,2,2,2,2,0.25,True,
52,7,0.8142621221715642,True,2,2,2,2,0.25,True,
52,8,0.8142621221715642,True,2,2,2,2,0.25,True,
52,9,0.8142621221715642,True,2,2,2,2,0.25,True,
52,10,0.8142621221715642,True,2,2,2,2,0.25,True,
52,11,0.8142621221715642,True,2,2,2,2,0.25,True,
52,12,0.8142621221715642,True,2,2,2,2,0.25,True,
52,13,0.8131713445277704,True,2,2,2,2,0.25,True,
52,15,0.8131713445277704,True,2,2,2,2,0.25,True,
55,0,0.8381669929620095,True,3,4,3,5,0.6875,True,
55,1,0.8381669929620095,True,3,3,3,4,0.5625,True,
55,2,0.8483843030840266,True,4,5,4,5,0.875,True,
55,3,0.8484557292929625,True,4,4,4,5,0.8125,True,
