idx,trace_idx,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,error
151,0,0.898690540177808,False,1,1,1,1,0.0,True,
60,4,0.7222600044816982,False,1,1,1,1,0.0,True,
12,0,0.8228553283608365,False,1,1,1,1,0.0,True,
17,15,0.8423200698485406,False,1,1,1,1,0.0,True,
84,6,0.8974083281934404,False,1,1,1,1,0.0,True,
146,11,0.42841994628295577,False,3,3,4,3,0.5625,True,
47,1,0.4419769100789615,True,5,5,5,5,1.0,True,
120,2,0.674844858415085,False,1,1,1,1,0.0,True,
142,3,0.45814419341366713,False,4,4,4,4,0.75,True,
150,12,0.4251912035927208,False,4,4,4,5,0.8125,True,
71,4,0.4267296561052708,True,5,5,5,5,1.0,True,
160,1,0.5792421178346499,False,2,2,2,2,0.25,True,
92,10,0.404143335479867,False,3,3,3,3,0.5,True,
63,4,0.4065614415191076,False,3,3,3,3,0.5,True,
52,15,0.3986275130739897,True,5,5,5,5,1.0,True,
71,0,0.40090942883200104,True,5,5,5,5,1.0,True,
82,2,0.40003533453506607,True,5,5,5,5,1.0,True,
9,10,0.39507084290716077,False,4,4,4,4,0.75,True,
117,15,0.3955483129820318,False,4,4,4,4,0.75,True,
31,5,0.3908946634077329,True,5,5,5,5,1.0,True,
52,11,0.39186689045653683,True,5,5,5,5,1.0,True,
66,9,0.3904129620727577,False,2,2,3,2,0.3125,True,
68,7,0.3883909019202118,False,4,4,4,5,0.8125,True,
82,3,0.3872195451082924,True,5,5,5,5,1.0,True,
146,12,0.3847208345034959,True,5,5,5,5,1.0,True,
12,12,0.3845272196272897,True,5,5,5,5,1.0,True,
71,12,0.3842467699003135,True,5,5,5,5,1.0,True,
71,5,0.38173555712613744,True,5,5,5,5,1.0,True,
142,15,0.3860899709813408,False,4,4,4,4,0.75,True,
47,9,0.379614911905067,True,5,5,5,5,1.0,True,
12,11,0.3808869580474792,True,5,5,5,5,1.0,True,
68,1,0.3793837337632249,False,4,4,4,5,0.8125,True,
42,1,0.37886464459018254,True,4,4,4,5,0.8125,True,
8,3,0.37817920422774504,True,5,5,5,5,1.0,True,
116,6,0.37829106170027754,False,2,2,2,2,0.25,True,
141,13,0.3777987269129266,False,4,4,4,4,0.75,True,
50,6,0.37953626415150854,False,2,2,2,3,0.3125,True,
46,12,0.37642472744617267,True,5,5,5,5,1.0,True,
55,9,0.8741683414223579,False,1,1,1,1,0.0,True,
151,15,0.37561594010601934,True,5,5,5,5,1.0,True,
103,1,0.3752587317042476,False,4,4,4,4,0.75,True,
141,3,0.37458306311825396,False,3,3,3,3,0.5,True,
81,14,0.3749203197202208,False,4,4,4,4,0.75,True,
96,12,0.3731042286701731,False,4,3,4,4,0.6875,True,
47,6,0.37082249740667783,True,4,4,4,5,0.8125,True,
103,6,0.36974124410592735,False,4,4,4,4,0.75,True,
146,13,0.3691150055134009,False,3,3,4,3,0.5625,True,
150,9,0.3684566333461908,True,5,5,5,5,1.0,True,
71,15,0.3680534441490297,True,5,5,5,5,1.0,True,
13,1,0.36770338314449236,True,4,4,4,5,0.8125,True,
47,4,0.3670260234060801,True,5,5,5,5,1.0,True,
66,5,0.36613378388837475,True,5,5,5,5,1.0,True,
105,14,0.3656022773484282,False,3,3,3,3,0.5,True,
69,6,0.364410108614894,True,5,5,5,5,1.0,True,
58,3,0.3641427269288853,True,5,5,5,5,1.0,True,
82,10,0.3640859708278813,True,5,5,5,5,1.0,True,
130,4,0.3638906941309122,False,2,3,3,2,0.375,True,
135,12,0.3631578456910509,True,5,5,5,5,1.0,True,
127,14,0.36221919624583226,False,4,4,4,4,0.75,True,
136,13,0.36158523052156455,True,4,4,4,5,0.8125,True,
13,5,0.36201476926296,True,5,5,5,5,1.0,True,
96,4,0.36148955583893627,True,5,5,5,5,1.0,True,
8,4,0.36201337051956983,True,5,5,5,5,1.0,True,
105,8,0.36119843579843613,False,3,3,4,3,0.5625,True,
117,3,0.3597774856126091,True,5,5,5,5,1.0,True,
39,1,0.35974218727618834,False,3,3,3,3,0.5,True,
56,4,0.3597357121492964,True,5,5,5,5,1.0,True,
46,0,0.3593695670830049,True,5,5,5,5,1.0,True,
153,8,0.3584059597658625,False,4,4,4,5,0.8125,True,
106,15,0.3578949595474291,False,3,3,3,3,0.5,True,
94,10,0.35779495200130484,True,5,5,5,5,1.0,True,
130,11,0.3578787901542019,False,2,2,3,2,0.3125,True,
141,7,0.35770681096231294,False,3,3,3,3,0.5,True,
45,13,0.3559675600404515,True,5,5,5,5,1.0,True,
50,11,0.35581241706165045,False,3,3,4,3,0.5625,True,
33,2,0.35469874432976617,True,5,5,5,5,1.0,True,
31,7,0.3538394768020126,True,5,5,5,5,1.0,True,
141,11,0.35207544942658986,False,3,3,3,3,0.5,True,
71,8,0.351893997466935,True,5,5,5,5,1.0,True,
92,6,0.34964752233220364,True,5,5,5,5,1.0,True,
47,7,0.3515300707928114,True,5,5,5,5,1.0,True,
81,15,0.3550896099467072,False,4,4,4,5,0.8125,True,
31,8,0.35032358081405274,True,5,5,5,5,1.0,True,
81,7,0.35765878472196,False,4,4,4,4,0.75,True,
96,6,0.3541588270804027,True,4,4,4,5,0.8125,True,
136,7,0.3490929274018408,True,5,5,5,5,1.0,True,
127,5,0.34668257514064277,False,3,3,3,3,0.5,True,
31,14,0.34747542264335163,True,5,5,5,5,1.0,True,
9,13,0.3482237342975621,True,5,5,5,5,1.0,True,
103,0,0.34666850421427853,True,5,5,5,5,1.0,True,
146,6,0.34830653629404257,True,5,5,5,5,1.0,True,
94,5,0.3465813549584627,False,3,3,4,3,0.5625,True,
39,9,0.3462420563578259,False,3,3,3,3,0.5,True,
71,14,0.34621986393570586,True,5,5,5,5,1.0,True,
142,12,0.3467090071771446,False,3,3,4,3,0.5625,True,
82,4,0.3460078081800112,False,3,3,3,3,0.5,True,
56,5,0.34579122152443253,True,4,4,4,5,0.8125,True,
31,15,0.34471073868351276,True,5,5,5,5,1.0,True,
12,5,0.34454214735543887,True,5,5,5,5,1.0,True,
68,10,0.346067508140791,True,5,5,5,5,1.0,True,
127,6,0.34402471987782995,False,4,4,4,4,0.75,True,
130,9,0.34398774957049466,False,2,2,3,2,0.3125,True,
62,2,0.3434042724231326,False,3,3,4,3,0.5625,True,
116,7,0.3429921549019884,True,5,5,5,5,1.0,True,
127,3,0.3459494895318973,False,3,3,4,3,0.5625,True,
142,9,0.34265619012642834,False,4,4,4,4,0.75,True,
103,13,0.34253658178981367,False,4,4,4,4,0.75,True,
66,3,0.34438812936739394,False,2,2,3,2,0.3125,True,
28,1,0.3414963227155276,True,4,4,4,5,0.8125,True,
43,1,0.3412044404976201,True,5,5,5,5,1.0,True,
45,6,0.3426425666608474,True,5,5,5,5,1.0,True,
151,7,0.3426198637556253,True,5,5,5,5,1.0,True,
46,5,0.33935935443452636,True,5,5,5,5,1.0,True,
35,7,0.33915619880880166,True,5,5,5,5,1.0,True,
57,4,0.3390138436372462,False,3,3,4,3,0.5625,True,
153,7,0.34152549219536676,False,4,4,4,4,0.75,True,
119,12,0.33834052195209496,False,3,3,4,3,0.5625,True,
121,13,0.33868486693778593,True,5,5,5,5,1.0,True,
142,5,0.3378060186552985,False,4,4,4,4,0.75,True,
76,5,0.34042502430751703,False,3,3,4,3,0.5625,True,
5,5,0.3376855100426078,False,3,3,3,3,0.5,True,
87,6,0.33639531325563005,False,4,4,4,5,0.8125,True,
40,12,0.33711413951352354,False,3,3,4,3,0.5625,True,
133,1,0.3356241134570121,False,3,3,4,2,0.5,True,
111,7,0.3362156475641037,True,5,5,5,5,1.0,True,
27,0,0.3352864397772806,False,3,2,3,3,0.4375,True,
60,10,0.3355228478394627,True,5,5,5,5,1.0,True,
155,8,0.33518807020245595,True,5,5,5,5,1.0,True,
40,8,0.3350435554358732,False,3,3,4,4,0.625,True,
13,14,0.33438618534188785,True,5,5,5,5,1.0,True,
