model,benchmark,frs_pct,pass1_pct,base_reasoning,snr,unfiltered_reasoning_mean,jsonl_path,high_conf_accuracy_pct,cum_top10_mean_reasoning_0_1,pass16_pct,n_problems,n_lines_with_trace_count_neq_16
DS-R1-7B,GSM8K,98.9,91.5,88.8,3.799395,0.93375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9cf7625b-fa77-4f2f-81b4-2c8fa4419897_processed.jsonl,96.92,0.98875,98.18043972706596,1319,0
DS-R1-7B,MATH500,94.0,63.6,75.88,3.688,0.7475,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1/math500__test_custom_custom_-1_seed42_t0.7_s0_e-1.jsonl,77.25,0.94,76.2,500,0
DS-R1-7B,SVAMP,99.0,91.1,85.63,-0.785886,0.891875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_6ed5b75a-8fc3-4275-bd40-cd1c17a47eba_processed.jsonl,96.25,0.99,98.0,1000,0
DS-R1-7B,AQuA,96.8,69.3,78.37,2.147622,0.774375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/DeepSeek_R1_Distill_Qwen_7B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_95820d79-d638-420d-a616-12db6599a9f2.jsonl,92.14,0.9675,93.7007874015748,254,0
DS-R1-7B,GPQA,62.9,46.2,65.47,0.755437,0.584375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_7B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_2816a494-b8ce-40f4-bff8-bab69ac9a8b7_processed.jsonl,43.1,0.62875,98.21428571428572,448,0
DS-R1-7B,CSQA,79.2,47.3,66.78,-0.12443,0.6925,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_7B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_c6dc12f4-4ab5-4e8e-8ac8-94c2d5407ac8_processed.jsonl,56.91,0.7925,93.12039312039312,1221,0
DS-R1-1.5B,GSM8K,95.1,60.1,66.79,-1.699841,0.723125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/DeepSeek_R1_Distill_Qwen_1.5B/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_82e41558-dec2-49ce-bdf1-068a4ab112c3_processed.jsonl,92.28,0.95125,95.67854435178164,1319,0
DS-R1-1.5B,MATH500,84.5,43.2,61.72,0.584968,0.64375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_4853343f-853e-4a60-a799-e844e17ff353_processed.jsonl,76.38,0.845,84.0,500,0
DS-R1-1.5B,SVAMP,96.9,65.8,59.74,-1.896066,0.739375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_0e525c90-6dad-4d11-a8f1-6c63c51fefbb_processed.jsonl,91.62,0.96875,97.3,1000,0
DS-R1-1.5B,AQuA,90.1,11.0,52.31,-1.234517,0.615,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl,80.34,0.90125,90.94488188976378,254,0
DS-R1-1.5B,GPQA,56.6,37.9,53.29,-3.651697,0.5075,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_91a3fa77-4a27-4e3f-ad81-3b611817a67a_processed.jsonl,36.26,0.56625,96.20535714285714,448,0
DS-R1-1.5B,CSQA,56.1,39.6,52.65,-1.23333,0.5575,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_477c6874-1ced-47d3-ad02-d7fafbfc7615_processed.jsonl,44.37,0.56125,90.9090909090909,1221,0
Qwen3-4B,GSM8K,90.9,72.2,78.87,3.91101,0.81375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_9f297c4b-51a9-4b62-a387-aed44015c1c5_processed.jsonl,92.14,0.90875,96.66413949962092,1319,0
Qwen3-4B,MATH500,63.5,49.8,70.09,1.014402,0.704375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 3/Qwen3_4B_Thinking_2507/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed/math500__test_math500_-1_seed42_t0.7_s0_e-1_98bb5118-8bf5-465f-aa8e-cfc6664c32d1_processed.jsonl,27.0,0.635,76.4,500,0
Qwen3-4B,SVAMP,91.0,79.5,75.94,4.144028,0.84,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed/svamp__test_svamp_-1_seed42_t0.7_s0_e-1_dfc02f7d-afce-4f33-9a2e-e6939267b7bc_processed.jsonl,88.0,0.91,97.3,1000,0
Qwen3-4B,AQuA,78.5,57.5,76.43,0.033516,0.69125,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_07706ba0-2dc8-4c97-bc29-1a5dc653833f.jsonl,53.32,0.785,92.51968503937007,254,0
Qwen3-4B,GPQA,58.8,60.5,55.86,-0.90558,0.521875,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model/Qwen3_4B_Thinking_2507/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed/gpqa__test_gpqa_-1_seed42_t0.7_s0_e-1_7439075c-3a41-426f-9626-f83d8eded888_processed.jsonl,62.9,0.5875,97.09821428571428,448,0
Qwen3-4B,CSQA,75.0,69.5,64.27,4.307875,0.74375,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/Qwen3_4B_Thinking_2507/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf/commonsense_qa__test_commonsense_qa_-1_seed42_t0.7_s0_e-1_be300247-2862-42c9-a305-36a1052ca7bf.jsonl,84.49,0.75,94.75839475839476,1221,0
Phi-4,GSM8K,91.5,93.0,81.82,-0.787213,0.895,/Users/manaspathak11/Desktop/Everything/research paper/threshold/source_pass16_jsonl_by_model 2/phi_4/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f/gsm8k__test_gsm8k_-1_seed42_t0.7_s0_e-1_d88e9681-c896-4be9-9048-1b1ad641133f.jsonl,62.58,0.915,97.87717968157696,1319,0
