model,dataset,regime,gap_t0_k1,gap_t07_k16,gap_preserved
DS-R1-1.5B,AQuA,reliable,3.149606299212598,15.94488188976378,True
DS-R1-1.5B,CommonsenseQA,reliable,8.289018271578442,-0.5016380016380017,False
DS-R1-1.5B,GPQA,reliable,-13.392857142857146,-6.919642857142857,True
DS-R1-1.5B,GSM8K,reliable,-5.701476065664224,11.040561031084154,False
DS-R1-1.5B,MATH500,reliable,7.200000000000001,14.3,True
DS-R1-1.5B,SVAMP,reliable,-18.000000000000004,5.1125,False
DS-R1-7B,AQuA,reliable,28.346456692913378,8.12007874015748,True
DS-R1-7B,CommonsenseQA,reliable,9.586810120468996,0.020475020475020474,True
DS-R1-7B,GPQA,reliable,0.4464285714285754,-14.369419642857142,False
DS-R1-7B,GSM8K,reliable,9.717202372741063,1.3457164518574678,True
DS-R1-7B,MATH500,reliable,23.2,6.125,True
DS-R1-7B,SVAMP,reliable,4.200000000000004,0.5625,True
Gemma-7B,AQuA,unreliable,-2.3622047244094486,-0.44291338582677164,True
Gemma-7B,CommonsenseQA,unreliable,-4.4672801910332405,-1.986076986076986,True
Gemma-7B,GPQA,unreliable,1.3392857142857122,-10.491071428571429,False
Gemma-7B,GSM8K,unreliable,-8.698900997838782,8.87983320697498,False
Gemma-7B,MATH500,unreliable,-19.6,2.275,False
Gemma-7B,SVAMP,unreliable,-23.599999999999998,2.975,False
LLaMA-3.1-8B,AQuA,unreliable,29.92125984251968,-5.413385826771654,False
LLaMA-3.1-8B,CommonsenseQA,unreliable,6.11574682729199,-0.4095004095004095,False
LLaMA-3.1-8B,GPQA,unreliable,16.071428571428577,4.185267857142857,True
LLaMA-3.1-8B,GSM8K,unreliable,15.646296040833219,1.023502653525398,True
LLaMA-3.1-8B,MATH500,unreliable,21.6,-1.1,False
LLaMA-3.1-8B,SVAMP,unreliable,11.2,-0.25,False
Phi-4,AQuA,deceptive,-29.13385826771654,1.0334645669291338,False
Phi-4,CommonsenseQA,deceptive,30.43170293257492,9.756347256347256,True
Phi-4,GPQA,deceptive,-1.3392857142857095,-4.185267857142857,True
Phi-4,GSM8K,deceptive,-3.9318066859796663,-5.979909021986353,True
Phi-4,MATH500,deceptive,-26.400000000000002,4.35,False
Phi-4,SVAMP,deceptive,-5.799999999999994,-5.0375,True
Phi-4-Reas.,AQuA,deceptive,9.44881889763779,3.7893700787401574,True
Phi-4-Reas.,CommonsenseQA,deceptive,55.1401894234123,1.1261261261261262,True
Phi-4-Reas.,GPQA,deceptive,19.19642857142857,5.608258928571429,True
Phi-4-Reas.,GSM8K,deceptive,2.584954246562754,0.7391963608794542,True
Phi-4-Reas.,MATH500,deceptive,-1.200000000000001,1.525,False
Phi-4-Reas.,SVAMP,deceptive,1.9999999999999907,-0.45,False
Qwen2.5-7B,AQuA,deceptive,18.11023622047244,1.1318897637795275,True
Qwen2.5-7B,CommonsenseQA,deceptive,9.202597193528483,0.5425880425880426,True
Qwen2.5-7B,GPQA,deceptive,5.803571428571431,2.1763392857142856,True
Qwen2.5-7B,GSM8K,deceptive,-0.8959856531935428,-21.43669446550417,True
Qwen2.5-7B,MATH500,deceptive,15.600000000000003,-17.475,False
Qwen2.5-7B,SVAMP,deceptive,-3.1999999999999917,-21.4875,True
Qwen2.5-Math,AQuA,unreliable,-20.472440944881892,-3.395669291338583,True
Qwen2.5-Math,CommonsenseQA,unreliable,3.6921467092377425,4.381654381654382,True
Qwen2.5-Math,GPQA,unreliable,1.339285714285715,3.125,True
Qwen2.5-Math,GSM8K,unreliable,4.571205223709018,-6.9465504169825625,False
Qwen2.5-Math,MATH500,unreliable,2.400000000000002,4.85,True
Qwen2.5-Math,SVAMP,unreliable,4.400000000000004,-11.3,False
Qwen3-4B,AQuA,reliable,-14.173228346456689,3.937007874015748,False
Qwen3-4B,CommonsenseQA,reliable,11.515923908668945,-2.9484029484029484,False
Qwen3-4B,GPQA,reliable,-9.375,-4.296875,True
Qwen3-4B,GSM8K,reliable,20.20899434404746,16.612964366944656,True
Qwen3-4B,MATH500,reliable,-2.0000000000000018,7.65,False
Qwen3-4B,SVAMP,reliable,19.000000000000007,14.3375,True
