model,benchmark,problem_idx,pass1_trace0,source_jsonl
DS-R1-1.5B,AQuA,0,1.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
DS-R1-1.5B,AQuA,1,0.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
DS-R1-1.5B,AQuA,2,1.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
DS-R1-1.5B,AQuA,3,1.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
DS-R1-1.5B,AQuA,4,1.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
DS-R1-1.5B,AQuA,5,0.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
DS-R1-1.5B,AQuA,6,0.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
DS-R1-1.5B,AQuA,7,0.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
DS-R1-1.5B,AQuA,8,0.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
DS-R1-1.5B,AQuA,9,0.0,source_pass16_jsonl_by_model/DeepSeek_R1_Distill_Qwen_1.5B/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54/aqua__test_aqua_-1_seed42_t0.7_s0_e-1_0f6478bd-a92f-42f8-b38d-31be896ceb54.jsonl
