idx,trace_idx,confidence,correct,faithfulness,utility,coherence,factuality,reasoning_score,judge_ok,error
0,1,0.4544554838862329,True,5,5,5,5,1.0,True,
1,0,0.3511700584787109,False,4,4,4,4,0.75,True,
2,13,0.5066730191129635,True,5,5,5,5,1.0,True,
3,4,0.40641816577178047,False,1,1,1,1,0.0,True,
4,14,0.26003653996336035,False,5,5,5,5,1.0,True,
5,9,0.381097292204594,False,1,1,1,1,0.0,True,
6,6,0.25975856731961444,False,5,5,5,5,1.0,True,
8,8,0.4190761073825648,False,4,4,4,5,0.8125,True,
8,14,0.48857295924201943,False,5,5,5,5,1.0,True,
9,5,0.28668683818105817,False,5,5,5,5,1.0,True,
10,1,0.2560848040676606,False,3,4,3,4,0.625,True,
10,9,0.44315296651851926,False,3,4,3,4,0.625,True,
10,10,0.47314457443765356,True,4,4,4,5,0.8125,True,
11,6,0.2884350576019811,False,5,5,5,5,1.0,True,
12,3,0.6710189129308306,False,5,5,5,5,1.0,True,
13,6,0.7196619212444834,True,5,5,5,5,1.0,True,
13,9,0.25405224236582913,False,2,2,2,2,0.25,True,
13,10,0.7196619212444834,True,5,5,5,5,1.0,True,
15,10,0.5152524480004884,True,5,5,5,5,1.0,True,
17,13,0.4749062356325668,False,5,5,5,5,1.0,True,
17,15,0.2566429125560285,False,5,5,5,5,1.0,True,
18,1,0.6631956920901374,False,5,5,5,5,1.0,True,
18,3,0.268311587343199,False,5,5,5,5,1.0,True,
18,7,0.5165527377533586,True,5,5,5,5,1.0,True,
18,8,0.5778284228599159,True,5,5,5,5,1.0,True,
18,15,0.3468297508289109,False,5,5,5,5,1.0,True,
19,0,0.3260965264912409,True,5,5,5,5,1.0,True,
19,3,0.2825635975343467,True,5,5,5,5,1.0,True,
19,4,0.5137537820649948,True,5,5,5,5,1.0,True,
19,10,0.29092785324878523,True,5,5,5,5,1.0,True,
19,13,0.4052721779520631,True,5,5,5,5,1.0,True,
19,15,0.5942499769829577,True,5,5,5,5,1.0,True,
20,4,0.2734611218665125,False,5,5,5,5,1.0,True,
20,7,0.316875392453401,True,4,4,4,5,0.8125,True,
20,9,0.27241725879759837,False,5,5,5,5,1.0,True,
20,11,0.4892462948877906,False,5,5,5,5,1.0,True,
22,13,0.38854827525998203,True,5,5,5,5,1.0,True,
23,7,0.42440838389557944,False,5,5,5,5,1.0,True,
25,4,0.3687401133618968,True,5,5,5,5,1.0,True,
26,1,0.41676195204329014,False,5,5,5,5,1.0,True,
27,12,0.2737866609709776,False,5,5,5,5,1.0,True,
27,13,0.6567623056435835,False,5,5,5,5,1.0,True,
28,12,0.43593649473199064,False,5,5,5,5,1.0,True,
28,14,0.32396320981826,False,2,3,2,5,0.5,True,
29,0,0.43313454162659487,True,5,5,5,5,1.0,True,
30,6,0.5271159037180263,False,1,1,1,1,0.0,True,
31,1,0.25024158131353424,False,5,5,5,5,1.0,True,
31,3,0.30471853341459637,False,5,5,5,5,1.0,True,
31,4,0.7480023907937552,False,5,5,5,5,1.0,True,
31,9,0.537877321342984,False,5,5,5,5,1.0,True,
33,4,0.37588616385756773,False,5,5,5,5,1.0,True,
34,11,0.402155106606866,False,1,1,1,1,0.0,True,
36,2,0.7259196029645122,False,5,5,5,5,1.0,True,
37,1,0.6076560969979325,False,5,5,5,5,1.0,True,
37,3,0.34485079300802784,False,5,5,5,5,1.0,True,
37,11,0.33153480646725564,False,5,5,5,5,1.0,True,
37,12,0.511640243916932,False,5,5,5,5,1.0,True,
37,13,0.2873619795102277,False,5,5,5,5,1.0,True,
38,2,0.4506287214531943,True,5,5,5,5,1.0,True,
38,8,0.4620494517521531,True,4,4,4,4,0.75,True,
38,14,0.582637949543291,True,4,4,4,4,0.75,True,
39,0,0.4422130273281875,False,5,5,5,5,1.0,True,
39,3,0.3313397584221982,False,4,4,4,5,0.8125,True,
39,5,0.30904389416379247,False,4,4,4,5,0.8125,True,
39,6,0.46994444465016266,False,5,5,5,5,1.0,True,
39,7,0.3740669767298589,False,5,5,5,5,1.0,True,
39,10,0.4319435763943285,False,5,5,5,5,1.0,True,
39,11,0.31279441167192623,False,5,5,5,5,1.0,True,
39,13,0.309458663847984,False,4,4,4,5,0.8125,True,
39,14,0.45954410477408286,False,5,5,5,5,1.0,True,
40,6,0.26856127491973125,False,5,5,5,5,1.0,True,
40,8,0.349890347591307,True,5,5,5,5,1.0,True,
40,11,0.6182870380278401,False,5,5,5,5,1.0,True,
42,12,0.5140811599660163,True,5,5,5,5,1.0,True,
43,5,0.7334105391080369,False,5,5,5,5,1.0,True,
45,13,0.6697756061054886,False,1,1,1,1,0.0,True,
46,1,0.4337148247854408,True,5,5,5,5,1.0,True,
46,6,0.7068419192704697,False,5,5,5,5,1.0,True,
46,8,0.3294160572867722,True,5,5,5,5,1.0,True,
46,11,0.257389754344865,False,5,5,5,5,1.0,True,
46,14,0.47301345697510877,False,5,5,5,5,1.0,True,
47,6,0.700887811657,False,5,5,5,5,1.0,True,
49,1,0.3719172916119837,False,4,4,4,5,0.8125,True,
49,5,0.4375434993617311,False,5,5,5,5,1.0,True,
50,2,0.37299989747414203,True,1,1,1,1,0.0,True,
50,7,0.505741749393955,True,5,5,5,5,1.0,True,
50,10,0.7066637405459707,True,5,5,5,5,1.0,True,
52,0,0.33826660147043236,False,1,1,1,5,0.25,True,
52,3,0.7164049363863393,False,1,1,1,1,0.0,True,
53,1,0.46563370381074365,True,5,5,5,5,1.0,True,
53,5,0.4573822536415346,True,1,1,1,1,0.0,True,
54,3,0.38499994018241956,False,5,5,5,5,1.0,True,
55,13,0.358833164968209,False,5,5,5,5,1.0,True,
56,2,0.3606781148423114,False,5,5,5,5,1.0,True,
59,0,0.2583118242162432,False,5,5,5,5,1.0,True,
59,8,0.7238547472039757,False,5,5,5,5,1.0,True,
59,9,0.3217752768321929,False,5,5,5,5,1.0,True,
60,0,0.2992110774436426,False,5,5,5,5,1.0,True,
60,15,0.3738223340423592,True,5,5,5,5,1.0,True,
61,10,0.3123139956221082,False,5,5,5,5,1.0,True,
61,13,0.6064331645672375,False,5,5,5,5,1.0,True,
63,4,0.40070123491338305,False,5,5,5,5,1.0,True,
63,5,0.25777856242374564,False,5,5,5,5,1.0,True,
63,7,0.3888552442040817,False,5,5,5,5,1.0,True,
63,14,0.3493497485128045,False,5,5,5,5,1.0,True,
64,4,0.45726705706335297,False,2,2,2,3,0.3125,True,
66,5,0.3342349262005016,False,1,1,1,1,0.0,True,
69,5,0.44054827301529553,False,5,5,5,5,1.0,True,
70,10,0.8953344954444207,True,5,5,5,5,1.0,True,
70,12,0.2678034163783843,False,5,5,5,5,1.0,True,
70,14,0.26191818772899134,True,5,5,5,5,1.0,True,
71,0,0.581526230772971,False,5,5,5,5,1.0,True,
71,9,0.30590121199542636,False,5,5,5,5,1.0,True,
71,11,0.264353840584353,False,5,5,5,5,1.0,True,
71,12,0.36095127532462506,False,5,5,5,5,1.0,True,
71,13,0.367245250219281,True,5,5,5,5,1.0,True,
72,3,0.3537108883719124,False,5,5,5,5,1.0,True,
72,6,0.3157961548857737,True,5,5,5,5,1.0,True,
73,11,0.25758683598954174,False,5,5,5,5,1.0,True,
75,5,0.25698964575137423,False,4,4,4,5,0.8125,True,
75,6,0.3471781088251795,False,3,3,3,4,0.5625,True,
75,13,0.2599988105947187,False,4,4,4,4,0.75,True,
76,5,0.2580738351033248,False,5,5,5,5,1.0,True,
76,13,0.44223522041395014,False,4,4,4,5,0.8125,True,
77,12,0.26949231658886713,False,4,4,4,5,0.8125,True,
78,6,0.6889459744363642,False,5,5,5,5,1.0,True,
79,12,0.3414044784709403,False,5,5,5,5,1.0,True,
80,14,0.7935357452804117,False,5,5,5,5,1.0,True,
81,0,0.46484350348238945,False,5,5,5,5,1.0,True,
81,5,0.6124790638710205,False,1,1,1,1,0.0,True,
81,7,0.9113304205001785,False,5,5,5,5,1.0,True,
81,8,0.559836434571137,True,5,5,5,5,1.0,True,
81,10,0.5741742671980956,False,5,5,5,5,1.0,True,
81,13,0.5759453315146082,False,5,5,5,5,1.0,True,
81,14,0.44017339736348027,True,5,5,5,5,1.0,True,
81,15,0.4925393829570517,False,5,5,5,5,1.0,True,
82,2,0.4384461903027158,False,5,5,5,5,1.0,True,
82,10,0.26326206639500727,False,5,5,5,5,1.0,True,
82,14,0.6020313748820988,False,5,5,5,5,1.0,True,
83,15,0.25895359487340247,True,5,5,5,5,1.0,True,
84,7,0.36439661500855597,False,5,5,5,5,1.0,True,
84,14,0.28904562599941563,False,5,5,5,5,1.0,True,
85,10,0.6050182414681317,False,5,5,5,5,1.0,True,
85,12,0.282499587891528,True,5,5,5,5,1.0,True,
86,15,0.41819149920201937,False,5,5,5,5,1.0,True,
87,1,0.25596980125329477,False,5,5,5,5,1.0,True,
89,14,0.31719168718775653,False,4,4,4,4,0.75,True,
91,1,0.3782081704725113,False,5,5,5,5,1.0,True,
91,13,0.3134092771392954,False,5,5,5,5,1.0,True,
93,2,0.3458996950343231,False,5,5,5,5,1.0,True,
93,10,0.2586914519800937,True,4,4,4,4,0.75,True,
94,13,0.364565523810664,False,5,5,5,5,1.0,True,
95,14,0.35007915346108515,False,1,1,1,1,0.0,True,
97,0,0.3987842989703571,True,5,5,5,5,1.0,True,
97,6,0.31489483278760233,True,5,5,5,5,1.0,True,
97,8,0.3998246202915446,True,5,5,5,5,1.0,True,
97,10,0.5899773103199933,True,5,5,5,5,1.0,True,
98,4,0.608159873014826,False,5,5,5,5,1.0,True,
99,12,0.40421484794812135,True,5,5,5,5,1.0,True,
101,0,0.43294917596162685,False,5,5,5,5,1.0,True,
103,5,0.2789525426394894,False,,,,,,False,empty_cot
103,8,0.38595464231007287,False,5,5,5,5,1.0,True,
103,12,0.2789525426394894,False,,,,,,False,empty_cot
103,14,0.2789525426394894,False,,,,,,False,empty_cot
103,15,0.2789525426394894,False,,,,,,False,empty_cot
104,1,0.33936949764629026,False,5,5,5,5,1.0,True,
104,2,0.33691770430888046,False,5,5,5,5,1.0,True,
104,5,0.36067040581152493,False,1,1,1,1,0.0,True,
105,2,0.3018722642557712,True,5,5,5,5,1.0,True,
105,10,0.5966518077756182,True,5,5,5,5,1.0,True,
105,11,0.6855717226509324,True,5,5,5,5,1.0,True,
106,5,0.5788840814028919,False,5,5,5,5,1.0,True,
106,9,0.2722052126541783,False,5,5,5,5,1.0,True,
107,4,0.3056883939240495,False,5,5,5,5,1.0,True,
107,8,0.28203193319081216,True,5,5,5,5,1.0,True,
107,13,0.2570123947253104,False,5,5,5,5,1.0,True,
109,2,0.4850961765454122,False,5,5,5,5,1.0,True,
109,4,0.26003702160671005,False,5,5,5,5,1.0,True,
109,14,0.6791962189940776,True,5,5,5,5,1.0,True,
110,6,0.2887152218534994,True,5,5,5,5,1.0,True,
112,5,0.5305751525352383,True,5,5,5,5,1.0,True,
114,12,0.24938130035229217,False,4,4,4,5,0.8125,True,
114,13,0.6872313511376801,False,5,5,5,5,1.0,True,
116,11,0.3500327880308807,True,5,4,5,4,0.875,True,
117,12,0.28164517911434755,False,5,5,5,5,1.0,True,
117,14,0.5591840824779907,False,5,5,5,5,1.0,True,
119,1,0.29597347910924193,True,5,5,5,5,1.0,True,
119,3,0.7148464475324304,False,5,5,5,5,1.0,True,
119,9,0.7561431535985578,False,5,5,5,5,1.0,True,
121,2,0.4427669620426289,True,5,5,5,5,1.0,True,
121,12,0.5118998714480847,False,5,5,5,5,1.0,True,
123,4,0.2545044827553917,False,4,4,4,5,0.8125,True,
124,12,0.328129456625129,False,5,5,5,5,1.0,True,
124,14,0.3055248509792876,True,5,5,5,5,1.0,True,
125,1,0.5205850417089298,False,5,5,5,5,1.0,True,
125,2,0.25908321779533805,False,,,,,,False,empty_cot
125,3,0.25908321779533805,False,,,,,,False,empty_cot
125,4,0.25908321779533805,False,,,,,,False,empty_cot
125,5,0.2838442773168095,True,5,5,5,5,1.0,True,
125,6,0.25908321779533805,False,,,,,,False,empty_cot
125,7,0.25908321779533805,False,,,,,,False,empty_cot
125,8,0.28111585872022204,False,5,5,5,5,1.0,True,
125,11,0.4134095561436989,False,5,5,5,5,1.0,True,
125,13,0.25908321779533805,False,,,,,,False,empty_cot
125,14,0.25908321779533805,False,,,,,,False,empty_cot
125,15,0.25908321779533805,False,,,,,,False,empty_cot
126,5,0.6360737184428923,False,5,5,5,5,1.0,True,
126,10,0.42317399171209474,False,2,2,2,2,0.25,True,
126,14,0.24847585585501664,False,4,4,4,4,0.75,True,
127,0,0.3761132704255967,False,5,5,5,5,1.0,True,
127,14,0.3515676223527592,False,5,5,5,5,1.0,True,
127,15,0.4445011157536049,False,5,5,5,5,1.0,True,
128,5,0.31076371366451694,False,4,4,4,4,0.75,True,
128,13,0.5000592593136439,False,4,4,4,4,0.75,True,
128,14,0.32697932646817407,False,2,3,2,3,0.375,True,
129,14,0.33665635388201176,False,3,3,3,4,0.5625,True,
131,4,0.37556663093109677,False,5,5,5,5,1.0,True,
131,5,0.2576495889832736,False,,,,,,False,empty_cot
131,8,0.2576495889832736,False,,,,,,False,empty_cot
131,9,0.2576495889832736,False,,,,,,False,empty_cot
131,10,0.2576495889832736,False,,,,,,False,empty_cot
131,11,0.2576495889832736,False,,,,,,False,empty_cot
131,12,0.2576495889832736,False,,,,,,False,empty_cot
132,10,0.3966653084105515,False,3,3,3,3,0.5,True,
133,2,0.41097744835741645,False,5,5,5,5,1.0,True,
135,9,0.3183620196795033,False,5,5,5,5,1.0,True,
136,0,0.6408088674955711,True,5,5,5,5,1.0,True,
136,8,0.31601631792062335,True,5,5,5,5,1.0,True,
136,10,0.31028180616246087,False,2,2,2,2,0.25,True,
137,10,0.2636547113454739,False,4,4,4,4,0.75,True,
137,11,0.30250584555654786,False,5,5,5,5,1.0,True,
137,12,0.292889020360449,False,4,4,4,4,0.75,True,
140,10,0.3760594601315299,False,4,4,4,5,0.8125,True,
141,14,0.6737884010785908,False,5,5,5,5,1.0,True,
143,2,0.68554730518713,False,5,5,5,5,1.0,True,
143,11,0.5923650713230685,False,5,5,5,5,1.0,True,
145,0,0.2761188385866394,False,5,5,5,5,1.0,True,
145,4,0.27512942740449947,False,2,2,2,3,0.3125,True,
146,13,0.30012444683817935,False,5,5,5,5,1.0,True,
147,0,0.30572994241144646,False,5,5,5,5,1.0,True,
147,3,0.3649415114190619,False,5,5,5,5,1.0,True,
147,13,0.2841309629870771,False,5,5,5,5,1.0,True,
148,0,0.2776742225098119,False,5,5,5,5,1.0,True,
148,1,0.3828810425749977,True,5,5,5,5,1.0,True,
148,7,0.33241722871306134,False,5,5,5,5,1.0,True,
150,8,0.44463171747004165,False,5,5,5,5,1.0,True,
151,11,0.60914865385469,False,5,5,5,5,1.0,True,
152,6,0.5353449226169511,True,5,5,5,5,1.0,True,
154,11,0.28686304644701377,False,5,5,5,5,1.0,True,
156,4,0.25347478417216024,True,5,5,5,5,1.0,True,
156,7,0.3677887212933161,False,5,5,5,5,1.0,True,
156,8,0.7306688458929183,False,5,5,5,5,1.0,True,
156,9,0.26662835619083985,False,5,5,5,5,1.0,True,
157,2,0.8941600302726861,True,5,5,5,5,1.0,True,
158,13,0.6013767166227034,False,5,5,5,5,1.0,True,
159,12,0.42948920796254125,False,5,5,5,5,1.0,True,
160,10,0.2845899495713043,False,5,5,5,5,1.0,True,
160,13,0.7714800640509769,False,5,5,5,5,1.0,True,
161,4,0.40472961561221393,False,1,1,1,1,0.0,True,
161,8,0.5211995821606094,True,5,5,5,5,1.0,True,
161,10,0.5310872458724254,True,5,5,5,5,1.0,True,
163,15,0.42462100529720265,False,5,5,5,5,1.0,True,
