model,dataset,benchmark,question_id,reasoning_score_top_conf,mean_reasoning_score_random,selection_gain_question,n_random_valid,n_top_valid
DS-R1-1.5B,AQuA,AQuA,2,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,AQuA,AQuA,5,0.3125,0.4375,-0.125,1,1
DS-R1-1.5B,AQuA,AQuA,8,0.625,0.3125,0.3125,1,1
DS-R1-1.5B,AQuA,AQuA,21,0.5625,0.5625,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,31,1.0,1.0,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,45,0.8125,0.875,-0.0625,1,1
DS-R1-1.5B,AQuA,AQuA,46,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,AQuA,AQuA,48,1.0,0.5625,0.4375,1,1
DS-R1-1.5B,AQuA,AQuA,49,1.0,1.0,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,53,1.0,1.0,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,62,1.0,0.625,0.375,1,1
DS-R1-1.5B,AQuA,AQuA,65,1.0,0.875,0.125,1,1
DS-R1-1.5B,AQuA,AQuA,72,1.0,1.0,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,75,0.625,0.3125,0.3125,1,1
DS-R1-1.5B,AQuA,AQuA,77,0.25,0.3125,-0.0625,1,1
DS-R1-1.5B,AQuA,AQuA,90,0.875,0.375,0.5,1,1
DS-R1-1.5B,AQuA,AQuA,93,1.0,0.5,0.5,1,1
DS-R1-1.5B,AQuA,AQuA,109,0.875,0.5,0.375,1,1
DS-R1-1.5B,AQuA,AQuA,114,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,120,1.0,0.4375,0.5625,1,1
DS-R1-1.5B,AQuA,AQuA,125,0.5,0.3125,0.1875,1,1
DS-R1-1.5B,AQuA,AQuA,128,1.0,1.0,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,129,0.5625,0.5625,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,133,1.0,0.6875,0.3125,1,1
DS-R1-1.5B,AQuA,AQuA,145,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,AQuA,AQuA,146,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,156,1.0,0.625,0.375,1,1
DS-R1-1.5B,AQuA,AQuA,158,0.375,0.5625,-0.1875,1,1
DS-R1-1.5B,AQuA,AQuA,177,0.75,1.0,-0.25,1,1
DS-R1-1.5B,AQuA,AQuA,183,1.0,1.0,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,184,0.3125,0.375,-0.0625,1,1
DS-R1-1.5B,AQuA,AQuA,187,0.5625,0.3125,0.25,1,1
DS-R1-1.5B,AQuA,AQuA,189,1.0,0.3125,0.6875,1,1
DS-R1-1.5B,AQuA,AQuA,191,0.875,0.5,0.375,1,1
DS-R1-1.5B,AQuA,AQuA,197,0.625,0.375,0.25,1,1
DS-R1-1.5B,AQuA,AQuA,201,0.5625,0.375,0.1875,1,1
DS-R1-1.5B,AQuA,AQuA,202,0.5625,0.3125,0.25,1,1
DS-R1-1.5B,AQuA,AQuA,204,0.875,0.875,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,205,0.25,0.25,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,207,0.3125,0.3125,0.0,1,1
DS-R1-1.5B,AQuA,AQuA,211,0.375,0.625,-0.25,1,1
DS-R1-1.5B,AQuA,AQuA,217,0.875,0.625,0.25,1,1
DS-R1-1.5B,AQuA,AQuA,218,0.625,0.625,0.0,1,1
