benchmark,model_a,model_b,trace0_a,trace0_b,frs_a,frs_b,pass1_a,pass1_b,trace0_winner,frs_winner,pass1_winner,trace0_gap_pp,frs_gap_pp,pass1_gap_pp,reversal_strength,pass1_agrees_trace0,narrative,lobo_frs_diff_pp,lobo_trace0_diff_pp,lobo_frs_agrees_heldout_frs,lobo_trace0_agrees_heldout_trace0,lobo_frs_agrees_heldout_frs_winner,lobo_trace0_agrees_heldout_trace0_winner
CSQA,DS-R1-1.5B,Phi-4-Reas.,54.87499999999999,72.25,56.1,33.4,39.6,36.9,Phi-4-Reas.,DS-R1-1.5B,DS-R1-1.5B,17.375000000000007,22.700000000000003,2.700000000000003,17.375000000000007,False,"On CSQA: trace-0 ranks Phi-4-Reas. > DS-R1-1.5B (54.9 vs 72.2), but FRS ranks DS-R1-1.5B > Phi-4-Reas. (56.1 vs 33.4)",7.679999999999993,-5.675000000000011,True,True,True,True
AQuA,DS-R1-1.5B,Qwen2.5-Math,52.25,74.0,90.1,74.9,11.0,29.1,Qwen2.5-Math,DS-R1-1.5B,Qwen2.5-Math,21.75,15.199999999999989,18.1,15.199999999999989,True,"On AQuA: trace-0 ranks Qwen2.5-Math > DS-R1-1.5B (52.2 vs 74.0), but FRS ranks DS-R1-1.5B > Qwen2.5-Math (90.1 vs 74.9)",4.240000000000009,-8.349999999999994,True,True,True,True
CSQA,Phi-4,Phi-4-Reas.,59.375,72.25,77.2,33.4,21.5,36.9,Phi-4-Reas.,Phi-4,Phi-4-Reas.,12.875,43.800000000000004,15.399999999999999,12.875,True,"On CSQA: trace-0 ranks Phi-4-Reas. > Phi-4 (59.4 vs 72.2), but FRS ranks Phi-4 > Phi-4-Reas. (77.2 vs 33.4)",-3.3000000000000114,-8.550000000000004,False,True,False,True
CSQA,DS-R1-7B,Phi-4-Reas.,60.0,72.25,79.2,33.4,47.3,36.9,Phi-4-Reas.,DS-R1-7B,DS-R1-7B,12.25,45.800000000000004,10.399999999999999,12.25,False,"On CSQA: trace-0 ranks Phi-4-Reas. > DS-R1-7B (60.0 vs 72.2), but FRS ranks DS-R1-7B > Phi-4-Reas. (79.2 vs 33.4)",13.36,-1.8250000000000028,True,True,True,True
AQuA,DS-R1-1.5B,Qwen3-4B,52.25,65.375,90.1,78.5,11.0,57.5,Qwen3-4B,DS-R1-1.5B,Qwen3-4B,13.125,11.599999999999994,46.5,11.599999999999994,True,"On AQuA: trace-0 ranks Qwen3-4B > DS-R1-1.5B (52.2 vs 65.4), but FRS ranks DS-R1-1.5B > Qwen3-4B (90.1 vs 78.5)",2.0,-4.349999999999994,True,True,True,True
AQuA,DS-R1-1.5B,Phi-4,52.25,69.375,90.1,78.5,11.0,77.6,Phi-4,DS-R1-1.5B,Phi-4,17.125,11.599999999999994,66.6,11.599999999999994,True,"On AQuA: trace-0 ranks Phi-4 > DS-R1-1.5B (52.2 vs 69.4), but FRS ranks DS-R1-1.5B > Phi-4 (90.1 vs 78.5)",4.439999999999998,5.399999999999999,True,False,True,False
SVAMP,Qwen2.5-Math,Qwen3-4B,88.25,77.5,74.5,91.0,90.8,79.5,Qwen2.5-Math,Qwen3-4B,Qwen2.5-Math,10.75,16.5,11.299999999999997,10.75,True,"On SVAMP: trace-0 ranks Qwen2.5-Math > Qwen3-4B (88.2 vs 77.5), but FRS ranks Qwen3-4B > Qwen2.5-Math (74.5 vs 91.0)",0.3399999999999892,3.575000000000003,False,True,False,True
SVAMP,Phi-4-Reas.,Qwen3-4B,88.25,77.5,74.8,91.0,94.6,79.5,Phi-4-Reas.,Qwen3-4B,Phi-4-Reas.,10.75,16.200000000000003,15.099999999999994,10.75,True,"On SVAMP: trace-0 ranks Phi-4-Reas. > Qwen3-4B (88.2 vs 77.5), but FRS ranks Qwen3-4B > Phi-4-Reas. (74.8 vs 91.0)",-4.660000000000011,0.025000000000005684,True,True,True,True
SVAMP,Phi-4,Qwen2.5-7B,66.375,85.25,75.5,64.9,92.3,93.6,Qwen2.5-7B,Phi-4,Qwen2.5-7B,18.875,10.599999999999994,1.2999999999999972,10.599999999999994,True,"On SVAMP: trace-0 ranks Qwen2.5-7B > Phi-4 (66.4 vs 85.2), but FRS ranks Phi-4 > Qwen2.5-7B (75.5 vs 64.9)",5.280000000000001,-0.6499999999999986,True,True,True,True
MATH500,DS-R1-7B,Qwen2.5-Math,68.5,78.5,94.0,77.5,63.6,63.6,Qwen2.5-Math,DS-R1-7B,Qwen2.5-Math,10.0,16.5,0.0,10.0,True,"On MATH500: trace-0 ranks Qwen2.5-Math > DS-R1-7B (68.5 vs 78.5), but FRS ranks DS-R1-7B > Qwen2.5-Math (94.0 vs 77.5)",14.280000000000001,-5.825000000000003,True,True,True,True
AQuA,DS-R1-1.5B,Qwen2.5-7B,52.25,61.875,90.1,77.2,11.0,78.3,Qwen2.5-7B,DS-R1-1.5B,Qwen2.5-7B,9.625,12.899999999999991,67.3,9.625,True,"On AQuA: trace-0 ranks Qwen2.5-7B > DS-R1-1.5B (52.2 vs 61.9), but FRS ranks DS-R1-1.5B > Qwen2.5-7B (90.1 vs 77.2)",11.580000000000013,-0.5250000000000057,True,True,True,True
AQuA,DS-R1-7B,Qwen2.5-Math,64.875,74.0,96.8,74.9,69.3,29.1,Qwen2.5-Math,DS-R1-7B,DS-R1-7B,9.125,21.89999999999999,40.199999999999996,9.125,False,"On AQuA: trace-0 ranks Qwen2.5-Math > DS-R1-7B (64.9 vs 74.0), but FRS ranks DS-R1-7B > Qwen2.5-Math (96.8 vs 74.9)",13.200000000000003,-6.0,True,True,True,True
CSQA,DS-R1-7B,Qwen2.5-7B,60.0,74.375,79.2,70.1,47.3,81.8,Qwen2.5-7B,DS-R1-7B,Qwen2.5-7B,14.375,9.100000000000009,34.5,9.100000000000009,True,"On CSQA: trace-0 ranks Qwen2.5-7B > DS-R1-7B (60.0 vs 74.4), but FRS ranks DS-R1-7B > Qwen2.5-7B (79.2 vs 70.1)",22.640000000000015,5.299999999999997,True,False,True,False
SVAMP,LLaMA-3.1-8B,Qwen3-4B,86.5,77.5,80.0,91.0,85.2,79.5,LLaMA-3.1-8B,Qwen3-4B,LLaMA-3.1-8B,9.0,11.0,5.700000000000003,9.0,True,"On SVAMP: trace-0 ranks LLaMA-3.1-8B > Qwen3-4B (86.5 vs 77.5), but FRS ranks Qwen3-4B > LLaMA-3.1-8B (80.0 vs 91.0)",-13.559999999999995,-8.899999999999999,True,False,True,False
SVAMP,DS-R1-1.5B,Qwen2.5-Math,79.5,88.25,96.9,74.5,65.8,90.8,Qwen2.5-Math,DS-R1-1.5B,Qwen2.5-Math,8.75,22.400000000000006,25.0,8.75,True,"On SVAMP: trace-0 ranks Qwen2.5-Math > DS-R1-1.5B (79.5 vs 88.2), but FRS ranks DS-R1-1.5B > Qwen2.5-Math (96.9 vs 74.5)",2.799999999999997,-10.950000000000003,True,True,True,True
SVAMP,DS-R1-1.5B,Phi-4-Reas.,79.5,88.25,96.9,74.8,65.8,94.6,Phi-4-Reas.,DS-R1-1.5B,Phi-4-Reas.,8.75,22.10000000000001,28.799999999999997,8.75,True,"On SVAMP: trace-0 ranks Phi-4-Reas. > DS-R1-1.5B (79.5 vs 88.2), but FRS ranks DS-R1-1.5B > Phi-4-Reas. (96.9 vs 74.8)",7.799999999999997,-7.400000000000006,True,True,True,True
GPQA,DS-R1-7B,Qwen2.5-Math,42.5,53.37499999999999,62.9,54.6,46.2,24.3,Qwen2.5-Math,DS-R1-7B,DS-R1-7B,10.874999999999993,8.299999999999997,21.900000000000002,8.299999999999997,False,"On GPQA: trace-0 ranks Qwen2.5-Math > DS-R1-7B (42.5 vs 53.4), but FRS ranks DS-R1-7B > Qwen2.5-Math (62.9 vs 54.6)",15.920000000000002,-5.6499999999999915,True,True,True,True
CSQA,Phi-4-Reas.,Qwen2.5-Math,72.25,64.125,33.4,70.6,36.9,45.9,Phi-4-Reas.,Qwen2.5-Math,Qwen2.5-Math,8.125,37.199999999999996,9.0,8.125,False,"On CSQA: trace-0 ranks Phi-4-Reas. > Qwen2.5-Math (72.2 vs 64.1), but FRS ranks Qwen2.5-Math > Phi-4-Reas. (33.4 vs 70.6)",2.5,-5.174999999999997,False,False,False,False
GSM8K,DS-R1-7B,Qwen2.5-Math,80.125,88.125,98.9,90.8,91.5,84.55,Qwen2.5-Math,DS-R1-7B,DS-R1-7B,8.0,8.100000000000009,6.950000000000003,8.0,False,"On GSM8K: trace-0 ranks Qwen2.5-Math > DS-R1-7B (80.1 vs 88.1), but FRS ranks DS-R1-7B > Qwen2.5-Math (98.9 vs 90.8)",15.959999999999994,-6.2250000000000085,True,True,True,True
AQuA,DS-R1-1.5B,LLaMA-3.1-8B,52.25,60.12499999999999,90.1,52.9,11.0,48.8,LLaMA-3.1-8B,DS-R1-1.5B,LLaMA-3.1-8B,7.874999999999993,37.199999999999996,37.8,7.874999999999993,True,"On AQuA: trace-0 ranks LLaMA-3.1-8B > DS-R1-1.5B (52.2 vs 60.1), but FRS ranks DS-R1-1.5B > LLaMA-3.1-8B (90.1 vs 52.9)",12.64,1.7000000000000028,True,False,True,False
SVAMP,Qwen2.5-7B,Qwen3-4B,85.25,77.5,64.9,91.0,93.6,79.5,Qwen2.5-7B,Qwen3-4B,Qwen2.5-7B,7.75,26.099999999999994,14.099999999999994,7.75,True,"On SVAMP: trace-0 ranks Qwen2.5-7B > Qwen3-4B (85.2 vs 77.5), but FRS ranks Qwen3-4B > Qwen2.5-7B (64.9 vs 91.0)",-4.6200000000000045,-6.074999999999996,True,False,True,False
GPQA,Phi-4-Reas.,Qwen2.5-Math,42.125,53.37499999999999,62.3,54.6,44.0,24.3,Qwen2.5-Math,Phi-4-Reas.,Phi-4-Reas.,11.249999999999993,7.699999999999996,19.7,7.699999999999996,False,"On GPQA: trace-0 ranks Qwen2.5-Math > Phi-4-Reas. (42.1 vs 53.4), but FRS ranks Phi-4-Reas. > Qwen2.5-Math (62.3 vs 54.6)",-6.480000000000004,-1.2999999999999972,False,True,False,True
CSQA,Phi-4,Qwen2.5-7B,59.375,74.375,77.2,70.1,21.5,81.8,Qwen2.5-7B,Phi-4,Qwen2.5-7B,15.0,7.1000000000000085,60.3,7.1000000000000085,True,"On CSQA: trace-0 ranks Qwen2.5-7B > Phi-4 (59.4 vs 74.4), but FRS ranks Phi-4 > Qwen2.5-7B (77.2 vs 70.1)",5.980000000000004,-1.4250000000000043,True,True,True,True
SVAMP,DS-R1-1.5B,LLaMA-3.1-8B,79.5,86.5,96.9,80.0,65.8,85.2,LLaMA-3.1-8B,DS-R1-1.5B,LLaMA-3.1-8B,7.0,16.900000000000006,19.400000000000006,7.0,True,"On SVAMP: trace-0 ranks LLaMA-3.1-8B > DS-R1-1.5B (79.5 vs 86.5), but FRS ranks DS-R1-1.5B > LLaMA-3.1-8B (96.9 vs 80.0)",16.69999999999998,1.5249999999999986,True,False,True,False
MATH500,DS-R1-1.5B,Qwen2.5-Math,68.75,78.5,84.5,77.5,43.2,63.6,Qwen2.5-Math,DS-R1-1.5B,Qwen2.5-Math,9.75,7.0,20.4,7.0,True,"On MATH500: trace-0 ranks Qwen2.5-Math > DS-R1-1.5B (68.8 vs 78.5), but FRS ranks DS-R1-1.5B > Qwen2.5-Math (84.5 vs 77.5)",5.88000000000001,-10.75,True,True,True,True
GSM8K,Phi-4,Phi-4-Reas.,73.875,83.5,91.5,84.5,93.0,95.4,Phi-4-Reas.,Phi-4,Phi-4-Reas.,9.625,7.0,2.4000000000000057,7.0,True,"On GSM8K: trace-0 ranks Phi-4-Reas. > Phi-4 (73.9 vs 83.5), but FRS ranks Phi-4 > Phi-4-Reas. (91.5 vs 84.5)",4.060000000000002,-9.200000000000003,True,True,True,True
AQuA,DS-R1-1.5B,Phi-4-Reas.,52.25,67.375,90.1,83.2,11.0,68.1,Phi-4-Reas.,DS-R1-1.5B,Phi-4-Reas.,15.125,6.8999999999999915,57.099999999999994,6.8999999999999915,True,"On AQuA: trace-0 ranks Phi-4-Reas. > DS-R1-1.5B (52.2 vs 67.4), but FRS ranks DS-R1-1.5B > Phi-4-Reas. (90.1 vs 83.2)",10.840000000000003,-6.125,True,True,True,True
CSQA,LLaMA-3.1-8B,Phi-4-Reas.,65.5,72.25,55.0,33.4,66.3,36.9,Phi-4-Reas.,LLaMA-3.1-8B,LLaMA-3.1-8B,6.75,21.6,29.4,6.75,False,"On CSQA: trace-0 ranks Phi-4-Reas. > LLaMA-3.1-8B (65.5 vs 72.2), but FRS ranks LLaMA-3.1-8B > Phi-4-Reas. (55.0 vs 33.4)",-12.180000000000007,-7.925000000000004,False,True,False,True
AQuA,Phi-4-Reas.,Qwen2.5-Math,67.375,74.0,83.2,74.9,68.1,29.1,Qwen2.5-Math,Phi-4-Reas.,Phi-4-Reas.,6.625,8.299999999999997,38.99999999999999,6.625,False,"On AQuA: trace-0 ranks Qwen2.5-Math > Phi-4-Reas. (67.4 vs 74.0), but FRS ranks Phi-4-Reas. > Qwen2.5-Math (83.2 vs 74.9)",-6.599999999999994,-2.2249999999999943,False,True,False,True
MATH500,DS-R1-7B,Phi-4-Reas.,68.5,75.125,94.0,80.0,63.6,74.6,Phi-4-Reas.,DS-R1-7B,Phi-4-Reas.,6.625,14.0,10.999999999999993,6.625,True,"On MATH500: trace-0 ranks Phi-4-Reas. > DS-R1-7B (68.5 vs 75.1), but FRS ranks DS-R1-7B > Phi-4-Reas. (94.0 vs 80.0)",19.72,-2.950000000000003,True,True,True,True
MATH500,Phi-4,Qwen3-4B,64.125,70.5,74.4,63.5,60.8,49.8,Qwen3-4B,Phi-4,Phi-4,6.375,10.900000000000006,11.0,6.375,False,"On MATH500: trace-0 ranks Qwen3-4B > Phi-4 (64.1 vs 70.5), but FRS ranks Phi-4 > Qwen3-4B (74.4 vs 63.5)",-4.6200000000000045,-7.675000000000004,False,True,False,True
CSQA,LLaMA-3.1-8B,Phi-4,65.5,59.375,55.0,77.2,66.3,21.5,LLaMA-3.1-8B,Phi-4,LLaMA-3.1-8B,6.125,22.200000000000003,44.8,6.125,True,"On CSQA: trace-0 ranks LLaMA-3.1-8B > Phi-4 (65.5 vs 59.4), but FRS ranks Phi-4 > LLaMA-3.1-8B (55.0 vs 77.2)",-8.879999999999995,0.625,True,True,True,True
SVAMP,DS-R1-1.5B,Qwen2.5-7B,79.5,85.25,96.9,64.9,65.8,93.6,Qwen2.5-7B,DS-R1-1.5B,Qwen2.5-7B,5.75,32.0,27.799999999999997,5.75,True,"On SVAMP: trace-0 ranks Qwen2.5-7B > DS-R1-1.5B (79.5 vs 85.2), but FRS ranks DS-R1-1.5B > Qwen2.5-7B (96.9 vs 64.9)",7.759999999999991,-1.3000000000000043,True,True,True,True
CSQA,DS-R1-7B,LLaMA-3.1-8B,60.0,65.5,79.2,55.0,47.3,66.3,LLaMA-3.1-8B,DS-R1-7B,LLaMA-3.1-8B,5.5,24.200000000000003,19.0,5.5,True,"On CSQA: trace-0 ranks LLaMA-3.1-8B > DS-R1-7B (60.0 vs 65.5), but FRS ranks DS-R1-7B > LLaMA-3.1-8B (79.2 vs 55.0)",25.540000000000006,6.100000000000001,True,False,True,False
MATH500,Qwen2.5-7B,Qwen3-4B,65.25,70.5,75.6,63.5,60.6,49.8,Qwen3-4B,Qwen2.5-7B,Qwen2.5-7B,5.25,12.099999999999994,10.800000000000004,5.25,False,"On MATH500: trace-0 ranks Qwen3-4B > Qwen2.5-7B (65.2 vs 70.5), but FRS ranks Qwen2.5-7B > Qwen3-4B (75.6 vs 63.5)",-12.260000000000005,-3.4750000000000085,False,True,False,True
GPQA,DS-R1-1.5B,Phi-4-Reas.,47.0,42.125,56.6,62.3,37.9,44.0,DS-R1-1.5B,Phi-4-Reas.,Phi-4-Reas.,4.875,5.699999999999996,6.100000000000001,4.875,False,"On GPQA: trace-0 ranks DS-R1-1.5B > Phi-4-Reas. (47.0 vs 42.1), but FRS ranks Phi-4-Reas. > DS-R1-1.5B (56.6 vs 62.3)",13.36,-10.125,False,False,False,False
